# OVERALL (n=24) mean/std per metric
metric,n,mean,std
flight_duration_s,24,111.26625,79.84464240078162
imu_sample_rate_hz,24,47.30833333333334,8.273683616123483
max_displacement_m,24,44.714166666666664,22.559328913212223
dr_drift_mean_m,24,23.440375,13.280448348287106
dr_drift_max_m,24,64.65025,39.58118174549069
attack_start_t_s,24,46.61666666666667,33.04658986112296
tp,24,417.7916666666667,171.3057219193768
fp,24,109.75,161.62443046067983
fn,24,74.625,193.27516147575267
tn,24,334.5416666666667,104.68793342977548
precision,24,0.7984999999999999,0.2554744946003502
recall,24,0.8855416666666667,0.23727950481614948
f1,24,0.8173749999999999,0.21708179434209268
detection_latency_s,23,3.9743478260869565,8.5272983178021
jump_alarm_fired,24,0.5416666666666666,0.5089773777040516
dr_drift_final_m,24,64.65025,39.58118174549069
identical_to_naive_rule,24,0.25,0.4423258684646914
jump_alarm_first_t_s,13,1790042497.0123076,14676.18245588347
calib_jump_max_m,24,0.12452083333333334,0.08521246070936413
jump_threshold_m,24,2.121625,0.6135990705239261
cusum_baseline_gap_mps,23,0.12575217391304347,0.05557504238386489
cusum_h,24,0.24095882623395104,0.12030591989577745
trust_weighted_error_mean,24,18.84508128487538,21.11751909404957
trust_weighted_error_max,24,72.36303068051332,64.0078768024684
trust_weighted_error_final,24,59.857851108039064,65.36371928138514
hard_switch_error_mean,24,20.882691457078327,13.318639296542985
hard_switch_error_max,24,64.35438879414839,39.79217785611074
hard_switch_error_final,24,64.35108528143058,39.79538744817821
gps_only_error_mean,24,8.551161410745491,9.9216864241848
gps_only_error_max,24,32.15399779030859,33.76131392797978
gps_only_error_final,24,31.00047873004259,34.41972331853539
dr_only_error_mean,24,23.456381818862443,13.32262853422852
dr_only_error_max,24,64.60774885659997,39.56497275923289
dr_only_error_final,24,64.60774885659997,39.56497275923289
trust_weighted_max_jump_m,23,6.976326359007914,30.462794041643104
hard_switch_max_jump_m,23,14.850300117381662,10.211920251431875
pre_attack_trust_weighted_error_mean,24,2.5234404013362126,7.304707956611914
pre_attack_gps_only_error_mean,24,0.0,0.0
pre_attack_reanchoring_delta_m,24,2.5234404013362126,7.304707956611914
trust_weighted_beats_gps_only,24,0.375,0.49453535504684026

# BY ATTACK TYPE (mean/std across 6 velocity profiles; detector metrics unchanged from results_summary_full.csv, fusion metrics recomputed post-fix)
attack_type,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,detection_latency_s_mean,detection_latency_s_std,fp_mean,fp_std,trust_weighted_error_mean_mean,trust_weighted_error_mean_std,gps_only_error_mean_mean,gps_only_error_mean_std
fast_drift,0.7766666666666667,0.24967632380076946,0.9196666666666666,0.1714323967827163,0.8051666666666667,0.14637133143709072,2.936666666666667,6.329937335129525,162.5,200.82903176582812,21.502142052289795,31.661836915498146,8.738177493959377,2.0609101438701987
intermittent,0.636,0.06409992199683237,0.9388333333333333,0.08228345317660574,0.7543333333333333,0.04760532183135271,2.2666666666666666,3.232130360407307,245.0,174.22054987859497,8.569973292292111,5.80028092183316,15.326242182477607,18.7676733791363
slow_drift,0.8098333333333333,0.4007245521136266,0.6836666666666668,0.3916593758186655,0.7254999999999999,0.3782146216105348,12.037999999999998,15.027552029522306,15.166666666666666,37.150594432211534,11.933833809478317,14.361257748978215,7.1419567077376485,1.3571163592715383
sudden_jump,0.9714999999999999,0.0698104576693206,1.0,0.0,0.9845,0.037967091013139255,0.0,0.0,16.333333333333332,40.00833246545858,33.37437598544131,19.057886655730854,2.998269258807326,0.00933004715774076

# BY VELOCITY PROFILE (mean/std across 4 attack types; detector metrics unchanged, fusion metrics recomputed post-fix)
velocity_profile,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,detection_latency_s_mean,detection_latency_s_std,fp_mean,fp_std,trust_weighted_error_mean_mean,trust_weighted_error_mean_std,gps_only_error_mean_mean,gps_only_error_mean_std
aggressive,0.8200000000000001,0.20786053016385772,0.9575,0.05850071224637641,0.874,0.13332916660156044,1.6774999999999998,2.0302770746870977,84.0,97.40978732482002,19.713708554992117,28.037386928038778,5.54043896262079,2.011151087484991
circular,0.91675,0.16649999999999995,0.70875,0.24087669736471673,0.7717499999999999,0.15889068569302603,14.68,14.947383271551802,39.0,78.0,13.301738597007343,12.497969389546052,6.459736477176001,2.4860731203345305
figure_eight,0.528,0.41046640138587065,0.75,0.5,0.607,0.4271471253171051,0.0,0.0,213.5,249.3732142793207,35.71489017626978,35.74139968390197,8.763681178326081,4.068583586638934
gentle,0.923,0.15400000000000005,0.91175,0.12279081127402539,0.90675,0.09852030247619013,5.6475,9.51054633902105,30.0,60.0,4.6512753479240185,4.369438889246005,5.582213557172944,2.061027391763138
moderate,0.72,0.16568645086427555,1.0,0.0,0.8285,0.11980678890057385,0.0,0.0,157.5,110.92489951914915,11.48633417495665,8.731392180087607,17.478077768789433,23.960078477442494
sustained_cruise,0.88325,0.23349999999999999,0.98525,0.02028751668719796,0.91625,0.14777996030134355,0.8474999999999999,1.3310490849952403,134.5,269.0,28.20254085810239,14.995819531779553,7.482820520387689,3.476741841040294
