velocity_profile,attack_type,status,flight_duration_s,imu_sample_rate_hz,max_displacement_m,dr_drift_mean_m,dr_drift_max_m,attack_start_t_s,tp,fp,fn,tn,precision,recall,f1,detection_latency_s,jump_alarm_fired,dr_drift_final_m,identical_to_naive_rule,fp_note,jump_alarm_first_t_s,calib_jump_max_m,jump_threshold_m,cusum_baseline_gap_mps,cusum_h,trust_weighted_error_mean,trust_weighted_error_max,trust_weighted_error_final,hard_switch_error_mean,hard_switch_error_max,hard_switch_error_final,gps_only_error_mean,gps_only_error_max,gps_only_error_final,dr_only_error_mean,dr_only_error_max,dr_only_error_final,trust_weighted_max_jump_m,hard_switch_max_jump_m,pre_attack_trust_weighted_error_mean,pre_attack_gps_only_error_mean,pre_attack_reanchoring_delta_m,trust_weighted_beats_gps_only
gentle,slow_drift,OK,106.08,49.3,20.75,32.965,112.762,31.8,533,0,197,315,1.0,0.73,0.844,19.88,False,112.762,False,none,,0.0346,1.0371,0.089,0.1780673151710029,10.505313483295522,45.07930521049887,45.07930521049887,30.742887350929728,112.6284373991703,112.6284373991703,7.767150821267868,22.360750374706072,22.360750374706072,32.90941150752083,112.6284373991703,112.6284373991703,0.1341428184526206,17.232267517874252,0.0,0.0,0.0,False
gentle,fast_drift,OK,67.99,49.5,20.61,26.987,82.325,40.8,257,0,10,404,1.0,0.963,0.981,1.21,False,82.325,False,none,,0.0944,2.5,0.2195,0.4389155083640548,1.3197573255502784,8.601571162359406,8.601571162359406,20.94125395825009,82.18232717436038,82.18232717436038,6.557659561386342,32.62959635456088,32.62959635456088,26.972377913383664,82.18232717436038,82.18232717436038,0.5715102268930556,31.828820569847714,0.0,0.0,0.0,True
gentle,sudden_jump,OK,68.52,49.2,20.6,30.809,93.233,27.4,404,0,0,270,1.0,1.0,1.0,0.0,True,93.233,True,none,1790035459.58,0.3503,2.5,0.239,0.4779253493005325,5.478754137779808,27.62294328737031,27.62294328737031,28.867177029511325,93.01381089702744,93.01381089702744,2.996028689362164,5.165720505636996,4.959126188908579,30.70178768611322,93.01381089702744,93.01381089702744,0.7473889622917015,14.287364001018677,0.0,0.0,0.0,False
gentle,intermittent,OK,68.13,49.2,20.7,17.3,46.471,27.3,270,120,13,272,0.692,0.954,0.802,1.5,True,46.471,False,"120 FPs, offset range [8.00..35.92]s from attack start",1790035549.42,0.0619,1.8562,0.1275,0.255039324189628,1.3012764450704672,11.509815439360686,3.577572303983504,15.705677418824,46.45016666457233,46.45016666457233,5.008015156675402,24.586633688898782,24.586633688898782,17.375530339549236,46.45016666457233,46.45016666457233,0.2853191303857846,11.74199758214988,0.4210514571407021,0.0,0.4210514571407021,True
moderate,slow_drift,OK,81.94,48.1,65.13,6.562,17.641,24.6,554,91,0,152,0.859,1.0,0.924,0.0,False,17.641,False,"91 FPs, offset range [-9.32..-0.11]s from attack start",,0.157,2.5,0.0339,0.0678332589872108,1.3452299988764902,5.315870377633639,5.315870377633639,6.448385621363324,17.63357519374025,17.63357519374025,5.9606224200170335,17.18637973581525,17.12999871935502,6.533463394280822,17.63357519374025,17.63357519374025,0.0018617420281039,1.345053729410063,0.0138256828757577,0.0,0.0138256828757577,True
moderate,fast_drift,OK,79.82,49.2,65.11,1.903,5.991,47.9,316,323,0,149,0.495,1.0,0.662,0.0,True,5.991,False,"323 FPs, offset range [-32.90..-0.10]s from attack start",1790035722.46,0.0261,0.784,,-0.0012358022649142,7.653482296971367,38.45325343146012,38.45325343146012,1.862127139820488,5.983417390784073,5.983417390784073,7.653482296971367,38.45325343146012,38.45325343146012,1.9018985602863063,5.983417390784073,5.983417390784073,0.0111319993391135,0.6231180528133492,0.0,0.0,0.0,False
moderate,sudden_jump,OK,80.28,49.5,65.15,3.912,9.883,32.1,476,98,0,220,0.829,1.0,0.907,0.0,True,9.883,False,"98 FPs, offset range [-10.00..-0.10]s from attack start",1790035812.48,0.0108,0.5,0.0103,0.0206013894330576,21.075537872288084,93.9845585143915,93.9845585143915,3.874100289543699,9.863352852309426,9.863352852309426,2.9961703339327714,5.165720505636999,4.942834073468222,3.914390454886341,9.863352852309426,9.863352852309426,0.0023620949845256,0.4630550085311124,0.0843256962313851,0.0,0.0843256962313851,False
moderate,intermittent,OK,470.35,8.5,58.36,30.969,93.345,188.1,271,118,0,413,0.697,1.0,0.821,0.0,True,93.345,True,"118 FPs, offset range [5.00..32.84]s from attack start",1790036306.7,0.0741,2.2221,0.1839,0.3677482172324868,15.871086531690652,148.80934962775143,21.50208485406097,26.989965103765112,93.30074802924854,93.30074802924854,53.30203602423656,169.23444059217357,169.23444059217357,31.078871518161822,93.30074802924854,93.30074802924854,146.63676461821504,24.329844992594072,0.57202396826093,0.0,0.57202396826093,True
aggressive,slow_drift,OK,81.43,48.6,38.18,29.898,71.162,24.4,536,0,26,242,1.0,0.954,0.976,2.61,False,71.162,False,none,,0.2623,2.5,0.1947,0.3893118282655571,4.416919168686422,10.716907963788447,10.164006970554816,28.765833675540424,71.13394117305405,71.13394117305405,5.9705904746554666,17.10982352558579,17.06380948117466,29.95353018480754,71.13394117305405,71.13394117305405,0.1181802009224965,11.803516145575529,0.0,0.0,0.0,True
aggressive,fast_drift,OK,81.65,48.3,38.19,23.437,61.162,49.0,323,179,0,300,0.643,1.0,0.783,0.0,False,61.162,False,"179 FPs, offset range [-18.11..-0.10]s from attack start",,0.1372,2.5,0.1598,0.3196175573396981,10.864498230339349,31.146917833126366,31.146917833126366,21.933870408229748,61.15023568608562,61.15023568608562,7.887453102153753,39.174601871509445,39.174601871509445,23.36196066907332,61.15023568608562,61.15023568608562,0.4948971010044791,12.545367311571226,2.640127323247944,0.0,2.640127323247944,False
aggressive,sudden_jump,OK,81.31,48.7,38.12,7.965,23.532,32.5,479,0,0,315,1.0,1.0,1.0,0.0,True,23.532,True,none,1790036585.15,0.0994,2.5,0.0602,0.1203029822505826,61.404863799843085,205.1068943908421,205.1068943908421,7.36616301679626,23.5026813899746,23.5026813899746,3.015116090150997,5.165720505636998,5.045607835113255,7.948843458608189,23.5026813899746,23.5026813899746,0.7915473304169862,4.129211098205859,0.0,0.0,0.0,False
aggressive,intermittent,OK,79.72,49.0,38.09,11.926,33.965,31.9,275,157,39,315,0.637,0.876,0.737,4.1,True,33.965,False,"157 FPs, offset range [8.00..47.82]s from attack start",1790036688.17,0.1112,2.5,0.093,0.1860612676742353,2.168553021099609,17.94530189783605,0.0,10.66947171926832,33.89286563055245,33.89286563055245,5.288596183522945,26.374880906902288,0.0,11.93006628268908,33.89286563055245,33.89286563055245,0.5750080541720942,9.149128256939424,0.4301745386325377,0.0,0.4301745386325377,True
