velocity_profile,attack_profile,n_samples,cusum_h,attack_start_t_s,trust_weighted_error_mean,trust_weighted_error_max,trust_weighted_error_final,hard_switch_error_mean,hard_switch_error_max,hard_switch_error_final,gps_only_error_mean,gps_only_error_max,gps_only_error_final,dr_only_error_mean,dr_only_error_max,dr_only_error_final,trust_weighted_max_jump_m,hard_switch_max_jump_m,pre_attack_trust_weighted_error_mean,pre_attack_gps_only_error_mean,pre_attack_reanchoring_delta_m
gentle,slow_drift,1045,0.17806731517100297,31.88783359527588,10.505313483295522,45.079305210498866,45.079305210498866,30.742887350929728,112.6284373991703,112.6284373991703,7.767150821267868,22.360750374706072,22.360750374706072,32.90941150752083,112.6284373991703,112.6284373991703,0.1341428184526206,17.232267517874252,0.0,0.0,0.0
gentle,fast_drift,671,0.4389155083640548,40.88788199424744,1.3197573255502784,8.601571162359406,8.601571162359406,20.94125395825009,82.18232717436038,82.18232717436038,6.557659561386342,32.62959635456088,32.62959635456088,26.972377913383664,82.18232717436038,82.18232717436038,0.5715102268930556,31.828820569847714,0.0,0.0,0.0
gentle,sudden_jump,674,0.47792534930053254,27.489845037460327,5.4787541377798075,27.62294328737031,27.62294328737031,28.867177029511325,93.01381089702743,93.01381089702743,2.9960286893621637,5.165720505636996,4.959126188908579,30.70178768611322,93.01381089702743,93.01381089702743,0.7473889622917015,14.287364001018677,0.0,0.0,0.0
gentle,intermittent,675,0.255039324189628,27.3066143989563,1.3012764450704672,11.509815439360686,3.5775723039835037,15.705677418824,46.45016666457233,46.45016666457233,5.008015156675402,24.586633688898786,24.586633688898786,17.375530339549236,46.45016666457233,46.45016666457233,0.2853191303857846,11.74199758214988,0.4210514571407021,0.0,0.4210514571407021
moderate,slow_drift,797,0.06783325898721088,24.633389711380005,1.3452299988764902,5.315870377633639,5.315870377633639,6.4483856213633235,17.63357519374025,17.63357519374025,5.9606224200170335,17.18637973581525,17.12999871935502,6.533463394280822,17.63357519374025,17.63357519374025,0.001861742028103958,1.345053729410063,0.013825682875757757,0.0,0.013825682875757757
moderate,fast_drift,788,-0.001235802264914286,47.911298751831055,7.653482296971367,38.45325343146012,38.45325343146012,1.8621271398204882,5.983417390784073,5.983417390784073,7.653482296971367,38.45325343146012,38.45325343146012,1.9018985602863065,5.983417390784073,5.983417390784073,0.0111319993391135,0.6231180528133492,0.0,0.0,0.0
moderate,sudden_jump,794,0.020601389433057685,32.16582536697388,21.075537872288084,93.9845585143915,93.9845585143915,3.874100289543699,9.863352852309426,9.863352852309426,2.9961703339327714,5.165720505636999,4.942834073468222,3.914390454886341,9.863352852309426,9.863352852309426,0.002362094984525612,0.4630550085311124,0.08432569623138515,0.0,0.08432569623138515
moderate,intermittent,802,0.3677482172324868,431.21821212768555,15.871086531690652,148.80934962775143,21.502084854060975,26.989965103765112,93.30074802924854,93.30074802924854,53.30203602423656,169.23444059217357,169.23444059217357,31.078871518161826,93.30074802924854,93.30074802924854,146.63676461821504,24.329844992594072,0.57202396826093,0.0,0.57202396826093
aggressive,slow_drift,804,0.3893118282655571,24.524236917495728,4.416919168686422,10.716907963788449,10.164006970554817,28.765833675540424,71.13394117305405,71.13394117305405,5.9705904746554666,17.10982352558579,17.06380948117466,29.95353018480754,71.13394117305405,71.13394117305405,0.11818020092249658,11.803516145575529,0.0,0.0,0.0
aggressive,fast_drift,802,0.3196175573396981,49.03357219696045,10.864498230339349,31.146917833126366,31.146917833126366,21.933870408229748,61.15023568608562,61.15023568608562,7.887453102153753,39.174601871509445,39.174601871509445,23.36196066907332,61.15023568608562,61.15023568608562,0.4948971010044791,12.545367311571226,2.640127323247944,0.0,2.640127323247944
aggressive,sudden_jump,794,0.12030298225058268,32.59791660308838,61.404863799843085,205.1068943908421,205.1068943908421,7.36616301679626,23.5026813899746,23.5026813899746,3.015116090150997,5.165720505636998,5.0456078351132545,7.948843458608189,23.5026813899746,23.5026813899746,0.7915473304169862,4.129211098205859,0.0,0.0,0.0
aggressive,intermittent,786,0.18606126767423536,31.900049686431885,2.168553021099609,17.94530189783605,0.0,10.669471719268321,33.89286563055245,33.89286563055245,5.288596183522945,26.374880906902288,0.0,11.93006628268908,33.89286563055245,33.89286563055245,0.5750080541720942,9.149128256939425,0.4301745386325377,0.0,0.4301745386325377
circular,slow_drift,911,0.21109539627940987,27.704014778137207,5.32022230971779,11.44290334014909,11.44290334014909,12.363421507281993,44.20782954839385,44.20782954839385,6.764183477789735,19.469223938030783,19.469223938030783,16.191479564830026,44.20782954839385,44.20782954839385,0.391755984098481,22.694251650279284,0.0,0.0,0.0
circular,fast_drift,914,0.2937638311960162,55.555684328079224,6.2571056160157905,24.137053127246773,24.137053127246773,13.305013180239616,63.11704865023702,63.11704865023702,8.871284321573539,44.42153933926781,44.42153933926781,24.374570577704116,63.11704865023702,63.11704865023702,0.4338503368342778,39.13163892986939,0.0,0.0,0.0
circular,sudden_jump,912,0.2985205635418638,37.03890419006348,31.82330267313347,125.57186896657039,125.57186896657039,22.99502126118477,65.17844115364997,65.17844115364997,2.986897015901914,5.165720505636996,5.018909975733709,25.124152588372127,65.17844115364997,65.17844115364997,5.276079564456815,16.60384285351151,0.0,0.0,0.0
circular,intermittent,914,0.3205893491715405,37.30116415023804,9.806323789162326,33.45262833111086,33.45262833111086,21.81746086513987,60.007825951494084,60.007825951494084,7.216581093438817,33.45262833111086,33.45262833111086,25.63368814562224,60.007825951494084,60.007825951494084,0.7175337880688535,21.400548732320594,4.365200221061308,0.0,4.365200221061308
figure_eight,slow_drift,1281,0.1509736871269715,39.12426233291626,9.597017342700186,27.340889596386994,27.261605291159597,9.553179067704313,27.340889596386994,27.261605291159597,9.553179067704313,27.340889596386994,27.261605291159597,16.0660437401821,33.421531095224985,33.421531095224985,,,0.14800571990156813,0.0,0.14800571990156813
figure_eight,fast_drift,1294,0.1697732763653137,78.65215587615967,85.16989098662665,212.7074463377078,212.7074463377078,26.85375334344191,70.97595702961857,70.97595702961857,12.550665518541669,62.895606616437504,62.895606616437504,27.2629389524225,70.97595702961857,70.97595702961857,0.38403730576995304,6.17419385259298,34.38552535944691,0.0,34.38552535944691
figure_eight,sudden_jump,1295,0.27739373537315914,52.43151235580444,38.74482605160202,146.02308120531598,146.02308120531598,11.806086947085547,32.577133265721685,32.577133265721685,2.995248610811488,5.165720505636994,4.9150674943506765,14.507244511450162,32.577133265721685,32.577133265721685,0.7036751841546716,15.808921740623942,0.00012874307470880288,0.0,0.00012874307470880288
figure_eight,intermittent,1302,0.30074617354534444,52.83010911941528,9.347826324150288,63.27487019012859,6.988713647870375,45.41496565398121,114.43798968719811,114.43798968719811,9.955631516246855,47.47305916388503,47.47305916388503,46.948927355123296,114.43798968719811,114.43798968719811,0.3052344294924521,16.39699800606446,5.767034284863691,0.0,5.767034284863691
sustained_cruise,slow_drift,920,0.20743672066274205,27.927038431167603,40.4183005535935,118.88755188650707,118.88755188650707,22.930645581504372,69.6140741987689,69.6140741987689,6.836013984991475,19.517793180226167,19.48317004528082,23.694619471982644,69.6140741987689,69.6140741987689,0.3134804871809099,7.893482913780132,0.0,0.0,0.0
sustained_cruise,fast_drift,916,0.24333577507811976,55.64351177215576,17.74811785823533,88.61153963233711,88.61153963233711,22.171437662522173,84.8033958789157,84.8033958789157,8.908520163129596,44.48485747511325,44.48485747511325,28.24548273886385,84.8033958789157,84.8033958789157,0.4742571676488558,31.96132875306827,0.00013751442468885785,0.0,0.00013751442468885785
sustained_cruise,sudden_jump,903,0.274672858425108,36.79960346221924,41.71897137800141,142.89436952080763,142.89436952080763,26.643511352850744,76.18582613505913,76.18582613505913,3.0001548126846185,5.165720505636996,5.019503427810029,28.469759066476808,76.18582613505913,76.18582613505913,0.7737917298921642,14.61165061918041,0.0,0.0,0.0
sustained_cruise,intermittent,1487,0.21452226690610382,60.61039352416992,12.92477364257933,98.07584506163238,8.054686969873204,61.163185815100775,185.3233604832379,185.3233604832379,11.186593120745064,54.53566581151354,54.53566581151354,61.852124970308374,185.3233604832379,185.3233604832379,0.31169600047860513,9.401300381956034,11.735009122906968,0.0,11.735009122906968
