velocity_profile,attack_type,status,flight_duration_s,imu_sample_rate_hz,max_displacement_m,dr_drift_mean_m,dr_drift_max_m,attack_start_t_s,tp,fp,fn,tn,precision,recall,f1,detection_latency_s,jump_alarm_fired,trust_weighted_error_mean_m,hard_switch_error_mean_m,gps_only_error_mean_m,trust_weighted_max_jump_m,dr_drift_final_m,identical_to_naive_rule,fp_note,jump_alarm_first_t_s,calib_jump_max_m,jump_threshold_m,cusum_baseline_gap_mps,cusum_h,trust_weighted_error_max_m,hard_switch_max_jump_m,dr_only_error_mean_m,pre_attack_trust_weighted_error_mean,pre_attack_gps_only_error_mean
gentle,slow_drift,OK,106.08,49.3,20.75,32.965,112.762,31.8,533,0,197,315,1.0,0.73,0.844,19.88,False,10.505313483295522,30.742887350929728,7.767150821267868,0.1341428184526206,112.762,False,none,,0.0346,1.0371,0.089,0.1781,45.079305210498866,17.232267517874252,32.90941150752083,0.0,0.0
gentle,fast_drift,OK,67.99,49.5,20.61,26.987,82.325,40.8,257,0,10,404,1.0,0.963,0.981,1.21,False,1.3197573255502784,20.94125395825009,6.557659561386342,0.5715102268930556,82.325,False,none,,0.0944,2.5,0.2195,0.4389,8.601571162359406,31.828820569847714,26.972377913383664,0.0,0.0
gentle,sudden_jump,OK,68.52,49.2,20.6,30.809,93.233,27.4,404,0,0,270,1.0,1.0,1.0,0.0,True,5.4787541377798075,28.867177029511325,2.9960286893621637,0.7473889622917015,93.233,True,none,1790035459.58,0.3503,2.5,0.239,0.4779,27.62294328737031,14.287364001018677,30.70178768611322,0.0,0.0
gentle,intermittent,OK,68.13,49.2,20.7,17.3,46.471,27.3,270,120,13,272,0.692,0.954,0.802,1.5,True,1.5119537836934636,15.705677418824,5.008015156675402,0.2853191303857846,46.471,False,"120 FPs, offset range [8.00..35.92]s from attack start",1790035549.42,0.0619,1.8562,0.1275,0.255,6.224166931062218,11.74199758214988,17.375530339549236,0.7694548526515382,0.0
moderate,slow_drift,OK,81.94,48.1,65.13,6.562,17.641,24.6,554,91,0,152,0.859,1.0,0.924,0.0,False,1.3452299988764902,6.4483856213633235,5.9606224200170335,0.001861742028103958,17.641,False,"91 FPs, offset range [-9.32..-0.11]s from attack start",,0.157,2.5,0.0339,0.0678,5.315870377633639,1.345053729410063,6.533463394280822,0.013825682875757757,0.0
moderate,fast_drift,OK,79.82,49.2,65.11,1.903,5.991,47.9,316,323,0,149,0.495,1.0,0.662,0.0,True,7.653482296971367,1.8621271398204882,7.653482296971367,0.0111319993391135,5.991,False,"323 FPs, offset range [-32.90..-0.10]s from attack start",1790035722.46,0.0261,0.784,,,38.45325343146012,0.6231180528133492,1.9018985602863065,0.0,0.0
moderate,sudden_jump,OK,80.28,49.5,65.15,3.912,9.883,32.1,476,98,0,220,0.829,1.0,0.907,0.0,True,2.5162331744602757,3.874100289543699,2.9961703339327714,0.002362094984525612,9.883,False,"98 FPs, offset range [-10.00..-0.10]s from attack start",1790035812.48,0.0108,0.5,0.0103,0.0206,8.08607050762846,0.4630550085311124,3.914390454886341,0.08432569623138515,0.0
moderate,intermittent,OK,470.35,8.5,58.36,30.969,93.345,188.1,271,118,0,413,0.697,1.0,0.821,0.0,True,15.871086531690652,26.989965103765112,53.30203602423656,146.63676461821504,93.345,True,"118 FPs, offset range [5.00..32.84]s from attack start",1790036306.7,0.0741,2.2221,0.1839,0.3677,148.80934962775143,24.329844992594072,31.078871518161826,0.57202396826093,0.0
aggressive,slow_drift,OK,81.43,48.6,38.18,29.898,71.162,24.4,536,0,26,242,1.0,0.954,0.976,2.61,False,4.416919168686422,28.765833675540424,5.9705904746554666,0.11818020092249658,71.162,False,none,,0.2623,2.5,0.1947,0.3893,10.716907963788449,11.803516145575529,29.95353018480754,0.0,0.0
aggressive,fast_drift,OK,81.65,48.3,38.19,23.437,61.162,49.0,323,179,0,300,0.643,1.0,0.783,0.0,False,10.864498230339349,21.933870408229748,7.887453102153753,0.4948971010044791,61.162,False,"179 FPs, offset range [-18.11..-0.10]s from attack start",,0.1372,2.5,0.1598,0.3196,31.146917833126366,12.545367311571226,23.36196066907332,2.640127323247944,0.0
aggressive,sudden_jump,OK,81.31,48.7,38.12,7.965,23.532,32.5,479,0,0,315,1.0,1.0,1.0,0.0,True,61.404863799843085,7.36616301679626,3.015116090150997,0.7915473304169862,23.532,True,none,1790036585.15,0.0994,2.5,0.0602,0.1203,205.1068943908421,4.129211098205859,7.948843458608189,0.0,0.0
aggressive,intermittent,OK,79.72,49.0,38.09,11.926,33.965,31.9,275,157,39,315,0.637,0.876,0.737,4.1,True,30.75840877109344,10.669471719268321,5.288596183522945,0.5750080541720942,33.965,False,"157 FPs, offset range [8.00..47.82]s from attack start",1790036688.17,0.1112,2.5,0.093,0.1861,115.53811795226079,9.149128256939425,11.93006628268908,20.343890913524792,0.0
circular,slow_drift,OK,92.21,49.1,30.86,16.19,44.227,27.7,293,0,343,275,1.0,0.461,0.631,34.9,False,5.32022230971779,12.363421507281993,6.764183477789735,0.391755984098481,44.227,False,none,,0.0432,1.2969,0.1055,0.2111,11.44290334014909,22.694251650279284,16.191479564830026,0.0,0.0
circular,fast_drift,OK,92.47,49.3,30.91,24.344,63.143,55.5,208,0,156,550,1.0,0.571,0.727,15.82,False,6.2571056160157905,13.305013180239616,8.871284321573539,0.4338503368342778,63.143,False,none,,0.0666,1.9975,0.1469,0.2938,24.137053127246773,39.13163892986939,24.374570577704116,0.0,0.0
circular,sudden_jump,OK,92.44,49.2,30.87,25.223,65.255,37.0,545,0,0,367,1.0,1.0,1.0,0.0,True,37.10817951227676,22.99502126118477,2.986897015901914,5.276079564456815,65.255,True,none,1790036993.43,0.064,1.9203,0.1493,0.2985,129.32951026192737,16.60384285351151,25.124152588372127,0.0,0.0
circular,intermittent,OK,93.02,49.3,30.86,25.666,60.062,37.2,313,156,77,368,0.667,0.803,0.729,8.0,True,29.139970305610444,21.81746086513987,7.216581093438817,0.7175337880688535,60.062,False,"156 FPs, offset range [8.00..47.82]s from attack start",1790037108.65,0.2939,2.5,0.1603,0.3206,111.4789998430539,21.400548732320594,25.63368814562224,13.816044142035178,0.0
figure_eight,slow_drift,OK,130.14,49.3,30.86,16.071,33.444,39.0,0,0,896,385,0.0,0.0,0.0,,False,9.597017342700186,9.553179067704313,9.553179067704313,,33.444,False,none,,0.0905,2.5,0.0755,0.151,27.340889596386994,,16.0660437401821,0.14800571990156813,0.0
figure_eight,fast_drift,OK,131.05,48.8,30.94,27.127,70.976,78.6,517,473,0,304,0.522,1.0,0.686,0.0,False,85.16989098662665,26.85375334344191,12.550665518541669,0.38403730576995304,70.976,False,"473 FPs, offset range [-47.93..-0.12]s from attack start",,0.1353,2.5,0.0849,0.1698,212.7074463377078,6.17419385259298,27.2629389524225,34.38552535944691,0.0
figure_eight,sudden_jump,OK,130.95,48.8,30.91,14.497,32.593,52.4,776,0,0,519,1.0,1.0,1.0,0.0,True,64.51359806098941,11.806086947085547,2.995248610811488,0.7036751841546716,32.593,True,none,1790037514.85,0.0602,1.8049,0.1387,0.2774,209.31382306524682,15.808921740623942,14.507244511450162,0.00012874307470880288,0.0
figure_eight,intermittent,OK,131.85,48.7,30.92,46.919,114.438,52.7,548,381,0,373,0.59,1.0,0.742,0.0,True,89.09701992378766,45.41496565398121,9.955631516246855,0.3052344294924521,114.438,False,"381 FPs, offset range [-15.00..71.62]s from attack start",1790037668.28,0.1789,2.5,0.1504,0.3007,250.78625671419405,16.39699800606446,46.948927355123296,49.60875148714636,0.0
sustained_cruise,slow_drift,OK,93.04,48.8,84.34,23.663,69.614,27.9,616,0,28,276,1.0,0.957,0.978,2.8,False,40.4183005535935,22.930645581504372,6.836013984991475,0.3134804871809099,69.614,False,none,,0.1593,2.5,0.1037,0.2074,118.88755188650707,7.893482913780132,23.694619471982644,0.0,0.0
sustained_cruise,fast_drift,OK,92.64,48.8,84.26,28.223,84.803,55.6,361,0,6,549,1.0,0.984,0.992,0.59,False,17.74811785823533,22.171437662522173,8.908520163129596,0.4742571676488558,84.803,False,none,,0.1838,2.5,0.1217,0.2433,88.61153963233711,31.96132875306827,28.24548273886385,0.00013751442468885785,0.0
