t,dr_x,dr_y
1790036552.5568345,0.0,0.0
1790036552.557457,1.582703399305638e-09,-2.2811418106986176e-09
1790036552.5583055,6.664894456229141e-09,-9.62932988791711e-09
1790036552.5589485,1.2186158076092035e-08,-1.7643422107000094e-08
1790036552.5595782,1.9194142141199617e-08,-2.7836259693080294e-08
1790036552.5606475,3.570157067005797e-08,-5.1969237900219926e-08
1790036552.5612776,4.7031991949450124e-08,-6.855233229544757e-08
1790036552.5619364,6.062831226930907e-08,-8.846924921739115e-08
1790036552.5813394,1.9812480335200133e-06,-2.909570285949818e-06
1790036552.599755,5.171472543691608e-06,-7.59403042352372e-06
1790036552.620036,1.034008699326107e-05,-1.5179514412483423e-05
1790036552.6401825,1.710685668284287e-05,-2.5098022651403284e-05
1790036552.6592748,2.4988963697849493e-05,-3.6639260945146146e-05
1790036552.6875155,3.9859611174834374e-05,-5.841032855499943e-05
1790036552.6965115,4.492150465091343e-05,-6.582400889341133e-05
1790036552.7166753,5.790106162036705e-05,-8.48585576732021e-05
1790036552.7365289,7.226195537758696e-05,-0.00010594528846069911
1790036552.755941,8.781568330675158e-05,-0.00012879651111119078
1790036552.7768269,0.00010629599785276066,-0.00015596311820190016
1790036552.7971797,0.0001259640359824023,-0.00018488276100028615
1790036552.817214,0.00014693324057804498,-0.00021572173192789385
1790036552.8369715,0.00016917521913746854,-0.0002484414632106786
1790036552.8570986,0.00019344740696295427,-0.0002841632709091465
1790036552.8781793,0.00022063480381950682,-0.0003242082742222229
1790036552.8961318,0.0002450665204761487,-0.0003602289109892016
1790036552.9167974,0.00027488200512464116,-0.0004042487932586251
1790036552.9378655,0.00030702910277412445,-0.00045178244261289
1790036552.957653,0.0003387646967908173,-0.0004987616005752861
1790036552.9792163,0.0003751831344477835,-0.0005527150232908504
1790036552.999627,0.0004113007666409814,-0.0006062461627049424
1790036553.018271,0.0004456630617479685,-0.0006571940246786737
1790036553.03791,0.000483379146539747,-0.0007131387186612415
1790036553.0586112,0.0005248243487841806,-0.0007746446397032202
1790036553.078459,0.000566118945245511,-0.0008359555808213098
1790036553.0988843,0.0006102617699749519,-0.0009015354980220136
1790036553.1196928,0.0006569459092768305,-0.0009709426691212301
1790036553.1396682,0.000703336139589476,-0.0010399686595440978
1790036553.1608825,0.0007543769921178596,-0.0011159742141206967
1790036553.1880326,0.0008226076867620683,-0.001217641518487148
1790036553.2009273,0.0008556697848704564,-0.0012669188301564595
1790036553.2214935,0.0009100769511807439,-0.0013480314706269835
1790036553.2408955,0.0009628964666444083,-0.0014267857863438755
1790036553.2586846,0.0010125800080009585,-0.0015008657673025855
1790036553.2759533,0.0010619919746280243,-0.001574549592592901
1790036553.2996426,0.0011320063324671203,-0.0016789804343738312
1790036553.3191495,0.001191173607919857,-0.0017672614804305946
1790036553.3381226,0.0012501553035955948,-0.001855286521870841
1790036553.357606,0.0013122363836319548,-0.0019479475785729233
1790036553.3776968,0.0013778631492604272,-0.0020459013965230116
1790036553.3974962,0.0014441029291801847,-0.002144762781196075
1790036553.4184752,0.0015160421501221343,-0.0022521219826020828
1790036553.4399896,0.0015916598929313084,-0.0023649608792805266
1790036553.4580464,0.0016564244148221576,-0.00246159811574695
1790036553.4787962,0.0017325629470705101,-0.0025752012124208384
1790036553.4975936,0.0018029421820986334,-0.002680217628913546
1790036553.517147,0.0018776773142615724,-0.0027917454522662544
1790036553.5389514,0.0019629175869508198,-0.0029189579000231344
1790036553.5590384,0.0020430590779267894,-0.0030385559856756883
1790036553.5791774,0.00212503688604675,-0.003160876397614431
1790036553.5995855,0.002209782472042538,-0.003287301145299036
1790036553.617901,0.002287190030428664,-0.0034027481148692705
1790036553.6374173,0.0023712137911914804,-0.0035280153572602663
1790036553.6571815,0.0024578852427216695,-0.00365718935308442
1790036553.6947904,0.0026285414498236994,-0.0039113867573957245
1790036553.6978638,0.0026425260619057736,-0.003932216388798159
1790036553.718412,0.0027377387030910784,-0.004074012301282187
1790036553.7372472,0.0028264542910199073,-0.004206115097890355
1790036553.758355,0.002927679125302666,-0.00435681266886592
1790036553.7787476,0.0030271589042043553,-0.0045048851801753
1790036553.7976563,0.003120846087851864,-0.004644317526592393
1790036553.817072,0.0032185713240251317,-0.004789737885453857
1790036553.8370385,0.003320682895274114,-0.004941669440530845
1790036553.8566356,0.003422449694519066,-0.00509308795267832
1790036553.877716,0.0035337061655795927,-0.0052586301749366435
