t,dr_x,dr_y
1790037607.4545672,0.0,0.0
1790037607.4552152,-2.788587876297205e-09,-8.450050403435523e-09
1790037607.456154,-1.2679289553343068e-08,-3.844511983720632e-08
1790037607.456862,-2.3460708475079403e-08,-7.117591772407741e-08
1790037607.457547,-3.700647105185399e-08,-1.1232119371956814e-07
1790037607.4584403,-5.995862018002051e-08,-1.8209824780960258e-07
1790037607.4591064,-8.001500195926669e-08,-2.430974965675362e-07
1790037607.4604585,-1.3284803809730217e-07,-4.0381412641016983e-07
1790037607.472224,-1.511072103511834e-06,-4.595119834952465e-06
1790037607.493683,-7.077375444925561e-06,-2.152213186743717e-05
1790037607.5138936,-1.5038624640578635e-05,-4.569108340323593e-05
1790037607.535798,-2.686649915060748e-05,-8.155551851511076e-05
1790037607.5551722,-3.982487966938128e-05,-0.00012084432170695697
1790037607.5842369,-6.489382895283856e-05,-0.0001968325981827634
1790037607.5958152,-7.577392203877281e-05,-0.00022981314460977033
1790037607.6151934,-9.648519982240632e-05,-0.00029262138837970986
1790037607.6362762,-0.00012198042769754572,-0.00036995778214076933
1790037607.655486,-0.00014766787714431186,-0.00044788463874848527
1790037607.6759458,-0.0001778081385942168,-0.0005393341661519751
1790037607.6950247,-0.00020833045749241516,-0.0006319528577875483
1790037607.7160404,-0.0002448787516537327,-0.0007428765145545866
1790037607.7356672,-0.00028156008429624363,-0.0008542377072239342
1790037607.7547712,-0.0003196837987465029,-0.0009700016077004715
1790037607.7749076,-0.0003625475246627769,-0.0011002175913280394
1790037607.7937746,-0.00040506183195374983,-0.0012294376670115522
1790037607.813106,-0.000451097807180538,-0.0013694181777658013
1790037607.8398793,-0.0005195835892429573,-0.001577795563095065
1790037607.859132,-0.0005712724353893404,-0.0017351358073493558
1790037607.878718,-0.0006263849370372179,-0.0019029511257592187
1790037607.8982785,-0.0006839502324387187,-0.0020782748566274085
1790037607.917379,-0.0007425677412954928,-0.002256834585419376
1790037607.9371169,-0.0008057131565725591,-0.002449211013064738
1790037607.9577827,-0.0008746472631777415,-0.0026592477483494345
1790037607.9773493,-0.0009424441709184337,-0.0028658458159123755
1790037607.997783,-0.001016007285902708,-0.003090051179644773
1790037608.016719,-0.0010865530356813384,-0.0033050917831708646
1790037608.0380766,-0.001169135894463785,-0.0035568578784742426
1790037608.0572667,-0.0012457732303538362,-0.0037905166597818774
1790037608.08418,-0.0013580481014475554,-0.004132847379035636
1790037608.097877,-0.0014164272688517983,-0.004310856718770897
1790037608.1181357,-0.0015054817558339826,-0.004582427843289154
1790037608.138328,-0.0015969321157077076,-0.004861338755200459
1790037608.1575274,-0.0016863126419331372,-0.005133973337153575
1790037608.1766376,-0.0017776825572382927,-0.005412723472796033
1790037608.1967998,-0.0018767546884802704,-0.005715043261961821
1790037608.216511,-0.001976161832650736,-0.006018481971237331
1790037608.238314,-0.002089236053186611,-0.00636374797724996
1790037608.2577431,-0.0021924770146942644,-0.006679066376115503
1790037608.2776794,-0.0023010160445015226,-0.007010648401995777
1790037608.2973769,-0.002410796060794981,-0.0073460987234067274
1790037608.316101,-0.00251744249497291,-0.007672054176191263
1790037608.3381095,-0.0026459571530825536,-0.008064958507538144
1790037608.3565874,-0.002756083488684126,-0.008401730889514267
1790037608.3766904,-0.0028785318112936205,-0.008776288002201711
1790037608.39559,-0.002995978878449967,-0.009135655046252697
1790037608.415372,-0.003121454819263514,-0.009519724658872667
1790037608.4359064,-0.003254444335587903,-0.009926937673128225
1790037608.4567344,-0.003392149429901402,-0.010348737774614172
1790037608.476657,-0.0035264443563854495,-0.01076021044861194
1790037608.4957335,-0.0036574025935183644,-0.011161553577852019
1790037608.5146854,-0.003789842444013885,-0.01156751339887212
1790037608.5352046,-0.003935975747862121,-0.012015535768315372
1790037608.5575223,-0.004098149252735683,-0.012512864977473576
1790037608.5884166,-0.0043288471390835696,-0.013220579317403782
1790037608.5967524,-0.0043915454069380425,-0.013412936647240147
1790037608.6171927,-0.0045480104645418745,-0.013893072164018166
1790037608.63814,-0.004711214518311097,-0.014393991159836219
1790037608.6594908,-0.004880534302647164,-0.014913770609302176
1790037608.678133,-0.005030637871930656,-0.015374624306512468
1790037608.6957762,-0.0051747270413890515,-0.015817063293173447
1790037608.7132072,-0.0053190665892462055,-0.01626031103719915
1790037608.736982,-0.0055196251542891026,-0.016876268038933155
1790037608.7579353,-0.005699246515281487,-0.017427969381051206
1790037608.777638,-0.005870677604167302,-0.017954573780353523
1790037608.797598,-0.006046946229467534,-0.01849609869707481
1790037608.8184834,-0.006234236963923895,-0.01907155839097004
1790037608.839533,-0.006425888455607018,-0.019660500456316017
1790037608.8591387,-0.0066069016706317004,-0.020216801032274904
1790037608.8791883,-0.006794636714561957,-0.02079380069236219
1790037608.898718,-0.006979994241673563,-0.02136352837468155
1790037608.9189184,-0.007174372111273331,-0.021961023267875527
1790037608.9388807,-0.007369065870193435,-0.022559499600288992
1790037608.9592588,-0.007570528040666234,-0.023178804069367263
1790037608.9789555,-0.007767790254324842,-0.023785218069696513
1790037608.9985838,-0.007966888534165694,-0.024397304385401143
1790037609.019029,-0.00817700865251706,-0.02504331005802482
1790037609.0328796,-0.008320613399101317,-0.02548482362002155
1790037609.0547085,-0.008550057167526815,-0.02619026568267982
1790037609.0897436,-0.008926358308970216,-0.02734721368459764
1790037609.0944328,-0.008976867493208597,-0.027502505943100122
1790037609.114334,-0.009193816563486468,-0.02816954506292063
1790037609.134717,-0.009418728346327516,-0.028861079426387742
1790037609.1548862,-0.009643939138294528,-0.029553555503350405
1790037609.1744535,-0.00986492499451878,-0.03023307203262268
1790037609.194431,-0.010093152462418615,-0.030934879824645604
1790037609.214359,-0.010323408406387262,-0.031642958083933845
1790037609.2347665,-0.01056191433468746,-0.032376483287265195
1790037609.254909,-0.010799972481347071,-0.033108677936301234
1790037609.275108,-0.011041356751185146,-0.033851149028196734
1790037609.2941744,-0.011271578996893645,-0.03455930139880177
1790037609.3136735,-0.011509508816894836,-0.035291178719134085
1790037609.3363018,-0.011788960399681287,-0.03615081090050007
1790037609.3551767,-0.012024386854488199,-0.03687502156198132
1790037609.37436,-0.012266069422397816,-0.037618473438321
1790037609.394208,-0.012518699187625387,-0.0383956179383348
1790037609.4145992,-0.012780960218489932,-0.03920243507591205
1790037609.4350772,-0.013047072350852373,-0.0400211513313302
1790037609.4545798,-0.013302985370788122,-0.04080854459938152
1790037609.4752712,-0.013577284669823463,-0.04165255599024743
1790037609.4951975,-0.013844023580818376,-0.042473345056991074
1790037609.516337,-0.014129913382612075,-0.04335308413688153
1790037609.5354145,-0.014390286299270045,-0.044154332327233335
1790037609.5556135,-0.014668613842040634,-0.04501088767090713
1790037609.5848658,-0.015077259423485886,-0.04626857788728603
1790037609.594948,-0.015218767387908621,-0.04670410788283751
1790037609.6145744,-0.015496739134227087,-0.04755969075383392
1790037609.6349485,-0.015787998641339986,-0.04845623764108751
1790037609.656145,-0.016093930501168613,-0.04939801660907493
1790037609.6759603,-0.016382466723498187,-0.05028631933659106
1790037609.6954918,-0.016669338984692684,-0.05116957283921866
1790037609.7162209,-0.016976585264268082,-0.05211561731971486
1790037609.7362297,-0.017275754133030036,-0.05303683211343606
1790037609.7558243,-0.01757122026094732,-0.05394668810415301
