t,dr_x,dr_y
1790037462.4249663,0.0,0.0
1790037462.425289,1.1118679046370039e-10,-1.9619826674910557e-09
1790037462.4256856,4.1391215975919674e-10,-7.349318407058802e-09
1790037462.4260423,8.204359037616422e-10,-1.4598756366682486e-08
1790037462.4264836,1.5305594478533343e-09,-2.7259806578147736e-08
1790037462.426893,2.3672060847502402e-09,-4.217772694619195e-08
1790037462.4271972,3.0872338260127696e-09,-5.50167151812913e-08
1790037462.4284286,7.63030208770019e-09,-1.3564695464448703e-07
1790037462.449218,5.52849931582577e-07,-9.670385680194062e-06
1790037462.468984,1.4980257077883995e-06,-2.6119715981622418e-05
1790037462.4896665,2.957504868810447e-06,-5.141754608079945e-05
1790037462.5084012,4.663849098165006e-06,-8.09689267824041e-05
1790037462.5281112,6.887079912988006e-06,-0.00011941495847174845
1790037462.5536814,1.0496514075822134e-05,-0.00018168547108084925
1790037462.56833,1.2803719524705502e-05,-0.00022143144764297164
1790037462.5877478,1.6284225755695823e-05,-0.0002812854290979591
1790037462.6069796,2.0142733505058062e-05,-0.00034758964888401394
1790037462.6270585,2.461976442512293e-05,-0.0004244580458138573
1790037462.6457665,2.918100167160213e-05,-0.0005027056599059315
1790037462.6655796,3.445136169355116e-05,-0.0005930073626332305
1790037462.6904652,4.175020120938809e-05,-0.0007181506681535278
1790037462.70952,4.77387565472933e-05,-0.0008208458062332427
1790037462.7291486,5.4329051993292654e-05,-0.0009339319080283228
1790037462.7500796,6.183506080642808e-05,-0.0010628347954693463
1790037462.7691066,6.905313509089248e-05,-0.0011868838521117086
1790037462.8065498,8.479908707690677e-05,-0.0014576453735031013
1790037462.8091817,8.591347053424375e-05,-0.001476808754520466
1790037462.829196,9.482967307640784e-05,-0.0016301242270778445
1790037462.849665,0.0001044111161968115,-0.0017948508069194325
1790037462.869608,0.00011418460842449106,-0.0019628669663418158
1790037462.8888946,0.00012404207170638407,-0.0021323834954950615
1790037462.9088235,0.00013465822655767926,-0.0023150541549780235
1790037462.9285302,0.00014558291917270367,-0.002503036354747108
1790037462.9489336,0.00015734878078028588,-0.002705546871252841
1790037462.9674346,0.00016839826166064071,-0.0028956750099661073
1790037462.987496,0.0001808282692614459,-0.00310949730659441
1790037463.007498,0.00019366816891805676,-0.0033302879079204076
1790037463.028778,0.00020784182334631686,-0.003573774687257554
1790037463.0600548,0.0002297620339407241,-0.003950206366503299
1790037463.0660243,0.00023398550668795418,-0.004022728440111725
1790037463.08558,0.0002482500415936732,-0.004267559667469049
1790037463.1109805,0.0002675086515876995,-0.0045977994743904805
1790037463.1306555,0.0002828635023267851,-0.00486093850974731
1790037463.1504793,0.00029877635474725024,-0.005133523613452163
1790037463.1700802,0.00031494349254797645,-0.005410352597889485
1790037463.189909,0.0003317404131408049,-0.00569789634230349
1790037463.2100413,0.000349249475881297,-0.005997558016658439
1790037463.2305143,0.0003675280472395767,-0.006310262108314726
1790037463.2508378,0.0003861380888943712,-0.006628534369356257
1790037463.2692478,0.0004033769977077851,-0.006923278316375625
1790037463.3058872,0.0004392054638902789,-0.0075353739145094505
1790037463.309831,0.0004430794134340129,-0.007601552133758661
1790037463.3284826,0.00046179913764418293,-0.007921155209130159
1790037463.3490462,0.00048292328385817103,-0.008281563163445178
1790037463.3681476,0.0005029627638307455,-0.008623289832180282
1790037463.3877184,0.0005239326927126485,-0.008980720068603242
1790037463.4075773,0.0005456658172433333,-0.009350924007900746
1790037463.4276822,0.0005681336016790453,-0.009733404290864705
1790037463.449158,0.0005926655513931647,-0.010150729789193002
1790037463.467365,0.0006138474960068628,-0.010510834794131582
1790037463.487742,0.0006380339839103871,-0.010921742340130543
1790037463.5066454,0.0006608815955657342,-0.011309722977995578
1790037463.5284345,0.0006877684217663581,-0.011765945924352577
1790037463.557587,0.0007247325421267771,-0.012392481830993734
1790037463.5721366,0.0007434285079014981,-0.012709208736936983
1790037463.587895,0.000763968706074532,-0.013056979424981074
1790037463.6071062,0.0007894414879991356,-0.013487976366237955
1790037463.6281078,0.0008178087747654291,-0.013967516455630947
1790037463.6472592,0.0008441108073594949,-0.014411773710684653
1790037463.6669776,0.0008716553496507447,-0.014876552020491917
1790037463.687232,0.0009004409981872118,-0.0153617367959075
1790037463.7066865,0.0009285451298541063,-0.015834936110810927
1790037463.7291565,0.0009616118902847038,-0.016391063305479646
1790037463.752469,0.000996570864073969,-0.016978364285530595
1790037463.7723477,0.0010268612632150075,-0.01748666596127559
1790037463.8067276,0.0010806893611285666,-0.018388213953239817
1790037463.8091238,0.001084447903001355,-0.018451156237864877
1790037463.8297508,0.0011173262947262678,-0.019001065942987585
1790037463.847775,0.0011464474697368545,-0.019487744224362422
1790037463.867258,0.001178383197102912,-0.020021008070496504
1790037463.8868268,0.0012109206683982693,-0.020563872199579312
1790037463.9114292,0.0012525564159819812,-0.021257854596332417
1790037463.9317484,0.0012874444417564914,-0.021838848433283573
1790037463.9523869,0.0013233994341525753,-0.022437060304372158
1790037463.9714367,0.001357034012444147,-0.02299612535678851
1790037463.9924147,0.0013946188049310533,-0.02362015408583498
1790037464.0119123,0.0014300275157653707,-0.02420737861754332
1790037464.031219,0.0014655533619630451,-0.02479592861395821
1790037464.0585687,0.0015168147257139557,-0.025643879734483725
1790037464.0664258,0.0015316178499623898,-0.025888654113874723
1790037464.091513,0.0015796657649766257,-0.02668215949558594
1790037464.111504,0.001618454198305146,-0.02732206995267944
1790037464.1330178,0.001660785973274833,-0.028019512262097552
1790037464.151576,0.0016977367265725934,-0.028627694889882642
1790037464.1713912,0.0017376857536450158,-0.02928455499870935
1790037464.19091,0.0017775216521002985,-0.029938863950827076
1790037464.2120774,0.001821294421106753,-0.030656971471149968
1790037464.2317362,0.0018624451523490161,-0.031331271892074006
1790037464.2519271,0.0019052388383247805,-0.03203158903211915
1790037464.2713242,0.0019468333987090808,-0.03271152821180295
1790037464.3074076,0.002025909701740295,-0.03400114593652865
1790037464.312218,0.002036481987949514,-0.034173506640404736
1790037464.3317373,0.002079885385330112,-0.03488015767401221
1790037464.351706,0.002124812943721734,-0.035610671050881365
1790037464.3709447,0.0021685807592957155,-0.03632153876134786
1790037464.3909495,0.0022146123144789315,-0.037068359976948365
1790037464.410715,0.002260607961536767,-0.037813713516707315
1790037464.4307525,0.0023077606004490198,-0.03857696945280608
1790037464.4505613,0.002354886563938035,-0.039338987803961764
1790037464.4701264,0.0024019312459522216,-0.040098921990059856
1790037464.4899669,0.0024501530780387075,-0.040877041717996575
1790037464.5092032,0.0024973905907175755,-0.04163850627419115
1790037464.5293126,0.0025472963455971023,-0.04244222486044957
1790037464.5573597,0.0026179174706479048,-0.043578180232334694
1790037464.5697708,0.002649367276020175,-0.04408379290485915
1790037464.5903063,0.002701947830177465,-0.04492844849774036
1790037464.6099093,0.002752631741792686,-0.04574209161944148
1790037464.631991,0.0028103499047020613,-0.04666791508131709
1790037464.6517086,0.002862395576997147,-0.04750203689776314
1790037464.6697953,0.0029105662864166836,-0.04827339201368328
1790037464.6891894,0.002962719317874461,-0.049107671052349505
1790037464.709663,0.0030183328475949026,-0.04999636464921486
1790037464.7291007,0.003071636079896262,-0.050847305486326
1790037464.7492468,0.003127421961426036,-0.051737007054699004
1790037464.7698364,0.003185000183684203,-0.052654391422943904
1790037464.8099396,0.0032992972307991507,-0.05447199146072656
1790037464.8138237,0.0033103871545467323,-0.05464831788621131
1790037464.8305998,0.0033586574426696936,-0.05541527881281872
1790037464.8470483,0.00340634047624986,-0.05617242830040044
1790037464.8674483,0.0034660241097293908,-0.057119415405121284
1790037464.8872914,0.0035245923903478873,-0.0580480541845066
1790037464.9072216,0.0035839343821690516,-0.05898834484237672
1790037464.928984,0.0036493426833914483,-0.06002411744347143
1790037464.948587,0.0037087559473163306,-0.060964449383260816
1790037464.9674082,0.0037662552831134346,-0.06187405531188526
1790037464.9874148,0.0038278901790022267,-0.06284862819789966
1790037465.0074582,0.0038901536823535716,-0.06383267850549787
1790037465.0284564,0.003955951247224624,-0.06487204213193487
1790037465.0590525,0.00405302785214606,-0.0664043559691188
1790037465.068421,0.004082864015774282,-0.0668752216632561
1790037465.0879226,0.004145452575577652,-0.0678626511243606
1790037465.1080549,0.004210577524830933,-0.06888973572209664
1790037465.1278472,0.004275092424628941,-0.0699069533415694
1790037465.1485844,0.004343225803606917,-0.07098094809812672
1790037465.1683202,0.004408555422603567,-0.07201053358019713
1790037465.1878889,0.004473803546466058,-0.07303874099189869
1790037465.2081783,0.004541960740385335,-0.0741126936243195
1790037465.228573,0.004610988900410536,-0.07520016948217272
1790037465.24905,0.004680814559325369,-0.07630001972834505
1790037465.2678216,0.004745258920429053,-0.07731500028473424
1790037465.3032558,0.004868424361129779,-0.07925486085190422
1790037465.3086045,0.004887050470777001,-0.07954822173014568
1790037465.3291178,0.004958999456156221,-0.08068134399354497
1790037465.3490968,0.005029565002904979,-0.08179257575713804
1790037465.3695097,0.005102168648813697,-0.08293590980993493
1790037465.3894198,0.0051734655921956705,-0.08405868170429286
1790037465.4093237,0.005245227113018797,-0.0851886860585571
1790037465.4298646,0.005319795700882977,-0.08636291976816925
1790037465.4485724,0.005388132641792294,-0.0874390410660475
1790037465.4676404,0.005458223695805898,-0.0885428276439694
1790037465.4886768,0.005536087194538298,-0.08976900658907315
1790037465.5084925,0.005609911600997316,-0.09093152550582219
1790037465.5293753,0.005688244021708406,-0.09216497904975658
1790037465.5582087,0.0057974107561820755,-0.09388391974218349
1790037465.5689013,0.005838034035866783,-0.09452356098704527
1790037465.5895774,0.005917107986692419,-0.09576862560428863
1790037465.609715,0.005994614254441495,-0.09698902108964998
1790037465.6293995,0.006070848038952587,-0.09818937039064544
1790037465.649135,0.006147756985851968,-0.09940026943745267
1790037465.6681345,0.006222240018264274,-0.1005728858187161
1790037465.68813,0.006301116622578829,-0.1018146130229205
1790037465.707607,0.0063784150044818985,-0.10303139546298874
1790037465.729391,0.00646545585276377,-0.10440136311224235
1790037465.7481413,0.00654080710216404,-0.105587259113499
1790037465.7679172,0.006620753728421866,-0.1068455162950187
1790037465.8081863,0.006785495556946766,-0.10943873731412114
1790037465.8125305,0.006803290541877631,-0.1097188548786631
1790037465.8297124,0.006874023942773176,-0.11083239192807652
1790037465.8503103,0.006959328495336631,-0.1121754248345133
1790037465.8694215,0.007038913135769806,-0.1134284916358432
1790037465.8895636,0.007123272890894438,-0.11475690186130422
1790037465.9095426,0.007207427209346144,-0.11608218284300016
1790037465.930329,0.007295500064804464,-0.11746929041270118
1790037465.950572,0.007381755103398676,-0.11882796380064342
1790037465.9706717,0.007467883083524108,-0.12018475958512755
1790037465.9899435,0.00755091321512076,-0.12149280583803916
1790037466.0101614,0.007638513639975335,-0.1228728866340907
1790037466.0306246,0.00772768068455834,-0.12427772345048202
1790037466.057327,0.00784489011828021,-0.12612452370566418
1790037466.071458,0.007907157700319066,-0.12710567798029374
1790037466.0909517,0.00799350650171707,-0.1284664311643807
1790037466.1113346,0.008084290020759688,-0.12989720070176633
1790037466.1314073,0.008174172307201326,-0.13131389740396138
1790037466.1516695,0.008265381146428056,-0.13275183061301205
1790037466.1704843,0.00835048445315394,-0.13409383203716332
1790037466.1908112,0.008442906160537863,-0.1355516219992223
1790037466.211579,0.008537833853171464,-0.137049318528274
1790037466.2314415,0.008629076126351169,-0.13848926630191555
1790037466.2519934,0.00872396407768355,-0.13998727843047448
1790037466.272549,0.008819344817849024,-0.14149362622128236
1790037466.305442,0.008973188798069362,-0.14392476235079396
1790037466.307541,0.008983010042669756,-0.14407996874603068
1790037466.32771,0.009077851363631503,-0.14557924331913688
1790037466.349263,0.009179728996322646,-0.14719028263034553
1790037466.367012,0.009263981140971001,-0.14852301801228993
1790037466.3899848,0.009373623433667034,-0.15025812076640924
1790037466.4075334,0.009457720329560266,-0.15158944157339518
1790037466.430502,0.009568377235037567,-0.15334205178424748
1790037466.448604,0.00965595126048449,-0.15472960899290444
1790037466.4664133,0.009742457195047181,-0.1561007744038663
1790037466.489488,0.009855133761851508,-0.15788752510869544
