t,dr_x,dr_y
1790035351.0914009,0.0,0.0
1790035351.0916357,-1.439611891287794e-11,-1.6627716082194612e-09
1790035351.0919392,-5.8132797877129684e-11,-6.590575849270489e-09
1790035351.0921955,-1.1325620398449761e-10,-1.2735128300950312e-08
1790035351.0924606,-1.8973998658472595e-10,-2.1213245187084542e-08
1790035351.0927613,-3.027428400263498e-10,-3.3557013422418065e-08
1790035351.0929923,-4.050913121576251e-10,-4.465427671190562e-08
1790035351.094802,-2.1643780840144288e-09,-2.3040223166392922e-07
1790035351.1165297,-1.603492115670587e-07,-1.668760803466098e-05
1790035351.1342394,-3.810188773013162e-07,-3.95478478063842e-05
1790035351.157391,-8.264843801486579e-07,-8.557411961096671e-05
1790035351.1749587,-1.2534428435079659e-06,-0.0001297897947786113
1790035351.1979284,-1.957835347527062e-06,-0.00020348231524731816
1790035351.21564,-2.5918250898429432e-06,-0.0002697504764084992
1790035351.233559,-3.3294497548669722e-06,-0.0003464688664410776
1790035351.2564118,-4.422847113511371e-06,-0.0004600712399944768
1790035351.2740257,-5.354453889276706e-06,-0.0005569797764001512
1790035351.2971704,-6.734449526841446e-06,-0.0007004395974170872
1790035351.3154078,-7.921549185999566e-06,-0.0008234681560940892
1790035351.337832,-9.533190567048993e-06,-0.0009898497281441681
1790035351.3554626,-1.0894484409598179e-05,-0.001130000690371092
1790035351.3732996,-1.2366558987463855e-05,-0.0012813483185951317
1790035351.3970158,-1.4492364333837889e-05,-0.0014994802700063136
1790035351.414055,-1.610571411162982e-05,-0.001664924339315218
1790035351.437195,-1.844418280679356e-05,-0.0019057087273740485
1790035351.462077,-2.1128087476923632e-05,-0.002183256315560016
1790035351.4777896,-2.2895194894182197e-05,-0.002365944623062413
1790035351.4968815,-2.514719296205865e-05,-0.0025988644497252386
1790035351.5132456,-2.7153126722952687e-05,-0.0028065385352756948
1790035351.5363884,-3.0141433716467676e-05,-0.0031162945037481907
1790035351.5542114,-3.2533924260080134e-05,-0.0033643660046078724
1790035351.5772085,-3.577526106957405e-05,-0.003700295035404156
1790035351.5962062,-3.855403945440924e-05,-0.003988615837147944
1790035351.6181571,-4.1904850314267285e-05,-0.004336207009667657
