t,dr_x,dr_y
1790035514.1071117,0.0,0.0
1790035514.1073549,-1.3150297650832182e-10,-2.2303281094483414e-09
1790035514.1076405,-4.683882844934472e-10,-7.92931436469703e-09
1790035514.1078804,-8.789325834217814e-10,-1.4886508768601657e-08
1790035514.1081264,-1.4344215061438395e-09,-2.4308778174580017e-08
1790035514.1084037,-2.2315326345194336e-09,-3.782839913124349e-08
1790035514.108612,-2.927201143179445e-09,-4.962699886934606e-08
1790035514.1090684,-4.914387384249182e-09,-8.331109316047274e-08
1790035514.1318705,-1.2549375369974794e-06,-2.1335507858002717e-05
1790035514.1494462,-2.9002001385300746e-06,-4.933320510747885e-05
1790035514.1720831,-6.153741232926808e-06,-0.00010465415343583449
1790035514.189945,-9.428232064817909e-06,-0.0001602862123477194
1790035514.2094042,-1.3839915060951533e-05,-0.00023511005358888492
1790035514.2316904,-1.9999365508911833e-05,-0.0003394508275203572
1790035514.2494378,-2.560854841679724e-05,-0.000434365525503878
1790035514.2724135,-3.404373335725958e-05,-0.0005770269506854019
1790035514.2902002,-4.1281034723217005e-05,-0.0006993124361001572
1790035514.3129036,-5.166834720399477e-05,-0.000874669966932844
1790035514.330584,-6.045342496553686e-05,-0.0010229079092248688
1790035514.3481395,-6.986260246788116e-05,-0.0011816010820796744
1790035514.3714526,-8.35634767726771e-05,-0.0014126147863695927
1790035514.389166,-9.466890327337009e-05,-0.0015998406442846685
1790035514.412058,-0.00011018368180400724,-0.0018613255097495998
1790035514.4297435,-0.00012286663509335558,-0.002075005703493677
1790035514.4529269,-0.0001406828431047746,-0.0023751693031035664
1790035514.4780118,-0.00016134383073042818,-0.002723418426942502
1790035514.4882803,-0.00017003330456039333,-0.002869904598202065
1790035514.5112512,-0.00019062493365741727,-0.003217262212309116
1790035514.5291677,-0.00020738797999754103,-0.0035001404519989904
1790035514.5522764,-0.00023017272967117093,-0.0038848723199786774
1790035514.569689,-0.00024800352322264534,-0.0041860505291312754
1790035514.592758,-0.0002727938939297573,-0.004604849163394468
1790035514.6116543,-0.0002938793759272412,-0.004961172444623377
1790035514.628163,-0.0003128982099753351,-0.005282608191423851
1790035514.6513126,-0.000340746558451771,-0.005753265913844372
1790035514.6690817,-0.000362818324075706,-0.0061262790778879635
1790035514.692343,-0.0003929081192685565,-0.006634689504004813
1790035514.7108665,-0.0004176279222481063,-0.007052277016731181
1790035514.732771,-0.0004479224964861681,-0.007563864121994535
1790035514.750712,-0.0004734441568960371,-0.007994801685540958
1790035514.7682512,-0.000499074082979976,-0.008427468852969872
1790035514.791325,-0.000533975671185999,-0.00901635998621448
1790035514.8097985,-0.0005626786506439073,-0.009500457255142515
1790035514.831979,-0.0005982374857985085,-0.010099893207482686
1790035514.8497546,-0.0006274382132778242,-0.01059196313099781
1790035514.8735287,-0.0006677515061001642,-0.011270997398080473
1790035514.8902097,-0.0006966610414962883,-0.011757707507756697
1790035514.908864,-0.0007297676798226626,-0.012314838707290079
1790035514.9311593,-0.0007704532585759648,-0.012999034786860672
1790035514.9487529,-0.0008032525623490435,-0.013550350818922455
1790035514.9740906,-0.0008519224318346393,-0.014367969376141512
1790035514.9895751,-0.0008822014589405704,-0.014876458112316865
1790035515.012512,-0.0009282396806209867,-0.015649013335845997
1790035515.0303528,-0.0009647695273874283,-0.016261631684380915
1790035515.0480573,-0.0010017320120569483,-0.01688109541548968
1790035515.071151,-0.0010511538224801627,-0.017708738221006437
1790035515.0889833,-0.0010900396413718765,-0.01835950238351092
1790035515.109912,-0.0011366725683360902,-0.019139333314328717
1790035515.1288884,-0.0011797708422668991,-0.019859623136558924
1790035515.153505,-0.0012370550366565128,-0.02081619197447769
1790035515.1735132,-0.0012845221153348107,-0.021608328071820407
1790035515.193366,-0.001332513333405808,-0.022408729162573176
1790035515.2129416,-0.0013807080730364886,-0.023211955031651105
1790035515.235311,-0.0014369132341825602,-0.02414808773142109
