t,dr_x,dr_y
1790035432.0953045,0.0,0.0
1790035432.0954378,-2.4751226386088672e-11,-6.223421743479835e-10
1790035432.0956037,-9.409415359479099e-11,-2.362420450477074e-09
1790035432.0957265,-1.6654710522622944e-10,-4.178840860393293e-09
1790035432.095846,-2.5703972586815277e-10,-6.446382479535277e-09
1790035432.0960023,-4.0965194537547786e-10,-1.0273977604336684e-08
1790035432.0961215,-5.457956283917362e-10,-1.369010098068063e-08
1790035432.10385,-9.18346600008645e-08,-2.3299815364509947e-06
1790035432.1215332,-7.375849597002822e-07,-1.8587966683992704e-05
1790035432.1450524,-2.362552070830126e-06,-5.958253070331118e-05
1790035432.162192,-3.957110353421916e-06,-9.974216329294611e-05
1790035432.1851192,-6.829445266085783e-06,-0.00017186079174589397
1790035432.2029762,-9.507746024365632e-06,-0.00023919739282962768
1790035432.2211385,-1.2689444533319182e-05,-0.0003192433531134619
1790035432.243775,-1.736668073445291e-05,-0.00043698099172740756
1790035432.2613926,-2.1433758725191327e-05,-0.0005395133314052067
1790035432.2845817,-2.7524676928671882e-05,-0.0006933416427506569
1790035432.3020742,-3.253677257323482e-05,-0.000820109499714322
1790035432.3251328,-3.986454306981718e-05,-0.0010058447334652656
1790035432.342955,-4.5961187895144115e-05,-0.001160520987800807
1790035432.3603115,-5.231174035989446e-05,-0.001321691889529633
1790035432.3838165,-6.167146129506208e-05,-0.0015592740853117776
1790035432.4011548,-6.89874546444413e-05,-0.0017450363692689942
1790035432.424366,-7.95168222471178e-05,-0.0020125801237130835
1790035432.4423132,-8.80989759333717e-05,-0.002230734116372086
1790035432.4725084,-0.00010378567795653426,-0.0026297422525395618
1790035432.48341,-0.00010960998447965951,-0.0027779608657732533
1790035432.501117,-0.00011948960456188607,-0.0030296902757127125
1790035432.5235372,-0.00013266472619511555,-0.0033660123415561517
1790035432.5414174,-0.00014359472260845398,-0.0036454205741011563
1790035432.5643632,-0.00015831938056798007,-0.004022410906704645
1790035432.581951,-0.00017002333672787634,-0.004322194198855034
1790035432.6050613,-0.00018612176400577016,-0.00473481160401673
1790035432.6230106,-0.00019906681944784345,-0.005066572423935815
1790035432.6411247,-0.0002125827139283066,-0.005412887316707667
1790035432.663844,-0.00023025414212433186,-0.005865380176030555
1790035432.6810591,-0.00024406136548691662,-0.006218650706129673
1790035432.7043514,-0.00026351929169368644,-0.006715660465179286
1790035432.722044,-0.0002787455725341523,-0.007104147652743449
1790035432.7449317,-0.0002991861399585118,-0.007625060295375473
1790035432.7628963,-0.0003156868694039401,-0.008045230839179051
1790035432.7809143,-0.0003326953095462614,-0.008478022696501887
1790035432.8035307,-0.0003547661639692689,-0.00903918808502196
1790035432.8212316,-0.0003724793166815269,-0.009489367574652421
1790035432.844756,-0.0003967963689223364,-0.010107062500218608
1790035432.86177,-0.00041479208777904503,-0.010563978506373159
1790035432.8850186,-0.0004401456204630508,-0.011207291909228378
1790035432.9028585,-0.00046004983226438103,-0.011712097462792358
1790035432.9203298,-0.00047997198851243916,-0.01221715919691724
1790035432.943513,-0.0005071630909672274,-0.01290617104804888
1790035432.9681003,-0.0005368455697853839,-0.01365809426582638
1790035432.9844058,-0.0005569010345635725,-0.014166054091004777
1790035433.0019832,-0.0005789517415347254,-0.014724465489746983
1790035433.0262592,-0.0006102269323994461,-0.015516341436083072
1790035433.0462077,-0.0006364856293042041,-0.01618102003200954
1790035433.0630283,-0.0006590235768279568,-0.016751413238013373
1790035433.0858045,-0.0006902720539911547,-0.017541968822554904
1790035433.1032314,-0.0007146139242474597,-0.018157508978193668
1790035433.1212242,-0.00074020124302592,-0.01880438462458948
1790035433.1442502,-0.0007736896502704696,-0.01965080066183332
1790035433.1617048,-0.0007995000530434275,-0.020303099047075925
1790035433.1850238,-0.0008347405578171012,-0.021193596913544038
1790035433.2024689,-0.0008615286974234342,-0.02187044999649892
1790035433.225885,-0.0008982504164234769,-0.022798200316560546
1790035433.2439182,-0.0009269847544224081,-0.023524099195250548
1790035433.2615411,-0.0009555004282383518,-0.024244397657991176
1790035433.284397,-0.0009932172335266381,-0.025196920339784615
1790035433.3016503,-0.0010221088568227164,-0.02592641016811188
1790035433.3249063,-0.0010618141797230534,-0.026928665863182995
1790035433.3427956,-0.0010928111265598105,-0.027710848377521302
1790035433.3655808,-0.0011330299441341632,-0.02872528762310462
1790035433.3832057,-0.0011645873440924868,-0.029520856391475243
1790035433.4018564,-0.0011984800724886599,-0.03037491569975496
1790035433.4240537,-0.0012395253572427172,-0.03140863421257387
1790035433.4420006,-0.001273178105393478,-0.03225571219675254
1790035433.4673977,-0.0013217375696180874,-0.033477075759812853
1790035433.4824803,-0.0013509053715057672,-0.03421039071968023
1790035433.5055091,-0.0013962140153510037,-0.035348643125226134
1790035433.5233362,-0.0014317515581613487,-0.03624091549059083
1790035433.5410876,-0.0014676017584946642,-0.03714043706799731
1790035433.5642638,-0.0015152024561678786,-0.03833363409510492
1790035433.5815673,-0.0015511858782485462,-0.039234950063781374
1790035433.6048982,-0.0016005149149855185,-0.04046925955475813
1790035433.62245,-0.0016380846210634471,-0.041408607921191366
1790035433.6459477,-0.0016892060230843714,-0.042685485812250325
1790035433.6635847,-0.0017280453636071278,-0.04365479842073282
1790035433.681547,-0.001768085660813526,-0.044653284869143675
1790035433.7044027,-0.001819812194831941,-0.0459420715372176
1790035433.7227778,-0.0018619002846192601,-0.0469900149968073
1790035433.741114,-0.0019043994368310936,-0.04804748964284482
1790035433.7643833,-0.0019591407841379007,-0.04940841711891761
1790035433.782115,-0.0020013240191583135,-0.05045645855809759
1790035433.8060267,-0.0020590690131877865,-0.05188977289510463
1790035433.8226702,-0.002099678553024278,-0.05289711017185098
1790035433.845579,-0.0021563713337077544,-0.054302020197149234
1790035433.86366,-0.0022016156623343983,-0.055422338233023914
1790035433.8807948,-0.002244934934810297,-0.05649429021481529
1790035433.90402,-0.0023044625578724654,-0.05796615269275282
1790035433.9216456,-0.002350108565185703,-0.05909400499514266
1790035433.9447906,-0.002410869067069356,-0.06059376344429488
1790035433.9697516,-0.0024773544191997675,-0.06223297516616122
1790035433.985602,-0.002519954522285376,-0.0632826583216911
1790035434.002889,-0.0025668666918797307,-0.06443793257047287
1790035434.0206778,-0.0026156144100932133,-0.06563781341824815
1790035434.0438902,-0.002680043966736799,-0.06722237565563806
1790035434.0615983,-0.0027296713433316014,-0.06844217805557058
1790035434.0847323,-0.002795306777968127,-0.07005447547108644
1790035434.1023457,-0.002845744066784192,-0.07129287391881889
1790035434.1255522,-0.002912997642722449,-0.07294335768957803
1790035434.1434093,-0.0029652191656577838,-0.07422453430077598
1790035434.1608913,-0.0030167937136209516,-0.07548949121703263
1790035434.1837912,-0.00308511515233804,-0.0771648054267203
1790035434.2014885,-0.003138370472607395,-0.07847046481719537
1790035434.224586,-0.0032086470632903736,-0.08019320215413062
1790035434.2427263,-0.0032643169768484873,-0.08155772654189676
1790035434.2654133,-0.0033346847155569298,-0.08328229985851981
1790035434.282943,-0.0033895006549276713,-0.08462560944243191
1790035434.3017092,-0.0034486911043029173,-0.08607599481063588
1790035434.3238325,-0.0035191758394328173,-0.0878029854060921
1790035434.341622,-0.003576310251063538,-0.08920274974896643
1790035434.3648365,-0.003651652328570112,-0.09104821009994173
1790035434.382149,-0.0037082783089464996,-0.0924349828169126
1790035434.4053,-0.0037847836053022717,-0.09430817343119821
1790035434.422951,-0.0038435691223267306,-0.09574725852826921
1790035434.440658,-0.0039029971830377547,-0.09720188509016375
1790035434.471811,-0.004008951551066404,-0.09979508374165845
1790035434.481576,-0.004042299484355073,-0.1006112621956818
1790035434.50452,-0.0041214105172729144,-0.10254741565072988
1790035434.5220718,-0.004182375208227307,-0.10403933409984939
1790035434.545378,-0.004264115913712475,-0.10603936790025044
1790035434.5631196,-0.0043267966373906315,-0.10757288941246873
1790035434.5803835,-0.00438822308960209,-0.10907553251940878
1790035434.6038446,-0.004472497026670096,-0.11113682910382683
