t,dr_x,dr_y
1790035690.4570534,0.0,0.0
1790035690.4575732,-2.2464300898495133e-11,-1.507684638508998e-09
1790035690.4581966,-8.351661074041202e-11,-5.475416939457968e-09
1790035690.4587524,-1.60477797770145e-10,-1.0723110839998764e-08
1790035690.4593005,-2.583072803691832e-10,-1.756298696888524e-08
1790035690.460023,-4.29060562986007e-10,-2.9468943459283332e-08
1790035690.4605608,-5.793776932622927e-10,-3.993637014237578e-08
1790035690.4616983,-9.92018100814217e-10,-6.928442473158708e-08
1790035690.4794145,-3.102610731849889e-08,-2.2813288231074683e-06
1790035690.4985995,-9.421868790066316e-08,-6.7459757379636125e-06
1790035690.518326,-1.8946238319994606e-07,-1.3530958357812814e-05
1790035690.5387604,-3.1473710628467815e-07,-2.2913697066427284e-05
1790035690.5627449,-4.969075785790869e-07,-3.716241398231268e-05
1790035690.5859897,-7.069806524860533e-07,-5.400893410514229e-05
1790035690.6024938,-8.781118785767875e-07,-6.748855511264625e-05
1790035690.6219585,-1.114108397615249e-06,-8.548565588814664e-05
1790035690.641112,-1.3804026666086242e-06,-0.00010523411929832534
1790035690.6604447,-1.6801704669438645e-06,-0.0001272533086501814
1790035690.6814537,-2.0382414944887852e-06,-0.00015365191573006354
1790035690.700468,-2.385272771241965e-06,-0.0001795741524852005
1790035690.7197323,-2.7665241554591196e-06,-0.00020792603923748407
1790035690.7381885,-3.155113691976667e-06,-0.00023701033804670723
1790035690.7610524,-3.6751507842394958e-06,-0.00027599032589383367
1790035690.7781596,-4.09012468210072e-06,-0.00030680394019996706
1790035690.8026063,-4.73419434262817e-06,-0.0003542006698760323
1790035690.8350706,-5.68513363535621e-06,-0.0004230498125000935
1790035690.842287,-5.90115384305295e-06,-0.00043864677683455225
1790035690.8624563,-6.539082486637533e-06,-0.00048454211393165976
1790035690.881261,-7.163512098609897e-06,-0.0005293458956751013
1790035690.899961,-7.813590881596869e-06,-0.0005759006878221943
1790035690.9197843,-8.537830198363034e-06,-0.0006275070245675074
1790035690.9390123,-9.273989288814064e-06,-0.0006796828235263862
1790035690.96062,-1.0146694448502644e-05,-0.0007409915166658711
1790035690.9787142,-1.0910755743741646e-05,-0.0007942016956223086
1790035690.9987292,-1.1790650252728972e-05,-0.000855346630479241
1790035691.0190194,-1.2717745249236644e-05,-0.0009196664860731595
1790035691.0380836,-1.3624266997329956e-05,-0.0009821659561014388
1790035691.0593846,-1.4672570410209837e-05,-0.0010545933151852038
1790035691.084294,-1.5950070029299415e-05,-0.001142852877909817
1790035691.098274,-1.6681208688059667e-05,-0.0011935098982635809
1790035691.1187315,-1.777818324914609e-05,-0.001270049480440617
1790035691.1388943,-1.8885722429685836e-05,-0.0013478270170725296
1790035691.159946,-2.006892204486849e-05,-0.0014315835688052212
1790035691.178774,-2.114861310180282e-05,-0.0015085331689597284
1790035691.198938,-2.233021662198343e-05,-0.0015932705382629311
1790035691.2185245,-2.350555852065469e-05,-0.0016777702991548724
1790035691.2383444,-2.4722130738022352e-05,-0.0017655250053967603
1790035691.2615988,-2.6197031592090475e-05,-0.0018715977388489486
1790035691.2795022,-2.736058650162927e-05,-0.001955113585477887
1790035691.2990253,-2.8656543113173126e-05,-0.0020483967794792004
1790035691.339603,-3.147527744032089e-05,-0.0022518583426290556
1790035691.3411992,-3.158635233105494e-05,-0.0022598767785764534
1790035691.3607676,-3.29764321250518e-05,-0.002360400347796916
1790035691.3789818,-3.429325843617651e-05,-0.0024558894012390534
