t,dr_x,dr_y
1790035595.1202512,0.0,0.0
1790035595.1207545,-5.733345654795507e-10,-2.8427791312300064e-09
1790035595.1213996,-2.254569712433582e-09,-1.114751413716014e-08
1790035595.1219275,-4.265499339436363e-09,-2.105672255397503e-08
1790035595.1224236,-6.716957654842771e-09,-3.3122145368583886e-08
1790035595.123077,-1.0913499432267528e-08,-5.376341449388356e-08
1790035595.1235926,-1.4830031961200989e-08,-7.30211940584301e-08
1790035595.1245432,-2.4102530314155835e-08,-1.1860649803505107e-07
1790035595.1384385,-5.984583949695872e-07,-2.9451833892742248e-06
1790035595.1617663,-2.8023135618818276e-06,-1.3795565430701527e-05
1790035595.1794226,-5.182685167439365e-06,-2.550798842402644e-05
1790035595.1970596,-8.270037522482695e-06,-4.0704607929505485e-05
1790035595.2201204,-1.351484761329889e-05,-6.654791205513676e-05
1790035595.2373538,-1.811063518352078e-05,-8.919247587851254e-05
1790035595.260602,-2.5531299476453734e-05,-0.00012579615448738319
1790035595.2782738,-3.187745816366967e-05,-0.00015710808811492368
1790035595.2959569,-3.893375684175107e-05,-0.00019193737568494042
1790035595.3194392,-4.9553834996812854e-05,-0.00024437565793261704
1790035595.336694,-5.8033885862738563e-05,-0.0002862546483053075
1790035595.359911,-7.067824986075625e-05,-0.00034866546986131745
1790035595.377458,-8.094005614357153e-05,-0.0003992983048458585
1790035595.4005466,-9.5665176050623e-05,-0.00047192465831077474
1790035595.4197068,-0.00010872584827891578,-0.0005363285427341859
1790035595.4414322,-0.00012461767450893941,-0.0006146649401999618
1790035595.4588623,-0.00013806684086795036,-0.0006809218133929413
1790035595.4844916,-0.00015935085960665956,-0.0007857405560686313
1790035595.5001135,-0.00017288701187130208,-0.0008523897344647973
1790035595.5187645,-0.00018985226681662601,-0.0009358964364500331
1790035595.5408833,-0.00021109987956680935,-0.0010404764998398616
1790035595.5588288,-0.00022908204112833517,-0.0011289792554460929
1790035595.5819712,-0.0002535057518474568,-0.0012491859662103189
1790035595.59998,-0.000273257685880544,-0.0013464065305059468
1790035595.6210444,-0.0002973889077911798,-0.0014651464097783097
1790035595.6375127,-0.0003168836294539628,-0.0015610406342343834
1790035595.6624,-0.00034777950530481393,-0.0017129377101192079
1790035595.6823518,-0.0003734728251713672,-0.0018391802855803054
1790035595.7027209,-0.00040066957136576404,-0.001972716126490122
1790035595.7224302,-0.00042788792589925587,-0.002106297141362521
1790035595.7429202,-0.00045715586065638833,-0.002249895164237802
1790035595.7593007,-0.0004811723637126422,-0.002367720558552113
1790035595.7791436,-0.0005111670865877172,-0.002514892738826134
1790035595.797529,-0.0005397312866632316,-0.0026550663987407186
1790035595.8215346,-0.0005783541528099402,-0.002844574038056995
1790035595.8409111,-0.0006103880899649327,-0.003001756497772034
1790035595.859144,-0.0006412893619985804,-0.0031533891998224315
1790035595.8793635,-0.0006764877732969137,-0.00332611524647532
1790035595.898467,-0.0007105768685463314,-0.0034933878647473667
1790035595.9201202,-0.0007502849868235617,-0.003688240667401834
1790035595.9377277,-0.0007832830043087729,-0.003850169127130963
1790035595.9616067,-0.0008293424935844717,-0.004076199710918636
1790035595.9890864,-0.0008840815226605857,-0.0043448256530063695
1790035596.0000904,-0.0009062777646691017,-0.00445375973378755
1790035596.0208457,-0.0009491238641173582,-0.004664081104982176
1790035596.0371618,-0.0009834122223801665,-0.004832416022066938
1790035596.0611458,-0.0010351238562185015,-0.005086324651980651
1790035596.0791929,-0.0010747748195713556,-0.0052810282782518765
1790035596.1026938,-0.001127665754278569,-0.005540766548895553
1790035596.1216338,-0.0011711089187774338,-0.005754127362346392
1790035596.139364,-0.0012124921011508877,-0.005957400653649817
1790035596.1569014,-0.0012541220974446965,-0.0061619298756158455
1790035596.1799753,-0.0013101070038193914,-0.006437042724998461
1790035596.1976285,-0.0013536471476142,-0.006651045395206393
1790035596.2210052,-0.0014125507099733438,-0.006940607438839203
1790035596.239095,-0.001458879528885267,-0.0071683728527816475
1790035596.256843,-0.0015050530801804642,-0.00739537843437448
1790035596.2796874,-0.001565684516099161,-0.007693414187005772
1790035596.2974467,-0.0016135426447905017,-0.007928645605081143
1790035596.3207982,-0.0016777197822272637,-0.008244065768131371
1790035596.338494,-0.0017270732677398797,-0.008486615928380336
1790035596.3614292,-0.001792238386745317,-0.008806910072811251
1790035596.378819,-0.0018423374392270164,-0.00905317146047799
1790035596.396735,-0.0018946822224047708,-0.009310503957382421
1790035596.419919,-0.0019636505766142446,-0.009649565899955857
1790035596.4375472,-0.0020167955812857618,-0.009910874286808778
1790035596.4607308,-0.0020879134591692107,-0.010260576232062547
1790035596.4855804,-0.0021655502674295703,-0.01064233048895716
1790035596.5011897,-0.0022148725153418878,-0.010884863795986884
1790035596.5196486,-0.002273977897162927,-0.011175508495761325
1790035596.5368357,-0.002329684268243901,-0.01144946099416082
1790035596.5597663,-0.002405204074447779,-0.011820884892066024
1790035596.577336,-0.002463771554889992,-0.012108957972566472
1790035596.6004832,-0.0025421408813581657,-0.012494518511754602
1790035596.619471,-0.002607247674961065,-0.012814860456133151
1790035596.641904,-0.0026853134261230357,-0.013198973202613512
1790035596.6599076,-0.0027487035494141135,-0.013510871400088185
1790035596.6775477,-0.0028115251136375877,-0.013819949200420565
1790035596.7005577,-0.0028946826911835596,-0.014229029605934784
1790035596.7195418,-0.0029641125832145644,-0.014570577748190988
1790035596.741191,-0.0030443466540350044,-0.01496534265958432
1790035596.7592418,-0.003111982297295561,-0.01529816817055056
1790035596.7765417,-0.003177479162219682,-0.015620524464268527
1790035596.7996602,-0.0032662231826932043,-0.016057336037929384
