t,dr_x,dr_y
1790035782.5171397,0.0,0.0
1790035782.5173612,8.816383467114585e-11,-2.653660606312823e-11
1790035782.5179484,9.416162246558039e-10,-2.83418920122345e-10
1790035782.518347,1.806562262528013e-09,-5.437607298733942e-10
1790035782.5187793,3.0839035866524825e-09,-9.175370444549696e-10
1790035782.5191572,4.461396684648024e-09,-1.3180695731487552e-09
1790035782.5194824,5.839956651238266e-09,-1.717381218446117e-09
1790035782.5199623,8.294364580608026e-09,-2.4375178483479013e-09
1790035782.5202775,1.0087250614393568e-08,-2.96767308465636e-09
1790035782.520573,1.1926558173360205e-08,-3.514802951102671e-09
1790035782.5365486,5.753802835155466e-07,-1.843833589888203e-07
1790035782.556107,1.953351212771432e-06,-6.354300931263499e-07
1790035782.5753818,3.983591475673677e-06,-1.3004605494618744e-06
1790035782.6087255,9.515532264049041e-06,-3.0836007289404527e-06
1790035782.6195605,1.1525656638180128e-05,-3.7256174726999802e-06
1790035782.6393085,1.5892326380975655e-05,-5.0906295737456546e-06
1790035782.6598012,2.1182344783662434e-05,-6.726221212531108e-06
1790035782.6798522,2.7089670670415225e-05,-8.54000372834436e-06
1790035782.6993308,3.3516676799238935e-05,-1.0510561180778197e-05
1790035782.719305,4.083150323561854e-05,-1.2750966443674244e-05
1790035782.7393374,4.889332094631376e-05,-1.5215575774336496e-05
1790035782.758881,5.745140661692153e-05,-1.7825387181099335e-05
1790035782.7787254,6.686091351196821e-05,-2.068027707990367e-05
1790035782.79762,7.647438321145682e-05,-2.3576307817556877e-05
1790035782.8175566,8.73449179309342e-05,-2.6814608470192865e-05
1790035782.8533535,0.00010922021190127695,-3.3177862516139895e-05
1790035782.8576295,0.00011186714298886224,-3.3946261397096564e-05
1790035782.877663,0.00012500955150436348,-3.7741069305458735e-05
1790035782.8973727,0.00013865744972079843,-4.166698898624251e-05
1790035782.9169476,0.00015292197394959516,-4.576569232999818e-05
1790035782.9359372,0.00016742852168485323,-4.9934599460001495e-05
1790035782.9547198,0.00018242955217289856,-5.4246451940912295e-05
1790035782.9795806,0.00020343417080291977,-6.0280075600222736e-05
1790035782.9998991,0.00022137409179387598,-6.542906794725076e-05
1790035783.015565,0.00023566339581003237,-6.951825579020661e-05
1790035783.0361092,0.0002551893075964871,-7.5064927905333e-05
1790035783.0548728,0.0002736830854696056,-8.029407109068281e-05
1790035783.0799446,0.00029957910014377,-8.75991889600685e-05
1790035783.1089098,0.0003310736098574849,-9.6479115477814e-05
1790035783.119605,0.0003429175804999551,-9.981980145527343e-05
1790035783.140067,0.00036635979474811955,-0.00010643883443529317
1790035783.159829,0.00038972906611744887,-0.00011304428690400089
1790035783.1800914,0.00041445959834907975,-0.00012003370412667065
1790035783.2002788,0.00043986120793154296,-0.00012720411456870463
1790035783.2200978,0.00046553461937415746,-0.00013442916984631324
