t,true_x_m,true_y_m,spoofed_x_m,spoofed_y_m,is_spoofed,dr_x,dr_y,divergence_m,slope_gap_mps,cusum_stat,jump_delta_m,jump_alarm,predicted_spoofed
1790036360.5170295,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0,0
1790036360.5258443,0.0,0.0,0.0,0.0,0,2.1481347986898e-08,-2.67679501563162e-07,2.68540060081242e-07,,0.0,2.68540060081242e-07,0,0
1790036360.621483,0.0,0.0,0.0,0.0,0,1.348544399255796e-05,-0.0001657887571843,0.00016633631355897967,,0.0,0.0001660677736568688,0,0
1790036360.7213988,0.0,0.0,0.0,0.0,0,5.064182531728117e-05,-0.0006199787657433,0.0006220436194062694,,0.0,0.0004557073189537038,0,0
1790036360.8261442,0.0,0.0,0.0,0.0,0,0.0001142247096969,-0.0013967245341973,0.001401387422782867,,0.0,0.0007793438085961976,0,0
1790036360.9210105,0.0,0.0,0.0,0.0,0,0.0001940909968488,-0.0023716025579295,0.002379531468133067,,0.0,0.0009781440512416511,0,0
1790036361.0256495,0.0,0.0,0.0,0.0,0,0.0003055345881884,-0.0037288116317542,0.0037413082698014707,,0.0,0.0013617768334506092,0,0
1790036361.121787,0.0,0.0,0.0,0.0,0,0.0004304237886244,-0.0052451003824961,0.0052627314828209235,,0.0,0.0015214233099344753,0,0
1790036361.2208807,0.0,0.0,0.0,0.0,0,0.0005827382210131,-0.0070891265080763,0.007113037219201063,,0.0,0.0018503059309574231,0,0
1790036361.3223352,0.0,0.0,0.0,0.0,0,0.0007616005261484,-0.0092497881753811,0.009281089195285731,,0.0,0.0021680522513903284,0,0
1790036361.424335,0.0,0.0,0.0,0.0,0,0.0009679535636509,-0.0117393917000596,0.011779229668735248,,0.0,0.0024981407658853255,0,0
1790036361.5258737,0.0,0.0,0.0,0.0,0,0.0011948221657767,-0.014472296586886,0.014521534647089595,,0.0,0.0027423053227294244,0,0
1790036361.621133,0.0,0.0,0.0,0.0,0,0.0014309059503375,-0.0173102990385065,0.017369339211415914,,0.0,0.0028478050264609976,0,0
1790036361.724159,0.0,0.0,0.0,0.0,0,0.0017127174061069,-0.0206918228051773,0.02076258490443897,,0.0,0.0033932463336990913,0,0
1790036361.8248923,0.0,0.0,0.0,0.0,0,0.0020108939303666,-0.0242631504402001,0.024346337787909036,,0.0,0.0035837536628927423,0,0
1790036361.9264994,0.0,0.0,0.0,0.0,0,0.0023367196049763,-0.0281614092121921,0.028258188677422667,,0.0,0.0039118517128908965,0,0
1790036362.026414,0.0,0.0,0.0,0.0,0,0.0026786555538286,-0.032249794312004,0.032360847157369386,,0.0,0.004102659249496778,0,0
1790036362.1218529,0.0,0.0,0.0,0.0,0,0.0030286813672623,-0.0364326713257146,0.03655834310731203,,0.0,0.0041974966565678715,0,0
1790036362.2223897,0.0,0.0,0.0,0.0,0,0.0034196083137849,-0.0411020992299557,0.04124410602896894,,0.0,0.0046857636336485155,0,0
1790036362.3220112,0.0,0.0,0.0,0.0,0,0.0038316875771048,-0.0460214722602105,0.046180707429465215,,0.0,0.004936602103679871,0,0
1790036362.4246254,0.0,0.0,0.0,0.0,0,0.0042814299506047,-0.0513858441556886,0.051563898436936005,,0.0,0.005383191807423978,0,0
1790036362.5253336,0.0,0.0,0.0,0.0,0,0.0047479426953721,-0.0569486133333707,0.057146194277767126,,0.0,0.005582296576248919,0,0
1790036362.625677,0.0,0.0,0.0,0.0,0,0.0052320441400289,-0.0627206100003041,0.06293845569040805,,0.0,0.005792262056555199,0,0
1790036362.7257323,0.0,0.0,0.0,0.0,0,0.0057406363255122,-0.0687834611624022,0.06902260089928142,,0.0,0.006084145808976725,0,0
