t,true_x_m,true_y_m,spoofed_x_m,spoofed_y_m,is_spoofed,dr_x,dr_y,divergence_m,slope_gap_mps,cusum_stat,jump_delta_m,jump_alarm,predicted_spoofed
1790037607.4491773,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0,0
1790037607.4594023,0.0,0.0,0.0,0.0,0,-8.00150019592667e-08,-2.430974965675362e-07,2.5592732049537955e-07,,0.0,2.5592732049537955e-07,0,0
1790037607.5471673,0.0,0.0,0.0,0.0,0,-3.982487966938128e-05,-0.0001208443217069,0.00012723745961579647,,0.0,0.00012698153231262635,0,0
1790037607.6479075,0.0,0.0,0.0,0.0,0,-0.0001476678771443,-0.0004478846387484,0.0004715998850371879,,0.0,0.0003443624269210858,0,0
1790037607.7471902,0.0,0.0,0.0,0.0,0,-0.0003196837987465,-0.0009700016077004,0.0010213230880198262,,0.0,0.0005497232090354909,0,0
1790037607.8518603,0.0,0.0,0.0,0.0,0,-0.0005712724353893,-0.0017351358073493,0.0018267590058300873,,0.0,0.0008054360220154954,0,0
1790037607.9499006,0.0,0.0,0.0,0.0,0,-0.0008746472631777,-0.0026592477483494,0.002799393938352656,,0.0,0.0009726351657402755,0,0
1790037608.0496235,0.0,0.0,0.0,0.0,0,-0.0012457732303538,-0.0037905166597818,0.003989983394645837,,0.0,0.0011905896998907067,0,0
1790037608.1504066,0.0,0.0,0.0,0.0,0,-0.0016863126419331,-0.0051339733371535,0.005403825733029002,,0.0,0.001413842571550752,0,0
1790037608.252325,0.0,0.0,0.0,0.0,0,-0.0021924770146942,-0.0066790663761155,0.007029714298356586,,0.0,0.0016258889480224247,0,0
1790037608.3489523,0.0,0.0,0.0,0.0,0,-0.0027560834886841,-0.0084017308895142,0.008842232644327687,,0.0,0.0018125190435541658,0,0
1790037608.4495203,0.0,0.0,0.0,0.0,0,-0.0033921494299014,-0.0103487377746141,0.010890502802098037,,0.0,0.0020482713912475243,0,0
1790037608.553158,0.0,0.0,0.0,0.0,0,-0.0040981492527356,-0.0125128649774735,0.013166875758591339,,0.0,0.0022763748153583957,0,0
1790037608.6510737,0.0,0.0,0.0,0.0,0,-0.0048805343026471,-0.0149137706093021,0.01569204157737922,,0.0,0.002525168156632605,0,0
1790037608.7499433,0.0,0.0,0.0,0.0,0,-0.0056992465152814,-0.0174279693810512,0.01833618083431785,,0.0,0.0026441416662087588,0,0
1790037608.8519225,0.0,0.0,0.0,0.0,0,-0.0066069016706317,-0.0202168010322749,0.021268996066198975,,0.0,0.0029328177338356874,0,0
1790037608.9518416,0.0,0.0,0.0,0.0,0,-0.0075705280406662,-0.0231788040693672,0.02438380308525778,,0.0,0.003114809428001956,0,0
1790037609.0515063,0.0,0.0,0.0,0.0,0,-0.0085500571675268,-0.0261902656826798,0.027550562500561246,,0.0,0.0031667614938330306,0,0
1790037609.1472387,0.0,0.0,0.0,0.0,0,-0.0096439391382945,-0.0295535555033504,0.031087267570385484,,0.0,0.003536706968890284,0,0
1790037609.2490942,0.0,0.0,0.0,0.0,0,-0.010799972481347,-0.0331086779363012,0.03482562218091115,,0.0,0.003738356404025593,0,0
1790037609.3469622,0.0,0.0,0.0,0.0,0,-0.0120243868544881,-0.0368750215619813,0.03878599095579449,,0.0,0.003960370546281706,0,0
1790037609.4479263,0.0,0.0,0.0,0.0,0,-0.0133029853707881,-0.0408085445993815,0.04292210074186853,,0.0,0.004136111416734639,0,0
1790037609.548047,0.0,0.0,0.0,0.0,0,-0.0146686138420406,-0.0450108876709071,0.04734076721991229,,0.0,0.004418668171779215,0,0
1790037609.647911,0.0,0.0,0.0,0.0,0,-0.0160939305011686,-0.0493980166090749,0.051953620123018227,,0.0,0.004612854636653654,0,0
1790037609.7492208,0.0,0.0,0.0,0.0,0,-0.0175712202609473,-0.053946688104153,0.05673616958224698,,0.0,0.004782551348860047,0,0
1790037609.8477075,0.0,0.0,0.0,0.0,0,-0.0191071656534234,-0.0586772256160402,0.06170980947388387,,0.0,0.004973641864875324,0,0
