t,true_x_m,true_y_m,spoofed_x_m,spoofed_y_m,is_spoofed,dr_x,dr_y,divergence_m,slope_gap_mps,cusum_stat,jump_delta_m,jump_alarm,predicted_spoofed
1790037752.476542,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0,0
1790037752.4858906,0.0,0.0,0.0,0.0,0,-1.0459529168159628e-07,8.992951351900683e-08,1.379401770468758e-07,,0.0,1.379401770468758e-07,0,0
1790037752.5799344,0.0,0.0,0.0,0.0,0,-6.451443806569003e-05,5.5711238638124936e-05,8.523998374897697e-05,,0.0,8.510204389383052e-05,0,0
1790037752.6782131,0.0,0.0,0.0,0.0,0,-0.0002370456100014,0.0002047348156332,0.0003132203153585288,,0.0,0.0002279803320243143,0,0
1790037752.7819717,0.0,0.0,0.0,0.0,0,-0.0005165760243498,0.0004463672745754,0.0006827111634834424,,0.0,0.0003694908628914146,0,0
1790037752.8797207,0.0,0.0,0.0,0.0,0,-0.0009028763018919,0.0007807198668022,0.0011936117990945122,,0.0,0.0005109007343485467,0,0
1790037752.9790442,0.0,0.0,0.0,0.0,0,-0.0013884850054011,0.0012012762416028,0.0018360161270705227,,0.0,0.000642404449945133,0,0
1790037753.0797312,0.0,0.0,0.0,0.0,0,-0.0019826980292528,0.0017159896208631,0.002622157862164828,,0.0,0.0007861418323079738,0,0
1790037753.1831343,0.0,0.0,0.0,0.0,0,-0.0026874843931842,0.0023265387987328,0.0035546244732204426,,0.0,0.0009324666843276547,0,0
1790037753.2826426,0.0,0.0,0.0,0.0,0,-0.0034755413917535,0.0030092143246884,0.00459725557454681,,0.0,0.001042631146059242,0,0
1790037753.3806174,0.0,0.0,0.0,0.0,0,-0.0043711119883318,0.0037851767709786,0.005782229950641358,,0.0,0.0011849744349597942,0,0
1790037753.4832437,0.0,0.0,0.0,0.0,0,-0.0053986678483727,0.0046758330439065,0.007142060570419509,,0.0,0.0013598307402063726,0,0
1790037753.5797184,0.0,0.0,0.0,0.0,0,-0.0065408894080878,0.0056660265527777,0.008653732786816167,,0.0,0.0015116723442891503,0,0
1790037753.6802244,0.0,0.0,0.0,0.0,0,-0.0077567283586314,0.0067202764297036,0.010262989336505535,,0.0,0.0016092567093715154,0,0
1790037753.7788289,0.0,0.0,0.0,0.0,0,-0.0090927940650446,0.0078790476252257,0.01203155415521557,,0.0,0.0017685650271972242,0,0
1790037753.8799243,0.0,0.0,0.0,0.0,0,-0.0104921741162335,0.0090932440950118,0.01388426468549297,,0.0,0.0018527108773109962,0,0
1790037753.9786465,0.0,0.0,0.0,0.0,0,-0.0120738965226923,0.0104663392270368,0.01597883706832542,,0.0,0.0020945729905363928,0,0
1790037754.079133,0.0,0.0,0.0,0.0,0,-0.0137341620596789,0.0119083581832749,0.0181779042274596,,0.0,0.002199068057940777,0,0
1790037754.1783984,0.0,0.0,0.0,0.0,0,-0.0154690056294128,0.0134159631524971,0.020476283902895194,,0.0,0.0022983809420264807,0,0
1790037754.2787127,0.0,0.0,0.0,0.0,0,-0.0173454976584394,0.0150476454612742,0.022962968513394185,,0.0,0.0024866864482231245,0,0
1790037754.3796604,0.0,0.0,0.0,0.0,0,-0.0193292743285001,0.0167735428016657,0.025592432166281584,,0.0,0.0026294660116167254,0,0
1790037754.4819012,0.0,0.0,0.0,0.0,0,-0.0213920790280934,0.018569290731079,0.02832736492156533,,0.0,0.0027349358044854296,0,0
1790037754.5780327,0.0,0.0,0.0,0.0,0,-0.023581091615705,0.0204764638871279,0.031230649290546707,,0.0,0.002903288748277639,0,0
1790037754.678495,0.0,0.0,0.0,0.0,0,-0.0258203110463196,0.0224289987314932,0.03420158544023972,,0.0,0.0029709419342866007,0,0
1790037754.7801292,0.0,0.0,0.0,0.0,0,-0.0282413972442684,0.0245419242050698,0.03741500450348712,,0.0,0.003213426898933142,0,0
1790037754.880419,0.0,0.0,0.0,0.0,0,-0.0307776559440979,0.0267573276778985,0.04078257826420122,,0.0,0.003367583813341888,0,0
1790037754.98005,0.0,0.0,0.0,0.0,0,-0.0333877525593987,0.0290385650415978,0.04424907095796182,,0.0,0.003466503750285355,0,0
1790037755.0793145,0.0,0.0,0.0,0.0,0,-0.0361141095508863,0.0314227168941157,0.0478708266657383,,0.0,0.0036217678695490488,0,0
1790037755.1794572,0.0,0.0,0.0,0.0,0,-0.0389140369864922,0.0338722182006099,0.05159098216176749,,0.0,0.0037201680466311476,0,0
1790037755.2803864,0.0,0.0,0.0,0.0,0,-0.041872975085687,0.0364616211891936,0.05552293095893638,,0.0,0.003931961662090911,0,0
1790037755.3804448,0.0,0.0,0.0,0.0,0,-0.0449117648225006,0.0391215263456703,0.059561400613875576,,0.0,0.0040384822032559515,0,0
1790037755.480812,0.0,0.0,0.0,0.0,0,-0.047998235363753,0.0418237135516283,0.06366359723800474,,0.0,0.00410220868533793,0,0
1790037755.580633,0.0,0.0,0.0,0.0,0,-0.051216669139385,0.0446418243969548,0.06794144304636,,0.0,0.004277857489991424,0,0
1790037755.6816173,0.0,0.0,0.0,0.0,0,-0.0545707420571401,0.0475789900911484,0.07239976648277616,,0.0,0.0044583346052944435,0,0
1790037755.7820077,0.0,0.0,0.0,0.0,0,-0.0580755403210274,0.0506483787158821,0.07705859231861621,,0.0,0.004658836485668076,0,0
1790037755.881775,0.0,0.0,0.0,0.0,0,-0.0616305767103445,0.0537620628056084,0.08178439571681043,,0.0,0.004725813405116991,0,0
1790037755.9820063,0.0,0.0,0.0,0.0,0,-0.0653049780269094,0.0569803784731317,0.08666893149241227,,0.0,0.00488454509355783,0,0
1790037756.083068,0.0,0.0,0.0,0.0,0,-0.0690936556868922,0.0602988103714922,0.09170539672448937,,0.0,0.00503647383347806,0,0
1790037756.183074,0.0,0.0,0.0,0.0,0,-0.0729971209166931,0.0637180365782874,0.09689462238699464,,0.0,0.0051892339177859025,0,0
1790037756.2828877,0.0,0.0,0.0,0.0,0,-0.0769705409943227,0.0671988810885685,0.10217707081588452,,0.0,0.005282456400015447,0,0
1790037756.3833098,0.0,0.0,0.0,0.0,0,-0.0810764634942508,0.0707959596332002,0.10763577859206619,,0.0,0.005458715382914329,0,0
1790037756.478438,0.0,0.0,0.0,0.0,0,-0.0852080330212006,0.0744157285824596,0.11312873000171224,,0.0,0.005492958583681717,0,0
1790037756.5805037,0.0,0.0,0.0,0.0,0,-0.0895281562734126,0.0782005751995831,0.11887228746542332,,0.0,0.0057435641225160846,0,0
1790037756.6827078,0.0,0.0,0.0,0.0,0,-0.0939859395763022,0.0821057125180057,0.12479865730900204,,0.0,0.005926375743340809,0,0
1790037756.7821243,0.0,0.0,0.0,0.0,0,-0.0983628371658544,0.0859396255603865,0.13061725374840732,,0.0,0.005818601354790116,0,0
1790037756.8814282,0.0,0.0,0.0,0.0,0,-0.1029440512757642,0.0899522014819028,0.13670726478321482,,0.0,0.006090015455380146,0,0
1790037756.981012,0.0,0.0,0.0,0.0,0,-0.1076786009403432,0.0940986323112772,0.14300081714215002,,0.0,0.006293556160800635,0,0
1790037757.0805106,0.0,0.0,0.0,0.0,0,-0.1126604859719562,0.0984608935798818,0.14962263419678906,,0.0,0.006621820130732747,0,0
1790037757.1829803,0.0,0.0,0.0,0.0,0,-0.1176255075759245,0.1028069417813253,0.15622108471945353,,0.0,0.006598452431982989,0,0
1790037757.2828856,0.0,0.0,0.0,0.0,0,-0.1226517817751533,0.107204829686014,0.16289977004473363,,0.0,0.006678686274114115,0,0
1790037757.3837516,0.0,0.0,0.0,0.0,0,-0.1278456528509247,0.1117473568218943,0.16979983130014858,,0.0,0.006900061560011152,0,0
1790037757.4837785,0.0,0.0,0.0,0.0,0,-0.1331452692356693,0.1163806223225616,0.17683922633857452,,0.0,0.0070393950752268035,0,0
1790037757.5809844,0.0,0.0,0.0,0.0,0,-0.1383539494535893,0.1209327199994847,0.18375673619184715,,0.0,0.00691750987515015,0,0
1790037757.6836152,0.0,0.0,0.0,0.0,0,-0.1438803925479374,0.1257605788372939,0.19109497782317508,,0.0,0.007338241903404412,0,0
1790037757.7831528,0.0,0.0,0.0,0.0,0,-0.1496249915380486,0.1307768054456872,0.19872144055269989,,0.0,0.007626463593562827,0,0
1790037757.8836043,0.0,0.0,0.0,0.0,0,-0.1553321042146843,0.1357578642568589,0.20629653488933175,,0.0,0.007575096169961617,0,0
1790037757.9833846,0.0,0.0,0.0,0.0,0,-0.1610170642582698,0.1407170910552141,0.21384058243793017,,0.0,0.007544050711301466,0,0
1790037758.0841084,0.0,0.0,0.0,0.0,0,-0.1671349474558883,0.1460513969460175,0.22195743107849691,,0.0,0.008116853710420216,0,0
1790037758.181189,0.0,0.0,0.0,0.0,0,-0.1728724371702566,0.1510515817841358,0.22956798533914477,,0.0,0.007610560862238098,0,0
1790037758.2837038,0.0,0.0,0.0,0.0,0,-0.1791760943633732,0.156542706076521,0.23792791264808016,,0.0,0.008359936602795102,0,0
1790037758.384025,0.0,0.0,0.0,0.0,0,-0.1854081213876955,0.1619690229599729,0.2461912587301236,,0.0,0.008263357414000598,0,0
1790037758.484129,0.0,0.0,0.0,0.0,0,-0.1918019725629087,0.1675343347760469,0.2546679210420412,,0.0,0.008476675554774306,0,0
1790037758.5840435,0.0,0.0,0.0,0.0,0,-0.198193324355706,0.1730957417265678,0.2631401330527838,,0.0,0.008472226685387694,0,0
1790037758.6825328,0.0,0.0,0.0,0.0,0,-0.2046325683774155,0.1786975804672358,0.27167501413560624,,0.0,0.008534896651253045,0,0
1790037758.7820938,0.0,0.0,0.0,0.0,0,-0.2113208798603864,0.1845149446725279,0.28053926476069957,,0.0,0.008864267414189067,0,0
1790037758.8826213,0.0,0.0,0.0,0.0,0,-0.2180327498578338,0.190352126483206,0.2894342966326679,,0.0,0.00889504864256211,0,0
1790037758.9821284,0.0,0.0,0.0,0.0,0,-0.2248942318375116,0.1963189866699795,0.29852731875142013,,0.0,0.009093038845509535,0,0
