timestamp,msg_type,lat,lon,alt,relative_alt,vx,vy,vz,hdg,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,fix_type,satellites_visible
1790036956.3939588,ATTITUDE,,,,,,,,,,,,,,,0.0010678615653887391,0.0019519844790920615,-0.7796576619148254,,
1790036956.394227,GLOBAL_POSITION_INT,-35.3602499,149.1685943,578.78,0.008,0.0,0.02,0.0,315.33,,,,,,,,,,,
1790036956.3960614,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790036956.3971145,GPS_RAW_INT,,,,,,,,,,,,,,,,,,6,10
1790036956.4594107,ATTITUDE,,,,,,,,,,,,,,,0.0010676905512809753,0.0019525382667779922,-0.7796330451965332,,
1790036956.4601126,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790036956.4607277,GLOBAL_POSITION_INT,-35.3602499,149.1685943,578.78,0.008,0.0,0.02,0.0,315.34,,,,,,,,,,,
1790036956.4612808,GPS_RAW_INT,,,,,,,,,,,,,,,,,,6,10
1790036956.4625676,ATTITUDE,,,,,,,,,,,,,,,0.0010684694861993194,0.001954473787918687,-0.7796307802200317,,
1790036956.463908,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790036956.483054,ATTITUDE,,,,,,,,,,,,,,,0.0010695918463170528,0.0019571525044739246,-0.7796275019645691,,
1790036956.4845626,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790036956.4904716,GLOBAL_POSITION_INT,-35.3602499,149.1685943,578.78,0.008,0.0,0.02,0.0,315.34,,,,,,,,,,,
1790036956.4920628,GPS_RAW_INT,,,,,,,,,,,,,,,,,,6,10
1790036956.5029929,ATTITUDE,,,,,,,,,,,,,,,0.0010722269071266055,0.0019595567137002945,-0.7796284556388855,,
1790036956.5045414,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790036956.5230873,ATTITUDE,,,,,,,,,,,,,,,0.0010710094356909394,0.001958033535629511,-0.7796257734298706,,
1790036956.5247202,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790036956.5429425,ATTITUDE,,,,,,,,,,,,,,,0.0010690701892599463,0.0019568896386772394,-0.7796220183372498,,
1790036956.544061,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790036956.562992,ATTITUDE,,,,,,,,,,,,,,,0.001067965873517096,0.001956771593540907,-0.7796194553375244,,
1790036956.5645287,RAW_IMU,,,,,,,,,0,0,-1000,2,2,2,,,,,
1790036956.5830257,ATTITUDE,,,,,,,,,,,,,,,0.0010667390888556838,0.001956059830263257,-0.779617428779602,,
1790036956.585344,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790036956.5914848,GLOBAL_POSITION_INT,-35.3602499,149.1685943,578.78,0.008,0.0,0.02,0.0,315.34,,,,,,,,,,,
1790036956.5929363,GPS_RAW_INT,,,,,,,,,,,,,,,,,,6,10
1790036956.5990195,ATTITUDE,,,,,,,,,,,,,,,0.0010657026432454586,0.00195502326823771,-0.7796189188957214,,
1790036956.600774,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790036956.620907,ATTITUDE,,,,,,,,,,,,,,,0.001065351185388863,0.0019545741379261017,-0.7796180844306946,,
1790036956.6229997,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790036956.6412075,ATTITUDE,,,,,,,,,,,,,,,0.0010670262854546309,0.0019537860061973333,-0.7796163558959961,,
1790036956.6423504,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790036956.6606188,ATTITUDE,,,,,,,,,,,,,,,0.0010687187314033508,0.0019550491124391556,-0.779614269733429,,
1790036956.6616983,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790036956.6808581,ATTITUDE,,,,,,,,,,,,,,,0.0010725136380642653,0.0019577352795749903,-0.7796114683151245,,
