timestamp,msg_type,lat,lon,alt,relative_alt,vx,vy,vz,hdg,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,fix_type,satellites_visible
1790037317.3973503,GLOBAL_POSITION_INT,-35.3602517,149.1685911,578.79,0.009,0.02,0.0,0.0,44.48,,,,,,,,,,,
1790037317.40017,GPS_RAW_INT,,,,,,,,,,,,,,,,,,6,10
1790037317.4016137,ATTITUDE,,,,,,,,,,,,,,,-0.0007540155784226954,-0.0006662950036115944,0.7763871550559998,,
1790037317.4018912,RAW_IMU,,,,,,,,,0,0,-1000,1,1,1,,,,,
1790037317.4020615,ATTITUDE,,,,,,,,,,,,,,,-0.0007520889630541205,-0.0006658108904957771,0.7763860821723938,,
1790037317.4023592,RAW_IMU,,,,,,,,,0,0,-1001,1,1,1,,,,,
1790037317.4026387,ATTITUDE,,,,,,,,,,,,,,,-0.0007527443813160062,-0.0006667006528005004,0.7763813138008118,,
1790037317.4028513,RAW_IMU,,,,,,,,,0,0,-1001,1,1,1,,,,,
1790037317.4030032,ATTITUDE,,,,,,,,,,,,,,,-0.0007556754862889647,-0.0006686814595013857,0.7763779759407043,,
1790037317.4032023,RAW_IMU,,,,,,,,,0,0,-1001,1,1,1,,,,,
1790037317.4033847,ATTITUDE,,,,,,,,,,,,,,,-0.0007576090283691883,-0.0006715452182106674,0.7763713598251343,,
1790037317.4036317,RAW_IMU,,,,,,,,,0,0,-1000,1,1,1,,,,,
1790037317.4041142,ATTITUDE,,,,,,,,,,,,,,,-0.0007600205717608333,-0.0006744195125065744,0.7763710618019104,,
1790037317.4045522,RAW_IMU,,,,,,,,,0,0,-1001,1,1,1,,,,,
1790037317.4048085,ATTITUDE,,,,,,,,,,,,,,,-0.0007591466419398785,-0.0006741582765243948,0.7763698101043701,,
1790037317.4051154,RAW_IMU,,,,,,,,,0,0,-1001,1,1,1,,,,,
1790037317.4053879,ATTITUDE,,,,,,,,,,,,,,,-0.0007570877205580473,-0.0006723332917317748,0.7763680815696716,,
1790037317.4057589,RAW_IMU,,,,,,,,,0,0,-1001,1,1,1,,,,,
1790037317.4060638,GLOBAL_POSITION_INT,-35.3602517,149.1685911,578.79,0.009,0.02,0.0,0.0,44.48,,,,,,,,,,,
1790037317.4064786,GPS_RAW_INT,,,,,,,,,,,,,,,,,,6,10
1790037317.4222243,ATTITUDE,,,,,,,,,,,,,,,-0.0007555821794085205,-0.0006715066847391427,0.7763639688491821,,
1790037317.4232504,RAW_IMU,,,,,,,,,0,0,-1001,1,1,1,,,,,
1790037317.4423532,ATTITUDE,,,,,,,,,,,,,,,-0.0007548871217295527,-0.0006716831121593714,0.7763585448265076,,
1790037317.4436018,RAW_IMU,,,,,,,,,0,0,-1001,1,1,1,,,,,
1790037317.4631746,ATTITUDE,,,,,,,,,,,,,,,-0.0007538701174780726,-0.0006717907381244004,0.776357889175415,,
1790037317.463989,RAW_IMU,,,,,,,,,0,0,-1000,1,1,1,,,,,
1790037317.4830072,ATTITUDE,,,,,,,,,,,,,,,-0.0007550405571237206,-0.000672113848850131,0.7763549089431763,,
1790037317.4843576,RAW_IMU,,,,,,,,,0,0,-1001,1,1,1,,,,,
1790037317.5031822,ATTITUDE,,,,,,,,,,,,,,,-0.0007549430592916906,-0.0006736713694408536,0.7763524055480957,,
1790037317.505145,RAW_IMU,,,,,,,,,0,0,-1001,1,1,1,,,,,
1790037317.5057952,GLOBAL_POSITION_INT,-35.3602517,149.1685911,578.79,0.009,0.02,0.0,0.0,44.48,,,,,,,,,,,
1790037317.5065715,GPS_RAW_INT,,,,,,,,,,,,,,,,,,6,10
1790037317.5323505,ATTITUDE,,,,,,,,,,,,,,,-0.0007571533787995577,-0.0006730423192493618,0.7763474583625793,,
1790037317.5333338,RAW_IMU,,,,,,,,,0,0,-1001,1,1,1,,,,,
1790037317.543542,ATTITUDE,,,,,,,,,,,,,,,-0.0007585894782096148,-0.0006741847028024495,0.7763434648513794,,
1790037317.545356,RAW_IMU,,,,,,,,,0,0,-1001,1,1,1,,,,,
1790037317.5634422,ATTITUDE,,,,,,,,,,,,,,,-0.0007613098132424057,-0.0006776735535822809,0.7763425707817078,,
1790037317.5651255,RAW_IMU,,,,,,,,,0,0,-1000,1,1,1,,,,,
1790037317.5834134,ATTITUDE,,,,,,,,,,,,,,,-0.0007619748939760029,-0.0006763644050806761,0.7763392329216003,,
1790037317.5845654,RAW_IMU,,,,,,,,,0,0,-1001,1,1,1,,,,,
1790037317.6035888,ATTITUDE,,,,,,,,,,,,,,,-0.0007613505586050451,-0.0006746894214302301,0.7763375639915466,,
1790037317.6048803,RAW_IMU,,,,,,,,,0,0,-1001,1,1,1,,,,,
1790037317.6063852,GLOBAL_POSITION_INT,-35.3602517,149.1685911,578.79,0.009,0.02,0.0,0.0,44.48,,,,,,,,,,,
1790037317.607788,GPS_RAW_INT,,,,,,,,,,,,,,,,,,6,10
