timestamp,msg_type,lat,lon,alt,relative_alt,vx,vy,vz,hdg,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,fix_type,satellites_visible
1790035351.0892425,GLOBAL_POSITION_INT,-35.3631305,149.1653982,583.99,-0.083,-0.02,0.0,0.0,44.96,,,,,,,,,,,
1790035351.090565,GPS_RAW_INT,,,,,,,,,,,,,,,,,,6,10
1790035351.0912628,ATTITUDE,,,,,,,,,,,,,,,0.0021524953190237284,0.002192531479522586,0.7848392724990845,,
1790035351.0914009,RAW_IMU,,,,,,,,,0,0,-1001,2,1,1,,,,,
1790035351.0914986,ATTITUDE,,,,,,,,,,,,,,,0.0021517195273190737,0.0021917708218097687,0.7848362922668457,,
1790035351.0916355,RAW_IMU,,,,,,,,,0,0,-1001,1,1,2,,,,,
1790035351.0918016,ATTITUDE,,,,,,,,,,,,,,,0.0021515695843845606,0.0021914830431342125,0.7848350405693054,,
1790035351.0919392,RAW_IMU,,,,,,,,,0,0,-1001,1,1,2,,,,,
1790035351.092048,ATTITUDE,,,,,,,,,,,,,,,0.0021521165035665035,0.002193873981013894,0.7848348617553711,,
1790035351.0921957,RAW_IMU,,,,,,,,,0,0,-1001,1,2,1,,,,,
1790035351.0923104,ATTITUDE,,,,,,,,,,,,,,,0.0021535318810492754,0.002195877255871892,0.7848352193832397,,
1790035351.0924606,RAW_IMU,,,,,,,,,0,0,-1001,1,2,1,,,,,
1790035351.0926285,ATTITUDE,,,,,,,,,,,,,,,0.0021546329371631145,0.0021990591194480658,0.7848286032676697,,
1790035351.0927613,RAW_IMU,,,,,,,,,0,0,-1001,1,2,1,,,,,
1790035351.0928648,ATTITUDE,,,,,,,,,,,,,,,0.0021531449165195227,0.0021975075360387564,0.7848268747329712,,
1790035351.0929923,RAW_IMU,,,,,,,,,0,0,-1001,1,2,2,,,,,
1790035351.0930889,GLOBAL_POSITION_INT,-35.3631305,149.1653982,583.99,-0.083,-0.02,0.0,0.0,44.96,,,,,,,,,,,
1790035351.093298,GPS_RAW_INT,,,,,,,,,,,,,,,,,,6,10
1790035351.0941083,ATTITUDE,,,,,,,,,,,,,,,0.0021515500266104937,0.002196176443248987,0.7848250269889832,,
1790035351.094802,RAW_IMU,,,,,,,,,0,0,-1001,2,2,1,,,,,
1790035351.1161208,ATTITUDE,,,,,,,,,,,,,,,0.002148584695532918,0.002192901214584708,0.7848256230354309,,
1790035351.1165297,RAW_IMU,,,,,,,,,0,0,-1001,1,1,2,,,,,
1790035351.1338143,ATTITUDE,,,,,,,,,,,,,,,0.002147246152162552,0.0021918779239058495,0.7848248481750488,,
1790035351.1342394,RAW_IMU,,,,,,,,,0,0,-1001,1,1,1,,,,,
1790035351.1571975,ATTITUDE,,,,,,,,,,,,,,,0.0021468857303261757,0.0021915992256253958,0.7848188877105713,,
1790035351.157391,RAW_IMU,,,,,,,,,0,0,-1001,2,2,1,,,,,
1790035351.1745634,ATTITUDE,,,,,,,,,,,,,,,0.0021464074961841106,0.0021904543973505497,0.7848156690597534,,
1790035351.1749587,RAW_IMU,,,,,,,,,0,0,-1001,2,1,2,,,,,
1790035351.1920943,GLOBAL_POSITION_INT,-35.3631305,149.1653982,583.99,-0.083,-0.02,0.0,0.0,44.96,,,,,,,,,,,
1790035351.1925406,GPS_RAW_INT,,,,,,,,,,,,,,,,,,6,10
1790035351.1974618,ATTITUDE,,,,,,,,,,,,,,,0.0021468820050358772,0.002189317485317588,0.784815788269043,,
1790035351.1979284,RAW_IMU,,,,,,,,,0,0,-1001,2,1,2,,,,,
1790035351.2151656,ATTITUDE,,,,,,,,,,,,,,,0.0021466140169650316,0.0021908595226705074,0.7848168015480042,,
1790035351.21564,RAW_IMU,,,,,,,,,0,0,-1001,1,2,2,,,,,
1790035351.2328568,ATTITUDE,,,,,,,,,,,,,,,0.002147657796740532,0.002193367574363947,0.784814715385437,,
1790035351.233559,RAW_IMU,,,,,,,,,0,0,-1001,1,2,1,,,,,
1790035351.256007,ATTITUDE,,,,,,,,,,,,,,,0.0021512408275157213,0.002195921493694186,0.7848085761070251,,
1790035351.2564118,RAW_IMU,,,,,,,,,0,0,-1001,2,1,2,,,,,
1790035351.2735298,ATTITUDE,,,,,,,,,,,,,,,0.002148793777450919,0.0021926374174654484,0.7848058938980103,,
1790035351.2740257,RAW_IMU,,,,,,,,,0,0,-1001,2,1,2,,,,,
1790035351.291295,GLOBAL_POSITION_INT,-35.3631305,149.1653982,583.99,-0.083,-0.02,0.0,0.0,44.96,,,,,,,,,,,
1790035351.2916527,GPS_RAW_INT,,,,,,,,,,,,,,,,,,6,10
1790035351.2967546,ATTITUDE,,,,,,,,,,,,,,,0.0021456191316246986,0.002190115861594677,0.7848044037818909,,
1790035351.2971704,RAW_IMU,,,,,,,,,0,0,-1001,1,1,2,,,,,
1790035351.3148413,ATTITUDE,,,,,,,,,,,,,,,0.002142063807696104,0.002187874400988221,0.7848033308982849,,
1790035351.3154078,RAW_IMU,,,,,,,,,0,0,-1000,1,1,1,,,,,
1790035351.3374288,ATTITUDE,,,,,,,,,,,,,,,0.002141222357749939,0.002187364734709263,0.7848007678985596,,
1790035351.337832,RAW_IMU,,,,,,,,,0,0,-1001,1,2,1,,,,,
1790035351.3550682,ATTITUDE,,,,,,,,,,,,,,,0.0021405748557299376,0.002186841331422329,0.7847941517829895,,
1790035351.3554626,RAW_IMU,,,,,,,,,0,0,-1001,2,2,1,,,,,
1790035351.3728356,ATTITUDE,,,,,,,,,,,,,,,0.0021405762527137995,0.0021861542481929064,0.7847905158996582,,
1790035351.3732996,RAW_IMU,,,,,,,,,0,0,-1001,1,1,1,,,,,
1790035351.3905492,GLOBAL_POSITION_INT,-35.3631305,149.1653982,583.99,-0.083,-0.02,0.0,0.0,44.96,,,,,,,,,,,
1790035351.3909237,GPS_RAW_INT,,,,,,,,,,,,,,,,,,6,10
