timestamp,msg_type,lat,lon,alt,relative_alt,vx,vy,vz,hdg,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,fix_type,satellites_visible
1790035432.094156,GLOBAL_POSITION_INT,-35.3629999,149.1655581,583.81,-0.172,-0.02,0.0,0.0,45.13,,,,,,,,,,,
1790035432.0947847,GPS_RAW_INT,,,,,,,,,,,,,,,,,,6,10
1790035432.0952163,ATTITUDE,,,,,,,,,,,,,,,0.0024288201238960028,0.002618323778733611,0.7877949476242065,,
1790035432.0953043,RAW_IMU,,,,,,,,,0,0,-1001,3,3,3,,,,,
1790035432.0953615,ATTITUDE,,,,,,,,,,,,,,,0.002429720014333725,0.0026183687150478363,0.7877969145774841,,
1790035432.0954378,RAW_IMU,,,,,,,,,0,0,-1001,3,3,3,,,,,
1790035432.095531,ATTITUDE,,,,,,,,,,,,,,,0.0024289728607982397,0.002616876969113946,0.7878010869026184,,
1790035432.0956037,RAW_IMU,,,,,,,,,0,0,-1001,3,3,3,,,,,
1790035432.095656,ATTITUDE,,,,,,,,,,,,,,,0.0024304967373609543,0.0026199056301265955,0.7878065705299377,,
1790035432.0957265,RAW_IMU,,,,,,,,,0,0,-1001,3,3,3,,,,,
1790035432.095777,ATTITUDE,,,,,,,,,,,,,,,0.0024321647360920906,0.002622008789330721,0.7878128290176392,,
1790035432.095846,RAW_IMU,,,,,,,,,0,0,-1001,3,3,3,,,,,
1790035432.0959332,ATTITUDE,,,,,,,,,,,,,,,0.0024346846621483564,0.0026248167268931866,0.787815272808075,,
1790035432.0960023,RAW_IMU,,,,,,,,,0,0,-1001,3,3,3,,,,,
1790035432.0960524,ATTITUDE,,,,,,,,,,,,,,,0.002433961257338524,0.0026226986665278673,0.7878178358078003,,
1790035432.0961215,RAW_IMU,,,,,,,,,0,0,-1001,3,3,3,,,,,
1790035432.097575,GLOBAL_POSITION_INT,-35.3629999,149.1655581,583.81,-0.172,-0.02,0.0,0.0,45.13,,,,,,,,,,,
1790035432.0982664,GPS_RAW_INT,,,,,,,,,,,,,,,,,,6,10
1790035432.103209,ATTITUDE,,,,,,,,,,,,,,,0.002433329587802291,0.00261999131180346,0.7878227233886719,,
1790035432.10385,RAW_IMU,,,,,,,,,0,0,-1001,3,3,3,,,,,
1790035432.1210518,ATTITUDE,,,,,,,,,,,,,,,0.0024300208315253258,0.0026190427597612143,0.787826657295227,,
1790035432.1215332,RAW_IMU,,,,,,,,,0,0,-1001,3,3,3,,,,,
1790035432.144476,ATTITUDE,,,,,,,,,,,,,,,0.0024291304871439934,0.002616378478705883,0.7878332138061523,,
1790035432.1450524,RAW_IMU,,,,,,,,,0,0,-1001,3,3,3,,,,,
1790035432.1616843,ATTITUDE,,,,,,,,,,,,,,,0.002427634783089161,0.0026165961753576994,0.7878350019454956,,
1790035432.162192,RAW_IMU,,,,,,,,,0,0,-1001,3,3,3,,,,,
1790035432.1847064,ATTITUDE,,,,,,,,,,,,,,,0.0024263570085167885,0.0026167011819779873,0.787837564945221,,
1790035432.1851192,RAW_IMU,,,,,,,,,0,0,-1001,3,3,3,,,,,
1790035432.1967552,GLOBAL_POSITION_INT,-35.3629999,149.1655581,583.81,-0.172,-0.02,0.0,0.0,45.13,,,,,,,,,,,
1790035432.1974583,GPS_RAW_INT,,,,,,,,,,,,,,,,,,6,10
1790035432.2023826,ATTITUDE,,,,,,,,,,,,,,,0.002429095795378089,0.0026160760316997766,0.7878425717353821,,
1790035432.2029762,RAW_IMU,,,,,,,,,0,0,-1001,3,3,3,,,,,
1790035432.2208238,ATTITUDE,,,,,,,,,,,,,,,0.002430528402328491,0.0026180308777838945,0.787848174571991,,
1790035432.2211385,RAW_IMU,,,,,,,,,0,0,-1001,3,3,3,,,,,
1790035432.243356,ATTITUDE,,,,,,,,,,,,,,,0.002432964975014329,0.002620666055008769,0.7878554463386536,,
1790035432.2437747,RAW_IMU,,,,,,,,,0,0,-1001,3,3,3,,,,,
1790035432.2608218,ATTITUDE,,,,,,,,,,,,,,,0.0024366402067244053,0.0026223163586109877,0.7878586649894714,,
1790035432.2613926,RAW_IMU,,,,,,,,,0,0,-1001,3,3,3,,,,,
1790035432.2841277,ATTITUDE,,,,,,,,,,,,,,,0.0024356041103601456,0.0026207927148789167,0.7878612875938416,,
1790035432.2845817,RAW_IMU,,,,,,,,,0,0,-1001,3,3,3,,,,,
1790035432.2959094,GLOBAL_POSITION_INT,-35.3629999,149.1655581,583.81,-0.172,-0.02,0.0,0.0,45.14,,,,,,,,,,,
1790035432.296201,GPS_RAW_INT,,,,,,,,,,,,,,,,,,6,10
1790035432.3016388,ATTITUDE,,,,,,,,,,,,,,,0.0024337684735655785,0.0026178602129220963,0.7878647446632385,,
1790035432.3020742,RAW_IMU,,,,,,,,,0,0,-1001,3,3,3,,,,,
1790035432.3248935,ATTITUDE,,,,,,,,,,,,,,,0.0024327202700078487,0.0026155614759773016,0.7878697514533997,,
1790035432.3251328,RAW_IMU,,,,,,,,,0,0,-1001,3,3,3,,,,,
1790035432.3425426,ATTITUDE,,,,,,,,,,,,,,,0.00243000709451735,0.0026138864923268557,0.7878748774528503,,
1790035432.342955,RAW_IMU,,,,,,,,,0,0,-1001,3,3,3,,,,,
1790035432.3599496,ATTITUDE,,,,,,,,,,,,,,,0.0024274438619613647,0.0026126091834157705,0.7878752946853638,,
