timestamp,msg_type,lat,lon,alt,relative_alt,vx,vy,vz,hdg,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,fix_type,satellites_visible
1790037858.4975386,GLOBAL_POSITION_INT,-35.3594961,149.1685998,577.02,-1.76,0.01,-0.01,0.0,359.9,,,,,,,,,,,
1790037858.5001457,GPS_RAW_INT,,,,,,,,,,,,,,,,,,6,10
1790037858.5021918,ATTITUDE,,,,,,,,,,,,,,,-0.0016498415498062968,-0.00019233433704357594,-0.0018114122794941068,,
1790037858.5025678,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790037858.5028212,ATTITUDE,,,,,,,,,,,,,,,-0.001649187644943595,-0.00019187291036359966,-0.0018138688756152987,,
1790037858.503149,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790037858.5035648,ATTITUDE,,,,,,,,,,,,,,,-0.001650537713430822,-0.0001929791469592601,-0.0018152736593037844,,
1790037858.503885,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790037858.5041199,ATTITUDE,,,,,,,,,,,,,,,-0.0016512213042005897,-0.0001957895583473146,-0.0018208326073363423,,
1790037858.5044723,RAW_IMU,,,,,,,,,0,0,-1001,2,2,1,,,,,
1790037858.5047064,ATTITUDE,,,,,,,,,,,,,,,-0.001653019106015563,-0.0001972247555386275,-0.0018248450942337513,,
1790037858.5050194,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790037858.5054336,ATTITUDE,,,,,,,,,,,,,,,-0.0016560462536290288,-0.00020203243184369057,-0.0018236123723909259,,
1790037858.5057473,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790037858.505981,ATTITUDE,,,,,,,,,,,,,,,-0.001656189328059554,-0.0002023713750531897,-0.0018231162102892995,,
1790037858.5062907,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790037858.506532,GLOBAL_POSITION_INT,-35.3594961,149.1685998,577.02,-1.76,0.01,-0.01,0.0,359.9,,,,,,,,,,,
1790037858.506846,GPS_RAW_INT,,,,,,,,,,,,,,,,,,6,10
1790037858.5070775,ATTITUDE,,,,,,,,,,,,,,,-0.0016546384431421757,-0.0002007713046623394,-0.001825133804231882,,
1790037858.5073931,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790037858.522335,ATTITUDE,,,,,,,,,,,,,,,-0.0016523062950000167,-0.00019856385188177228,-0.0018282559467479587,,
1790037858.523975,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790037858.5416107,ATTITUDE,,,,,,,,,,,,,,,-0.0016517704352736473,-0.0001984529080800712,-0.0018316085916012526,,
1790037858.5424232,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790037858.5608113,ATTITUDE,,,,,,,,,,,,,,,-0.001651527127251029,-0.0001987708092201501,-0.0018314720364287496,,
1790037858.5618436,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790037858.5800183,ATTITUDE,,,,,,,,,,,,,,,-0.0016529461136087775,-0.00019825312483590096,-0.0018317477079108357,,
1790037858.5807648,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790037858.5990524,GLOBAL_POSITION_INT,-35.3594961,149.1685998,577.02,-1.76,0.01,-0.01,0.0,359.9,,,,,,,,,,,
1790037858.599806,GPS_RAW_INT,,,,,,,,,,,,,,,,,,6,10
1790037858.6013644,ATTITUDE,,,,,,,,,,,,,,,-0.0016537420451641083,-0.0001965593983186409,-0.001833642367273569,,
1790037858.6021266,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790037858.629991,ATTITUDE,,,,,,,,,,,,,,,-0.0016557991039007902,-0.0001990284217754379,-0.0018374040955677629,,
1790037858.631177,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790037858.6395023,ATTITUDE,,,,,,,,,,,,,,,-0.0016574363689869642,-0.00020081628463231027,-0.0018425906309857965,,
1790037858.6404958,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790037858.6592207,ATTITUDE,,,,,,,,,,,,,,,-0.0016596624627709389,-0.00020330688857939094,-0.0018425587331876159,,
1790037858.6600106,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790037858.6795459,ATTITUDE,,,,,,,,,,,,,,,-0.0016585747944191098,-0.00020188336202409118,-0.001842712634243071,,
1790037858.6809704,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790037858.6983023,GLOBAL_POSITION_INT,-35.3594961,149.1685998,577.02,-1.76,0.01,-0.01,0.0,359.9,,,,,,,,,,,
1790037858.6991751,GPS_RAW_INT,,,,,,,,,,,,,,,,,,6,10
1790037858.7043347,ATTITUDE,,,,,,,,,,,,,,,-0.0016558486968278885,-0.00020035746274515986,-0.0018450372153893113,,
1790037858.7056618,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790037858.723929,ATTITUDE,,,,,,,,,,,,,,,-0.00165481586009264,-0.00019874465942848474,-0.0018486353801563382,,
1790037858.7255585,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790037858.7430305,ATTITUDE,,,,,,,,,,,,,,,-0.0016533175949007273,-0.0001976128842215985,-0.0018533676629886031,,
1790037858.7441666,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790037858.7630043,ATTITUDE,,,,,,,,,,,,,,,-0.0016539843054488301,-0.00019587278075050563,-0.0018546911887824535,,
1790037858.764408,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790037858.7815685,ATTITUDE,,,,,,,,,,,,,,,-0.0016539974603801966,-0.00019363255705684423,-0.001855122740380466,,
1790037858.7828357,RAW_IMU,,,,,,,,,0,0,-1001,1,2,2,,,,,
1790037858.7942715,GLOBAL_POSITION_INT,-35.3594961,149.1685998,577.02,-1.76,0.01,-0.01,0.0,359.9,,,,,,,,,,,
1790037858.7952387,GPS_RAW_INT,,,,,,,,,,,,,,,,,,6,10
1790037858.8004832,ATTITUDE,,,,,,,,,,,,,,,-0.001653045415878296,-0.00019554719619918615,-0.0018581347540020943,,
1790037858.8010354,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790037858.8203156,ATTITUDE,,,,,,,,,,,,,,,-0.001653216197155416,-0.00019800402515102178,-0.0018612209241837263,,
1790037858.8210084,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790037858.8400102,ATTITUDE,,,,,,,,,,,,,,,-0.0016561360098421574,-0.00020102881535422057,-0.0018651073332875967,,
1790037858.840869,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790037858.8724403,ATTITUDE,,,,,,,,,,,,,,,-0.0016577058704569936,-0.00020362278155516833,-0.001865424565039575,,
1790037858.873186,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790037858.8791957,ATTITUDE,,,,,,,,,,,,,,,-0.0016571668675169349,-0.00020276030409149826,-0.0018646209500730038,,
1790037858.88045,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790037858.8979893,GLOBAL_POSITION_INT,-35.3594961,149.1685998,577.02,-1.76,0.01,-0.01,0.0,359.9,,,,,,,,,,,
1790037858.8985825,GPS_RAW_INT,,,,,,,,,,,,,,,,,,6,10
1790037858.9043517,ATTITUDE,,,,,,,,,,,,,,,-0.0016565830446779728,-0.00020250113448128104,-0.0018677014159038663,,
1790037858.9053094,RAW_IMU,,,,,,,,,0,0,-1001,2,1,2,,,,,
1790037858.924215,ATTITUDE,,,,,,,,,,,,,,,-0.0016548585845157504,-0.0002004729030886665,-0.0018709668656811118,,
1790037858.9251878,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790037858.9438496,ATTITUDE,,,,,,,,,,,,,,,-0.0016543824458494782,-0.00019792102102655917,-0.0018742030952125788,,
1790037858.944619,RAW_IMU,,,,,,,,,0,0,-1001,2,2,2,,,,,
1790037858.9626982,ATTITUDE,,,,,,,,,,,,,,,-0.0016511947615072131,-0.00019952250295318663,-0.0018748093862086535,,
1790037858.9635117,RAW_IMU,,,,,,,,,0,0,-1001,2,1,2,,,,,
