t,gps_x,gps_y,dr_x,dr_y,fused_x,fused_y,predicted_spoofed,is_spoofed
1790036360.5170295,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1790036360.5258443,0.0,0.0,2.1481347986898e-08,-2.67679501563162e-07,0.0,0.0,0,0
1790036360.621483,0.0,0.0,1.348544399255796e-05,-0.0001657887571843,0.0,0.0,0,0
1790036360.7213988,0.0,0.0,5.064182531728117e-05,-0.0006199787657433,0.0,0.0,0,0
1790036360.8261442,0.0,0.0,0.0001142247096969,-0.0013967245341973,0.0,0.0,0,0
1790036360.9210105,0.0,0.0,0.0001940909968488,-0.0023716025579295,0.0,0.0,0,0
1790036361.0256495,0.0,0.0,0.0003055345881884,-0.0037288116317542,0.0,0.0,0,0
1790036361.121787,0.0,0.0,0.0004304237886244,-0.0052451003824961,0.0,0.0,0,0
1790036361.2208807,0.0,0.0,0.0005827382210131,-0.0070891265080763,0.0,0.0,0,0
1790036361.3223352,0.0,0.0,0.0007616005261484,-0.0092497881753811,0.0,0.0,0,0
1790036361.424335,0.0,0.0,0.0009679535636509,-0.0117393917000596,0.0,0.0,0,0
1790036361.5258737,0.0,0.0,0.0011948221657767,-0.014472296586886,0.0,0.0,0,0
1790036361.621133,0.0,0.0,0.0014309059503375,-0.0173102990385065,0.0,0.0,0,0
1790036361.724159,0.0,0.0,0.0017127174061069,-0.0206918228051773,0.0,0.0,0,0
1790036361.8248923,0.0,0.0,0.0020108939303666,-0.0242631504402001,0.0,0.0,0,0
1790036361.9264994,0.0,0.0,0.0023367196049763,-0.0281614092121921,0.0,0.0,0,0
1790036362.026414,0.0,0.0,0.0026786555538286,-0.032249794312004,0.0,0.0,0,0
1790036362.1218529,0.0,0.0,0.0030286813672623,-0.0364326713257146,0.0,0.0,0,0
1790036362.2223897,0.0,0.0,0.0034196083137849,-0.0411020992299557,0.0,0.0,0,0
1790036362.3220112,0.0,0.0,0.0038316875771048,-0.0460214722602105,0.0,0.0,0,0
1790036362.4246254,0.0,0.0,0.0042814299506047,-0.0513858441556886,0.0,0.0,0,0
1790036362.5253336,0.0,0.0,0.0047479426953721,-0.0569486133333707,0.0,0.0,0,0
1790036362.625677,0.0,0.0,0.0052320441400289,-0.0627206100003041,0.0,0.0,0,0
1790036362.7257323,0.0,0.0,0.0057406363255122,-0.0687834611624022,0.0,0.0,0,0
1790036362.8270326,0.0,0.0,0.0062812570853939,-0.075228403340145,0.0,0.0,0,0
1790036362.922024,0.0,0.0,0.0068075390793555,-0.0815041342463772,0.0,0.0,0,0
