t,gps_x,gps_y,dr_x,dr_y,fused_x,fused_y,predicted_spoofed,is_spoofed
1790035351.0892425,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1790035351.0930889,0.0,0.0,-4.050913121576251e-10,-4.465427671190562e-08,0.0,0.0,0,0
1790035351.1920943,0.0,0.0,-1.957835347527062e-06,-0.0002034823152473,0.0,0.0,0,0
1790035351.291295,0.0,0.0,-6.734449526841446e-06,-0.000700439597417,0.0,0.0,0,0
1790035351.3905492,0.0,0.0,-1.4492364333837887e-05,-0.0014994802700063,0.0,0.0,0,0
1790035351.495113,0.0,0.0,-2.514719296205865e-05,-0.0025988644497252,0.0,0.0,0,0
1790035351.594328,0.0,0.0,-3.855403945440924e-05,-0.0039886158371479,0.0,0.0,0,0
1790035351.6936014,0.0,0.0,-5.480455489674308e-05,-0.0056660675692873,0.0,0.0,0,0
1790035351.792723,0.0,0.0,-7.5102875615354e-05,-0.0077361705685885,0.0,0.0,0,0
1790035351.8919504,0.0,0.0,-9.788913408337728e-05,-0.0100251707401345,0.0,0.0,0,0
1790035351.9910252,0.0,0.0,-0.0001242627625523,-0.0126091891152678,0.0,0.0,0,0
1790035352.0956514,0.0,0.0,-0.0001548712789258,-0.0155136231148502,0.0,0.0,0,0
1790035352.195015,0.0,0.0,-0.0001903352337868,-0.0187767157101771,0.0,0.0,0,0
1790035352.294101,0.0,0.0,-0.0002287481988899,-0.0222265401154734,0.0,0.0,0,0
1790035352.3940427,0.0,0.0,-0.0002724243849048,-0.0260575552822789,0.0,0.0,0,0
1790035352.4954855,0.0,0.0,-0.0003202269047144,-0.0301750801576926,0.0,0.0,0,0
1790035352.5953724,0.0,0.0,-0.0003728520208204,-0.034665433467827,0.0,0.0,0,0
1790035352.6955297,0.0,0.0,-0.0004274999604691,-0.0393072345583442,0.0,0.0,0,0
1790035352.7962348,0.0,0.0,-0.0004872438146526,-0.0443695443123958,0.0,0.0,0,0
1790035352.8919568,0.0,0.0,-0.00054868410823,-0.0495718758932426,0.0,0.0,0,0
1790035352.9954152,0.0,0.0,-0.0006132024160292,-0.0550412600192066,0.0,0.0,0,0
1790035353.0947747,0.0,0.0,-0.0006824799151342,-0.0609105950501007,0.0,0.0,0,0
1790035353.1938305,0.0,0.0,-0.0007551631059014,-0.0670634173128144,0.0,0.0,0,0
1790035353.29379,0.0,0.0,-0.0008312526222917,-0.0734817148398979,0.0,0.0,0,0
1790035353.392933,0.0,0.0,-0.0009112755778691,-0.0801983511922873,0.0,0.0,0,0
1790035353.4921217,0.0,0.0,-0.0009991248931936,-0.0875379953799511,0.0,0.0,0,0
1790035353.5913606,0.0,0.0,-0.0010872731151469,-0.0948671649109258,0.0,0.0,0,0
1790035353.6908278,0.0,0.0,-0.0011795614191715,-0.1025039916816938,0.0,0.0,0,0
1790035353.7905135,0.0,0.0,-0.0012761369418705,-0.1104696228615039,0.0,0.0,0,0
1790035353.8949535,0.0,0.0,-0.001375893901553,-0.118678571967946,0.0,0.0,0,0
1790035353.9942603,0.0,0.0,-0.001479922621842,-0.1272113511740848,0.0,0.0,0,0
1790035354.0934916,0.0,0.0,-0.00158753094833,-0.1359978765729065,0.0,0.0,0,0
1790035354.1927242,0.0,0.0,-0.0017045498368768,-0.1454945356878812,0.0,0.0,0,0
1790035354.2918808,0.0,0.0,-0.0018211409078771,-0.1549119930083815,0.0,0.0,0,0
1790035354.391016,0.0,0.0,-0.0019410631167384,-0.1645816757390021,0.0,0.0,0,0
1790035354.49109,0.0,0.0,-0.002065569354217,-0.1746337204915101,0.0,0.0,0,0
1790035354.5957673,0.0,0.0,-0.0021939283671498,-0.1850088814709811,0.0,0.0,0,0
1790035354.6950006,0.0,0.0,-0.0023264799270101,-0.1957105444751717,0.0,0.0,0,0
1790035354.7941346,0.0,0.0,-0.0024597704038131,-0.2064524792883092,0.0,0.0,0,0
1790035354.8942351,0.0,0.0,-0.0026000682536279,-0.2177412117141006,0.0,0.0,0,0
1790035354.9932396,0.0,0.0,-0.0027422585083724,-0.2291574770353867,0.0,0.0,0,0
1790035355.0923522,0.0,0.0,-0.0028959868853351,-0.2414935899747429,0.0,0.0,0,0
1790035355.1915703,0.0,0.0,-0.0030458564866039,-0.2535197274803119,0.0,0.0,0,0
1790035355.2907443,0.0,0.0,-0.0031997464967329,-0.265859748464853,0.0,0.0,0,0
1790035355.395363,0.0,0.0,-0.0033592302887865,-0.2786502669087801,0.0,0.0,0,0
1790035355.494603,0.0,0.0,-0.0035210077474783,-0.2916328882110354,0.0,0.0,0,0
1790035355.5938804,0.0,0.0,-0.0036855746943149,-0.3048468827011209,0.0,0.0,0,0
1790035355.6929572,0.0,0.0,-0.0038536371245115,-0.3183663573718095,0.0,0.0,0,0
1790035355.7922106,0.0,0.0,-0.0040326253962274,-0.3328064381153013,0.0,0.0,0,0
1790035355.891215,0.0,0.0,-0.0042073682055116,-0.3469490802131357,0.0,0.0,0,0
1790035355.9960427,0.0,0.0,-0.0043864657820905,-0.3614833376673874,0.0,0.0,0,0
1790035356.0954528,0.0,0.0,-0.0045693910369928,-0.3763528894528359,0.0,0.0,0,0
1790035356.194514,0.0,0.0,-0.004753531295598,-0.391329678861009,0.0,0.0,0,0
1790035356.294508,0.0,0.0,-0.0049435858365641,-0.4068007774558564,0.0,0.0,0,0
1790035356.3942878,0.0,0.0,-0.0051358642226648,-0.4224559125215784,0.0,0.0,0,0
1790035356.4934456,0.0,0.0,-0.0053316579761139,-0.438387275448918,0.0,0.0,0,0
1790035356.592917,0.0,0.0,-0.0055394005715319,-0.4552882033300924,0.0,0.0,0,0
1790035356.6919165,0.0,0.0,-0.0057430134045959,-0.4718563798162843,0.0,0.0,0,0
1790035356.791078,0.0,0.0,-0.0059487371340617,-0.488598298407795,0.0,0.0,0,0
1790035356.8956034,0.0,0.0,-0.006160498126634,-0.5058270146236533,0.0,0.0,0,0
1790035356.994953,0.0,0.0,-0.006374998083766,-0.523272791488613,0.0,0.0,0,0
1790035357.0941284,0.0,0.0,-0.0065923176676346,-0.5409441122797752,0.0,0.0,0,0
1790035357.1933143,0.0,0.0,-0.0068129321260985,-0.558878720560624,0.0,0.0,0,0
1790035357.2924695,0.0,0.0,-0.0070475758327334,-0.5779662409912675,0.0,0.0,0,0
1790035357.3917017,0.0,0.0,-0.0072757421580703,-0.5965587523459943,0.0,0.0,0,0
1790035357.4910576,0.0,0.0,-0.0075070420629574,-0.6154219913040464,0.0,0.0,0,0
1790035357.5954564,0.0,0.0,-0.0077423894327138,-0.6346172329703614,0.0,0.0,0,0
1790035357.6949415,0.0,0.0,-0.0079834832322973,-0.6542756455267531,0.0,0.0,0,0
1790035357.7939134,0.0,0.0,-0.0082254548408231,-0.6739974369814179,0.0,0.0,0,0
1790035357.892949,0.0,0.0,-0.0084694841152697,-0.6938810858788965,0.0,0.0,0,0
1790035357.9924395,0.0,0.0,-0.0087318892633191,-0.7152569615094331,0.0,0.0,0,0
1790035358.091536,0.0,0.0,-0.008984421551022,-0.7358596580567672,0.0,0.0,0,0
1790035358.196124,0.0,0.0,-0.0092418102264899,-0.7569048412785575,0.0,0.0,0,0
1790035358.2953072,0.0,0.0,-0.0095007970663379,-0.778128945223251,0.0,0.0,0,0
1790035358.394521,0.0,0.0,-0.009762293765876,-0.7996159956748058,0.0,0.0,0,0
1790035358.493713,0.0,0.0,-0.0100272990074186,-0.8214518641448708,0.0,0.0,0,0
1790035358.5930977,0.0,0.0,-0.0103071359854721,-0.8445724388005067,0.0,0.0,0,0
1790035358.692705,0.0,0.0,-0.0105808206398963,-0.8672527446968007,0.0,0.0,0,0
1790035358.7912672,0.0,0.0,-0.0108493827045266,-0.8895829042619222,0.0,0.0,0,0
1790035358.8958528,0.0,0.0,-0.0111283649418481,-0.912847616479822,0.0,0.0,0,0
1790035358.9953454,0.0,0.0,-0.0114095279536684,-0.9363612319440688,0.0,0.0,0,0
1790035359.0922172,0.0,0.0,-0.0116977882502784,-0.9605297588464564,0.0,0.0,0,0
1790035359.1957006,0.0,0.0,-0.011983262136761,-0.9845211078309368,0.0,0.0,0,0
1790035359.2913806,0.0,0.0,-0.0122714767650598,-1.0087828901886742,0.0,0.0,0,0
1790035359.3911676,0.0,0.0,-0.0125606630502162,-1.0331566503445804,0.0,0.0,0,0
1790035359.4956982,0.0,0.0,-0.0128569815544318,-1.0581612734456751,0.0,0.0,0,0
1790035359.5951068,0.0,0.0,-0.0131544455088489,-1.083300796618551,0.0,0.0,0,0
1790035359.6941977,0.0,0.0,-0.0134548506427235,-1.108742508746802,0.0,0.0,0,0
1790035359.793344,0.0,0.0,-0.0137570921830368,-1.134398567187073,0.0,0.0,0,0
1790035359.8928,0.0,0.0,-0.0140761709929273,-1.1615599070668092,0.0,0.0,0,0
1790035359.9917135,0.0,0.0,-0.0143840472849798,-1.187833310142674,0.0,0.0,0,0
1790035360.0964715,0.0,0.0,-0.0146994681745952,-1.2147932826391694,0.0,0.0,0,0
1790035360.1956222,0.0,0.0,-0.0150136969189157,-1.241701728316193,0.0,0.0,0,0
1790035360.296362,0.0,0.0,-0.0153358539661996,-1.2693369189521284,0.0,0.0,0,0
1790035360.3955758,0.0,0.0,-0.0156573205696181,-1.296953111032286,0.0,0.0,0,0
1790035360.494708,0.0,0.0,-0.0159809328298948,-1.324793944074501,0.0,0.0,0,0
1790035360.594041,0.0,0.0,-0.0163076327744089,-1.352943604388804,0.0,0.0,0,0
1790035360.6932194,0.0,0.0,-0.0166533888011397,-1.3827867696686784,0.0,0.0,0,0
1790035360.7923045,0.0,0.0,-0.0169864046583472,-1.4115829836445948,0.0,0.0,0,0
1790035360.8919983,0.0,0.0,-0.017322707647056,-1.4407258518036876,0.0,0.0,0,0
1790035360.9962564,0.0,0.0,-0.0176661348052693,-1.470542189297371,0.0,0.0,0,0
1790035361.0958302,0.0,0.0,-0.0180072901499583,-1.5002090906006842,0.0,0.0,0,0
1790035361.1945696,0.0,0.0,-0.0183538852260342,-1.530394836584782,0.0,0.0,0,0
1790035361.293693,0.0,0.0,-0.0187016914548519,-1.5607257599245867,0.0,0.0,0,0
1790035361.3929017,0.0,0.0,-0.0190711183852517,-1.5929861483800185,0.0,0.0,0,0
1790035361.4921184,0.0,0.0,-0.0194267818755569,-1.624088541011515,0.0,0.0,0,0
1790035361.5918107,0.0,0.0,-0.0197879230987671,-1.6556853020332734,0.0,0.0,0,0
1790035361.6959136,0.0,0.0,-0.0201537725659671,-1.687706863924229,0.0,0.0,0,0
1790035361.7951696,0.0,0.0,-0.0205210764380961,-1.7198863308314716,0.0,0.0,0,0
1790035361.8942237,0.0,0.0,-0.0208909924379236,-1.7523261078260053,0.0,0.0,0,0
1790035362.3665447,0.0,0.0,-0.0226047351930263,-1.9064138334554015,0.0,0.0,0,0
1790035362.3691003,0.0,0.0,-0.0226087521957535,-1.9067765370574088,0.0,0.0,0,0
1790035362.4665968,0.0,0.0,-0.0229555769117866,-1.9382182436989284,0.0,0.0,0,0
1790035362.5659986,0.0,0.0,-0.0233077292599121,-1.9700603916929065,0.0,0.0,0,0
1790035362.6651845,0.0,0.0,-0.0236606788166079,-2.0015390391435077,0.0,0.0,0,0
1790035362.7695336,0.0,0.0,-0.0240389661198848,-2.0346096461721066,0.0,0.0,0,0
1790035362.869014,0.0,0.0,-0.0244136355267877,-2.066112366955996,0.0,0.0,0,0
1790035362.9679053,0.0,0.0,-0.0248087464255841,-2.097610709276417,0.0,0.0,0,0
1790035363.0674365,0.0,0.0111319993391134,-0.0252159446799016,-2.129712065681108,0.0,0.0111319993391134,0,0
1790035363.1665804,0.0,0.0111319993391134,-0.025612538715532,-2.162192221108885,0.0,0.0111319993391134,0,0
1790035363.2652805,0.0,0.0111319993391134,-0.0259934970792606,-2.195121566656719,0.0,0.0111319993391134,0,0
1790035363.365014,0.0,0.0111319993391134,-0.0263661432287662,-2.228926060193911,0.0,0.0111319993391134,0,0
1790035363.4690094,0.0,0.0111319993391134,-0.02674946893908,-2.2650764728993327,0.0,0.0111319993391134,0,0
1790035363.568962,0.0,0.0222639994692031,-0.0271100137343153,-2.300273316753587,0.0,0.0222639994692031,0,0
1790035363.667927,0.0,0.0222639994692031,-0.0274652990365356,-2.335962814900636,0.0,0.0222639994692031,0,0
1790035363.7669384,0.0,0.0222639994692031,-0.0278216048577378,-2.372445033497077,0.0,0.0222639994692031,0,0
1790035363.8662543,0.0,0.0222639994692031,-0.0281754330626111,-2.409535323823801,0.0,0.0222639994692031,0,0
1790035363.9667966,0.0,0.0222639994692031,-0.0285197663008759,-2.447760856327333,0.0,0.0222639994692031,0,0
1790035364.0647843,0.0,0.0222639994692031,-0.0288492820281761,-2.485648471952759,0.0,0.0222639994692031,0,0
1790035364.1693704,0.0,0.0222639994692031,-0.0292025414214755,-2.526643912348226,0.0,0.0222639994692031,0,0
1790035364.2686715,0.0,0.0222639994692031,-0.0295459095604358,-2.566077371958454,0.0,0.0222639994692031,0,0
1790035364.3674347,0.0,0.0222639994692031,-0.0299031412847032,-2.605903411154629,0.0,0.0222639994692031,0,0
1790035364.4670072,0.0,0.0222639994692031,-0.0302818568868209,-2.6463137222902224,0.0,0.0222639994692031,0,0
1790035364.5668733,0.0,0.0222639994692031,-0.030683828939812,-2.6874173806043573,0.0,0.0222639994692031,0,0
1790035364.6659062,0.0,0.0222639994692031,-0.0310983526772282,-2.728591552903611,0.0,0.0222639994692031,0,0
1790035364.7650678,0.0,0.0222639994692031,-0.0315331229861204,-2.770229835360827,0.0,0.0222639994692031,0,0
1790035364.869877,0.0,0.0222639994692031,-0.0320191362545675,-2.814705945434865,0.0,0.0222639994692031,0,0
1790035364.9693358,0.0,0.0222639994692031,-0.032495028454228,-2.857196705123029,0.0,0.0222639994692031,0,0
1790035365.0683415,0.0,0.0222639994692031,-0.0329780054632654,-2.90009900460774,0.0,0.0222639994692031,0,0
1790035365.1675138,0.0,0.0222639994692031,-0.0334507291708761,-2.9434361337441524,0.0,0.0222639994692031,0,0
1790035365.2668593,0.0,0.0222639994692031,-0.0339004391672308,-2.9873750067560807,0.0,0.0222639994692031,0,0
1790035365.3668993,0.0,0.0222639994692031,-0.034316561899697,-3.0317028614657646,0.0,0.0222639994692031,0,0
1790035365.4660654,0.0,0.0222639994692031,-0.0346883872844442,-3.0762281200975314,0.0,0.0222639994692031,0,0
