t,gps_x,gps_y,dr_x,dr_y,fused_x,fused_y,predicted_spoofed,is_spoofed
1790035690.4525857,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1790035690.4608033,0.0,0.0,-5.793776932622927e-10,-3.993637014237578e-08,0.0,0.0,0,0
1790035690.5557382,0.0,0.0,-4.969075785790869e-07,-3.716241398231268e-05,0.0,0.0,0,0
1790035690.6534889,0.0,0.0,-1.6801704669438643e-06,-0.0001272533086501,0.0,0.0,0,0
1790035690.7570217,0.0,0.0,-3.675150784239496e-06,-0.0002759903258938,0.0,0.0,0,0
1790035690.8547993,0.0,0.0,-6.539082486637533e-06,-0.0004845421139316,0.0,0.0,0,0
1790035690.9567127,0.0,0.0,-1.0146694448502644e-05,-0.0007409915166658,0.0,0.0,0,0
1790035691.056692,0.0,0.0,-1.4672570410209835e-05,-0.0010545933151852,0.0,0.0,0,0
1790035691.1569102,0.0,0.0,-2.006892204486849e-05,-0.0014315835688052,0.0,0.0,0,0
1790035691.2569036,0.0,0.0,-2.6197031592090475e-05,-0.0018715977388489,0.0,0.0,0,0
1790035691.356687,0.0,0.0,-3.29764321250518e-05,-0.0023604003477969,0.0,0.0,0,0
1790035691.451934,0.0,0.0,-4.034551380536452e-05,-0.0028987161430673,0.0,0.0,0,0
1790035691.5562098,0.0,0.0,-4.8552222247269184e-05,-0.003510772081046,0.0,0.0,0,0
1790035691.6555402,0.0,0.0,-5.746508404934695e-05,-0.0041912407345471,0.0,0.0,0,0
1790035691.7541883,0.0,0.0,-6.640283947783373e-05,-0.0049045220928704,0.0,0.0,0,0
1790035691.8540423,0.0,0.0,-7.590383331628838e-05,-0.0056882008560574,0.0,0.0,0,0
1790035691.9531832,0.0,0.0,-8.572936123537884e-05,-0.0065189669338945,0.0,0.0,0,0
1790035692.0534797,0.0,0.0,-9.622939643425412e-05,-0.0074160717480689,0.0,0.0,0,0
1790035692.4563012,0.0,0.0,-0.0001471039471509,-0.011960567199362,0.0,0.0,0,0
1790035692.4659576,0.0,0.0,-0.0001475960126429,-0.0120046473838827,0.0,0.0,0,0
1790035692.555859,0.0,0.0,-0.0001602199184506,-0.0131508425264292,0.0,0.0,0,0
1790035692.655243,0.0,0.0,-0.0001736745904629,-0.0143862376675356,0.0,0.0,0,0
1790035692.7559729,0.0,0.0,-0.0001878007246004,-0.0156925503807562,0.0,0.0,0,0
1790035692.856272,0.0,0.0,-0.0002026548725611,-0.0170606790883086,0.0,0.0,0,0
1790035692.9566689,0.0,0.0,-0.0002178849251587,-0.0184746746087327,0.0,0.0,0,0
1790035693.055372,0.0,0.0,-0.0002330737650767,-0.0199266968571231,0.0,0.0,0,0
1790035693.1580975,0.0,0.0,-0.0002484204917113,-0.0214467139613157,0.0,0.0,0,0
1790035693.2589612,0.0,0.0,-0.000264522096097,-0.0230696831525664,0.0,0.0,0,0
1790035693.355916,0.0,0.0,-0.0002804262891105,-0.0246936858198374,0.0,0.0,0,0
1790035693.457185,0.0,0.0,-0.0002963620973265,-0.0263510849203593,0.0,0.0,0,0
1790035693.5566306,0.0,0.0,-0.0003133901082892,-0.0281456188697085,0.0,0.0,0,0
1790035693.657297,0.0,0.0,-0.0003298994213063,-0.0299200461565767,0.0,0.0,0,0
1790035693.757022,0.0,0.0,-0.0003465453815734,-0.0317509700441421,0.0,0.0,0,0
1790035693.8569882,0.0,0.0,-0.0003636170937531,-0.0336784234456392,0.0,0.0,0,0
1790035693.957618,0.0,0.0,-0.0003807024473686,-0.0356856584487926,0.0,0.0,0,0
1790035694.0584505,0.0,0.0,-0.000397325591913,-0.0377237406739312,0.0,0.0,0,0
1790035694.159673,0.0,0.0,-0.0004139589254892,-0.0398469738996294,0.0,0.0,0,0
1790035694.2596345,0.0,0.0,-0.0004302963733434,-0.0419967100262422,0.0,0.0,0,0
1790035694.3547328,0.0,0.0,-0.0004460792664259,-0.0441466119288363,0.0,0.0,0,0
1790035694.454667,0.0,0.0,-0.0004621301650047,-0.0464077241339753,0.0,0.0,0,0
1790035694.554865,0.0,0.0,-0.000478034788751,-0.0487300477860881,0.0,0.0,0,0
1790035694.6550388,0.0,0.0,-0.0004935963655822,-0.051067449312508,0.0,0.0,0,0
1790035694.7597122,0.0,0.0,-0.0005094419715126,-0.053489078636447,0.0,0.0,0,0
1790035694.858961,0.0,0.0,-0.0005256701885351,-0.0559606198709846,0.0,0.0,0,0
1790035694.959769,0.0,0.0,-0.0005430600057299,-0.0585650546285791,0.0,0.0,0,0
1790035695.059769,0.0,0.0,-0.0005604607582693,-0.061145245401952,0.0,0.0,0,0
1790035695.1603234,0.0,0.0,-0.0005788040973735,-0.0638534818879854,0.0,0.0,0,0
1790035695.2572217,0.0,0.0,-0.0005969267459345,-0.0665152545658959,0.0,0.0,0,0
1790035695.356895,0.0,0.0,-0.000615500637407,-0.0692162350966967,0.0,0.0,0,0
1790035695.4581704,0.0,0.0,-0.0006353174145267,-0.0720608136957644,0.0,0.0,0,0
1790035695.558125,0.0,0.0,-0.0006558696247969,-0.0749434607613494,0.0,0.0,0,0
1790035695.6581662,0.0,0.0,-0.0006774676681044,-0.0778844965913619,0.0,0.0,0,0
