t,gps_x,gps_y,dr_x,dr_y,fused_x,fused_y,trust_weight,is_spoofed
1790036360.5170295,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036360.5258443,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036360.621483,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036360.7213988,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036360.8261442,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036360.9210105,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036361.0256495,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036361.121787,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036361.2208807,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036361.3223352,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036361.424335,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036361.5258737,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036361.621133,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036361.724159,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036361.8248923,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036361.9264994,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036362.026414,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036362.1218529,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036362.2223897,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036362.3220112,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036362.4246254,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036362.5253336,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036362.625677,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036362.7257323,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036362.8270326,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036362.922024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036363.0236852,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036363.1241424,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036363.2259552,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036363.3262906,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036363.423259,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036363.523498,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036363.626042,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036363.723884,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036363.8239875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036363.925408,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036364.0266886,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036364.125746,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036364.2267454,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036364.3203208,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036364.4195766,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036364.5212796,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036364.6227863,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036364.7237575,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036364.8237677,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036364.9273305,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036365.0218632,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036365.124958,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036365.2248695,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036365.325472,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036365.4264414,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036365.5237267,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036365.6244347,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036365.725736,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036365.8261547,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036365.9224148,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036366.023707,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036366.1250706,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036366.2220552,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036366.320717,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036366.4227471,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036366.8331015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036366.9079025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036366.9382734,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036367.0355668,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036367.1485152,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036367.2400055,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036367.3401203,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036367.435992,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036367.5388546,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036367.654595,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036367.736598,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036367.8351538,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036367.9356973,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
