t,gps_x,gps_y,dr_x,dr_y,fused_x,fused_y,trust_weight,is_spoofed
1790036552.5529404,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036552.5622127,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036552.6602714,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036552.7574596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036552.8585875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036552.9588003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036553.0594673,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036553.161846,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036553.2591882,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036553.3591497,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036553.4588504,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036553.5600004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036553.6584682,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036553.758937,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036553.8578572,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036553.9594457,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036554.0598395,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036554.1597536,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036554.2603734,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036554.3605402,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036554.4611137,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036554.5616744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036554.655666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036554.7580614,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036554.858432,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036554.9596107,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036555.060837,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036555.1565964,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036555.257143,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036555.3629203,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036555.462548,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036555.5586057,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036555.6584888,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036555.760573,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036555.8589082,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036555.9620633,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036556.0622096,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036556.161127,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036556.2612796,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036556.360158,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036556.4581964,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036556.557397,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036556.6579258,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036556.7570937,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036556.8625517,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036556.9588704,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036557.0612304,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036557.1553016,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036557.2607667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036557.361476,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036557.4583886,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036557.5621347,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036557.6603434,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036557.7601948,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036557.8600934,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036557.9605062,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036558.061994,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036558.164146,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036558.2637296,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036558.3569946,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036558.4634404,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036558.5633206,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036558.658765,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036558.7635648,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036558.860087,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036558.9613645,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036559.0619273,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036559.1577806,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036559.2592072,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036559.3606522,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036559.46385,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036559.5607803,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036559.6602502,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036559.7601025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036559.863922,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036559.9602275,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036560.058188,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036560.1593585,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036560.2593205,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036560.3607354,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036560.4599955,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
