t,gps_x,gps_y,dr_x,dr_y,fused_x,fused_y,trust_weight,is_spoofed
1790036742.3840103,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036742.4217718,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036742.4844568,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036742.585921,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036742.6836655,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036742.784377,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036742.884867,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036742.9857032,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036743.08598,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036743.184645,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036743.2836072,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036743.3848064,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036743.484881,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036743.5849297,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036743.6866534,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036743.7866054,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036743.8855195,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036743.9834328,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036744.0852604,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036744.185425,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036744.2843423,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036744.3834682,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036744.4845028,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036744.585524,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036744.6861567,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036744.7867875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036744.8848252,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036744.985351,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036745.085923,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036745.1866136,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036745.286964,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036745.383668,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036745.4849122,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036745.5846205,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036745.686428,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036745.7832742,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036745.8850875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036745.985044,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790036746.0869613,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
