t,gps_x,gps_y,dr_x,dr_y,fused_x,fused_y,trust_weight,is_spoofed
1790037317.3973503,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037317.4060638,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037317.5057952,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037317.6063852,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037317.7022357,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037317.8014808,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037317.901862,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037318.0062535,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037318.101488,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037318.2014954,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037318.3031096,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037318.400815,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037318.5020137,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037318.6044602,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037318.7060373,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037318.8039172,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037318.906211,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037319.004894,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037319.103924,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037319.2049408,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037319.3004446,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037319.4015372,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037319.501581,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037319.6025636,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037319.7030127,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037319.8035417,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037319.9012244,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037320.0038855,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037320.1058197,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037320.203004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037320.30315,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037320.4037166,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037320.5052214,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037320.6051917,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037320.7019012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037320.801821,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037320.902669,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037321.0039425,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037321.1040072,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037321.2049232,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037321.3006926,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037321.400292,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037321.4989538,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037321.6051986,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037321.7018597,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037321.8022306,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037321.901651,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037322.0075867,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037322.1069589,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037322.2067044,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037322.306631,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037322.4021878,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037322.5028024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037322.6050863,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037322.705206,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037322.8047116,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037322.9054182,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037323.002329,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037323.106283,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037323.205369,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037323.30637,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037323.401821,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037323.5037856,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
