t,gps_x,gps_y,dr_x,dr_y,fused_x,fused_y,trust_weight,is_spoofed
1790037607.4491773,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037607.4594023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037607.5471673,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037607.6479075,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037607.7471902,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037607.8518603,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037607.9499006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037608.0496235,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037608.1504066,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037608.252325,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037608.3489523,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037608.4495203,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037608.553158,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037608.6510737,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037608.7499433,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037608.8519225,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037608.9518416,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037609.0515063,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037609.1472387,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037609.2490942,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037609.3469622,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037609.4479263,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037609.548047,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037609.647911,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037609.7492208,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037609.8477075,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037609.953655,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037610.053488,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037610.1526458,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037610.253287,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037610.353537,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037610.4536612,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037610.5531204,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037610.6485713,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037610.7491264,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037610.8485131,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037610.9486034,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
