t,gps_x,gps_y,dr_x,dr_y,fused_x,fused_y,trust_weight,is_spoofed
1790037462.4219477,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037462.427342,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037462.521452,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037462.620162,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037462.7221508,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037462.8223712,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037462.9216523,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037463.0247295,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037463.1235802,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037463.22389,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037463.321152,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037463.4204562,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037463.5249743,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037463.6247606,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037463.7253675,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037463.8252156,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037463.924162,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037464.024325,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037464.1245484,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037464.2244165,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037464.3243637,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037464.4230833,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037464.5220473,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037464.6224525,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037464.721653,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037464.8221316,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037464.9255686,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037465.0250869,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037465.1207864,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037465.2218657,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037465.3213346,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037465.4256885,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037465.5215714,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037465.621936,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037465.725995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037465.821537,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037465.9221814,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037466.0229058,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037466.1233592,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037466.224846,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037466.3251424,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037466.4246628,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037466.52377,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037466.622963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037466.724634,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037466.8245423,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037466.9247153,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037467.0247433,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037467.123531,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037467.2221675,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037467.3225448,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037467.4264653,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037467.525358,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037467.6265326,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037467.7221088,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037467.8243246,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037467.9258044,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037468.0250986,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037468.1242948,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037468.2259054,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037468.326305,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037468.426,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037468.5252843,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037468.6245518,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037468.7216446,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037468.8224723,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037468.9236636,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037469.0222547,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037469.1230235,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037469.2257538,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037469.325035,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037469.4250352,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037469.528072,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037469.6221042,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037469.7227037,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037469.824172,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037469.9227378,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037470.0226595,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037470.123848,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037470.226506,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037470.321554,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037470.4224637,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037470.5220797,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037470.6226544,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037470.7234604,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037470.824301,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037470.9244776,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037471.024057,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037471.126573,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037471.2265673,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037471.3265746,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037471.4264977,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037471.5218074,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037471.6271102,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037471.726055,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037471.8259802,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037471.9262328,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037472.0235844,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037472.1271265,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037472.2235048,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037472.3232577,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037472.4273217,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037472.5220456,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037472.6233168,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037472.723503,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037472.8246253,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037472.9233186,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037473.024911,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037473.12493,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037473.2259438,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037473.3261635,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037473.4247282,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037473.5260954,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037473.62684,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037473.7267632,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037473.8265193,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037473.926967,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037474.0266066,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037474.1268995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037474.2265508,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037474.3265247,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037474.4266253,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
