t,gps_x,gps_y,dr_x,dr_y,fused_x,fused_y,trust_weight,is_spoofed
1790035351.0892425,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035351.0930889,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035351.1920943,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035351.291295,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035351.3905492,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035351.495113,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035351.594328,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035351.6936014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035351.792723,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035351.8919504,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035351.9910252,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035352.0956514,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035352.195015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035352.294101,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035352.3940427,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035352.4954855,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035352.5953724,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035352.6955297,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035352.7962348,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035352.8919568,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035352.9954152,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035353.0947747,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035353.1938305,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035353.29379,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035353.392933,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035353.4921217,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035353.5913606,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
