t,gps_x,gps_y,dr_x,dr_y,fused_x,fused_y,trust_weight,is_spoofed
1790035514.1052568,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035514.108738,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035514.2078035,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035514.307003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035514.4062111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035514.5054083,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035514.6099832,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035514.7091317,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035514.8083582,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035514.9073954,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035515.0068264,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035515.107541,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035515.2057743,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035515.3104165,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035515.4096963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035515.508926,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035515.6081116,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035515.707311,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035515.8098264,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035515.9083462,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035516.0079942,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035516.1070724,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035516.206255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035516.3056962,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035516.410252,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035516.5094633,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035516.608555,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035516.7077894,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035516.8070495,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035516.9061515,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035517.005274,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035517.1099904,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035517.2092144,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035517.3083944,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035517.4076023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035517.5067072,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035517.6058908,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035517.7051332,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035517.809863,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035517.909058,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035518.008179,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035518.1073053,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035518.2065322,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035518.306084,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035518.4104314,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035518.509534,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790035518.6088789,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
