t,gps_x,gps_y,dr_x,dr_y,fused_x,fused_y,trust_weight,is_spoofed
1790037858.4975386,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037858.506532,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037858.5990524,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037858.6983025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037858.7942717,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037858.8979893,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037858.9952166,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037859.0965977,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037859.1951964,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037859.298884,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037859.3988502,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037859.4989169,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037859.599031,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037859.7002776,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037859.7999103,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037859.8999915,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037860.0001354,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037860.096239,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037860.1988964,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037860.2981894,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037860.397442,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037860.497456,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037860.5972986,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037860.698902,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037860.7987025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037860.8986626,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037860.9981012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037861.0985105,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037861.1995432,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037861.300771,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037861.4008355,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037861.500213,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037861.6001835,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
