t,x_m,y_m
1790036648.2660954,0.0,0.0
1790036648.275533,0.0,0.0
1790036648.366503,0.0,0.0
1790036648.4689806,0.0,0.0
1790036648.567147,0.0,0.0
1790036648.669165,0.0,0.0
1790036648.7709467,0.0,0.0
1790036648.8714266,0.0,0.0
1790036648.969717,0.0,0.0
1790036649.0708375,0.0,0.0
1790036649.1718187,0.0,0.0
1790036649.271939,0.0,0.0
1790036649.367227,0.0,0.0
1790036649.4696202,0.0,0.0
1790036649.569533,0.0,0.0
1790036649.6697333,0.0,0.0
1790036649.769737,0.0,0.0
1790036649.8696542,0.0,0.0
1790036649.9706306,0.0,0.0
1790036650.0683606,0.0,0.0
1790036650.1716187,0.0,0.0
1790036650.2680628,0.0,0.0
1790036650.3694675,0.0,0.0
1790036650.4694655,0.0,0.0
1790036650.5695004,0.0,0.0
1790036650.669376,0.0,0.0
1790036650.7702422,0.0,0.0
1790036650.870611,0.0,0.0
1790036650.9716575,0.0,0.0
1790036651.0726786,0.0,0.0
1790036651.1717606,0.0,0.0
1790036651.2687497,0.0,0.0
1790036651.3690274,0.0,0.0
1790036651.4687223,0.0,0.0
1790036651.6300025,0.0,0.0
1790036652.0497358,0.0,0.0
1790036652.0601604,0.0,0.0
1790036652.1516843,0.0,0.0
1790036652.2481525,0.0,0.0
1790036652.3489754,0.0,0.0
1790036652.448084,0.0,0.0
1790036652.5473557,0.0,0.0
1790036652.6463916,0.0,0.0
1790036652.749579,0.0,0.0
1790036652.8498707,0.0,0.0
1790036652.9516068,0.0,0.0
1790036653.0524497,0.0,0.0
1790036653.1542716,0.0,0.0
1790036653.248114,0.0,0.0
1790036653.349941,0.0,0.0
1790036653.451861,0.0,0.0
1790036653.551844,0.0,0.0
1790036653.6535046,0.0,0.0
1790036653.7480474,0.0,0.0
1790036653.8485956,0.0,0.0
1790036653.9483635,0.0,0.0
1790036654.0522182,0.0,0.0
1790036654.1582642,0.0,0.0
1790036654.2508166,0.0,0.0
1790036654.3484216,0.0,0.0
1790036654.4515653,0.0,0.0
1790036654.5475056,0.0,0.0
1790036654.653679,0.0,0.0
1790036654.750868,0.0,0.0
1790036654.8476615,0.0,0.0
1790036654.9500277,0.0,0.0
1790036655.0516222,0.0,0.0
1790036655.150918,0.0,0.0
1790036655.2519882,0.0,0.0
1790036655.353085,0.0,0.0
1790036655.449675,0.0,0.0
1790036655.552126,0.0,0.0
1790036655.6523614,0.0,0.0
1790036655.7521744,0.0,0.0
1790036655.848516,0.0,0.0
1790036655.9503856,0.0,0.0
1790036656.050763,0.0,0.0
1790036656.1559937,0.0,0.0
1790036656.2510078,0.0,0.0
1790036656.3485534,0.0,0.0
1790036656.450017,0.0,0.0
1790036656.550007,0.0,0.0
1790036656.6502907,0.0,0.0
1790036656.7504752,0.0,0.0
1790036656.8528368,0.0,0.0
1790036656.949375,0.0,0.0
1790036657.0503528,0.0,0.0
1790036657.1504078,0.0,0.0
1790036657.2524288,0.0,0.0
1790036657.3533072,0.0,0.0
1790036657.450063,0.0,0.0
1790036657.550995,0.0,0.0
1790036657.6536229,0.0,0.0
1790036657.7483516,0.0,0.0
1790036657.8503196,0.0,0.0
1790036657.9533474,0.0,0.0
1790036658.0485368,0.0,0.0
1790036658.1505964,0.0,0.0
1790036658.2506258,0.0,0.0
1790036658.352566,0.0,0.0
1790036658.449656,0.0,0.0
1790036658.5493762,0.0,0.0
1790036658.65565,0.0,0.0
1790036658.749525,0.0,0.0
1790036658.849123,0.0,0.0
1790036658.9486806,0.0,0.0
1790036659.0518825,0.0,0.0
1790036659.1582754,0.0,0.0
1790036659.2523592,0.0,0.0
1790036659.349542,0.0,0.0
1790036659.44963,0.0,0.0
1790036659.5493455,0.0,0.0
1790036659.6484609,0.0,0.0
1790036659.7482362,0.0,0.0
1790036659.8484282,0.0,0.0
1790036659.9529598,0.0,0.0
1790036660.052861,0.0,0.0
1790036660.1520612,0.0,0.0
1790036660.2515466,0.0,0.0
1790036660.352661,-0.009078449136709675,0.0
1790036660.448495,-0.009078449136709675,0.011132000130089637
1790036660.5515766,-0.009078449136709675,0.011132000130089637
1790036660.652863,-0.009078449136709675,0.011132000130089637
1790036660.7512145,-0.009078449136709675,0.011132000130089637
1790036660.8514917,-0.009078449136709675,0.011132000130089637
1790036660.953547,-0.009078449136709675,0.011132000130089637
1790036661.053403,-0.009078449136709675,0.011132000130089637
1790036661.1553006,-0.009078449136709675,0.011132000130089637
1790036661.250214,-0.009078449136709675,0.011132000130089637
1790036661.3498733,-0.009078449136709675,0.022264000260179273
1790036661.4489572,-0.009078449136709675,0.022264000260179273
1790036661.5526242,-0.009078449136709675,0.022264000260179273
1790036661.6585732,-0.009078449136709675,0.022264000260179273
1790036661.7528062,-0.009078449136709675,0.022264000260179273
1790036661.8530254,-0.009078449136709675,0.022264000260179273
1790036661.953393,-0.009078449136709675,0.022264000260179273
1790036662.0539825,-0.009078449136709675,0.022264000260179273
1790036662.155182,-0.009078449136709675,0.022264000260179273
1790036662.2544303,-0.009078449136709675,0.022264000260179273
1790036662.3497114,-0.009078449136709675,0.022264000260179273
1790036662.450676,-0.009078449136709675,0.022264000260179273
1790036662.5503306,-0.009078449136709675,0.022264000260179273
1790036662.6564636,-0.009078449136709675,0.022264000260179273
1790036662.750245,-0.009078449136709675,0.022264000260179273
1790036662.850258,-0.009078449136709675,0.022264000260179273
1790036662.9509077,-0.009078449136709675,0.022264000260179273
1790036663.051629,-0.009078449136709675,0.022264000260179273
1790036663.152906,-0.009078449136709675,0.022264000260179273
1790036663.2510722,-0.009078449136709675,0.022264000260179273
1790036663.3517585,-0.009078449136709675,0.022264000260179273
1790036663.4532013,-0.009078449136709675,0.022264000260179273
1790036663.5539052,-0.009078449136709675,0.022264000260179273
1790036663.65768,-0.009078449136709675,0.022264000260179273
1790036663.7509377,-0.009078449136709675,0.022264000260179273
1790036663.8502848,-0.009078449136709675,0.022264000260179273
1790036663.9499893,-0.009078449136709675,0.022264000260179273
1790036664.0543785,-0.009078449136709675,0.022264000260179273
1790036664.1530373,-0.009078449136709675,0.022264000260179273
1790036664.2503655,-0.009078449136709675,0.022264000260179273
1790036664.352173,-0.009078449136709675,0.022264000260179273
1790036664.4501894,-0.009078449136709675,0.022264000260179273
1790036664.5536768,-0.009078449136709675,0.022264000260179273
1790036664.659039,-0.009078449136709675,0.022264000260179273
1790036664.7543752,-0.009078449136709675,0.022264000260179273
1790036664.849671,-0.009078449136709675,0.022264000260179273
1790036664.9496248,-0.009078449136709675,0.022264000260179273
1790036665.050778,-0.009078449136709675,0.022264000260179273
1790036665.1597855,-0.009078449136709675,0.022264000260179273
1790036665.2510984,-0.009078449136709675,0.022264000260179273
1790036665.3505678,-0.009078449136709675,0.022264000260179273
1790036665.4520235,-0.009078449136709675,0.022264000260179273
1790036665.5537724,-0.009078449136709675,0.022264000260179273
1790036665.6553664,-0.009078449136709675,0.022264000260179273
1790036665.7506704,-0.009078449136709675,0.022264000260179273
1790036665.850689,-0.009078449136709675,0.022264000260179273
1790036665.9522188,-0.009078449136709675,0.022264000260179273
1790036666.0534964,-0.009078449136709675,0.022264000260179273
1790036666.1549218,-0.009078449136709675,0.022264000260179273
1790036666.2545495,-0.009078449136709675,0.022264000260179273
1790036666.3547034,-0.009078449136709675,0.022264000260179273
1790036666.449854,-0.009078449136709675,0.022264000260179273
1790036666.5496907,-0.009078449136709675,0.022264000260179273
1790036666.63621,-0.009078449136709675,0.022264000260179273
1790036667.058402,-0.009078449136709675,0.022264000260179273
1790036667.0691736,-0.009078449136709675,0.022264000260179273
1790036667.162325,-0.009078449136709675,0.022264000260179273
1790036667.263386,-0.009078449136709675,0.022264000260179273
1790036667.3615978,-0.009078449136709675,0.022264000260179273
1790036667.462592,-0.009078449136709675,0.022264000260179273
1790036667.5638373,-0.009078449136709675,0.022264000260179273
1790036667.6642952,-0.009078449136709675,0.022264000260179273
1790036667.7639372,-0.009078449136709675,0.022264000260179273
1790036667.866025,-0.009078449136709675,0.022264000260179273
1790036667.9657123,-0.009078449136709675,0.022264000260179273
1790036668.0651584,-0.009078449136709675,0.022264000260179273
1790036668.1647851,-0.009078449136709675,0.022264000260179273
1790036668.2653775,-0.009078449136709675,0.022264000260179273
1790036668.3634882,-0.009078449136709675,0.022264000260179273
1790036668.4627469,-0.009078449136709675,0.022264000260179273
1790036668.565117,-0.009078449136709675,0.022264000260179273
1790036668.66253,-0.009078449136709675,0.022264000260179273
1790036668.7632768,-0.009078449136709675,0.022264000260179273
1790036668.866126,-0.009078449136709675,0.022264000260179273
1790036668.9650447,-0.009078449136709675,0.022264000260179273
1790036669.0649502,-0.009078449136709675,0.022264000260179273
1790036669.1659093,-0.009078449136709675,0.022264000260179273
1790036669.2658238,-0.009078449136709675,0.022264000260179273
1790036669.3648944,-0.009078449136709675,0.022264000260179273
1790036669.4647632,-0.009078449136709675,0.022264000260179273
1790036669.5656052,-0.009078449136709675,0.022264000260179273
1790036669.6654491,-0.009078449136709675,0.022264000260179273
1790036669.7641134,-0.009078449136709675,0.022264000260179273
1790036669.8645997,-0.009078449136709675,0.022264000260179273
1790036669.965196,-0.009078449136709675,0.022264000260179273
1790036670.0653234,-0.009078449136709675,0.022264000260179273
1790036670.1648288,-0.009078449136709675,0.022264000260179273
1790036670.2657783,-0.009078449136709675,0.022264000260179273
1790036670.3651907,-0.009078449136709675,0.022264000260179273
1790036670.46407,-0.009078449136709675,0.022264000260179273
1790036670.5643125,-0.009078449136709675,0.022264000260179273
1790036670.66583,-0.009078449136709675,0.022264000260179273
1790036670.7649908,-0.009078449136709675,0.022264000260179273
1790036670.8656237,-0.009078449136709675,0.022264000260179273
1790036670.962714,-0.009078449136709675,0.022264000260179273
1790036671.062907,-0.009078449136709675,0.022264000260179273
1790036671.1654208,-0.009078449136709675,0.022264000260179273
1790036671.2654812,-0.009078449136709675,0.022264000260179273
1790036671.3654568,-0.009078449136709675,0.022264000260179273
1790036671.4625506,-0.009078449136709675,0.022264000260179273
1790036671.566381,-0.009078449136709675,0.022264000260179273
1790036671.6609235,-0.009078449136709675,0.022264000260179273
1790036671.764016,-0.009078449136709675,0.022264000260179273
1790036671.8679905,-0.009078449136709675,0.022264000260179273
1790036671.9650357,-0.009078449136709675,0.022264000260179273
1790036672.0648313,-0.009078449136709675,0.022264000260179273
1790036672.1648026,-0.009078449136709675,0.022264000260179273
1790036672.2648404,-0.009078449136709675,0.022264000260179273
1790036672.3648005,-0.009078449136709675,0.022264000260179273
1790036672.4656668,-0.009078449136709675,0.022264000260179273
1790036672.5653696,-0.009078449136709675,0.022264000260179273
1790036672.6647518,-0.009078449136709675,0.022264000260179273
1790036672.7655432,-0.009078449136709675,0.022264000260179273
1790036672.8660808,-0.009078449136709675,0.022264000260179273
1790036672.963515,-0.009078449136709675,0.022264000260179273
1790036673.064091,-0.009078449136709675,0.022264000260179273
1790036673.166525,-0.009078449136709675,0.022264000260179273
1790036673.2654676,-0.009078449136709675,0.022264000260179273
1790036673.3655474,-0.009078449136709675,0.022264000260179273
1790036673.4659104,-0.009078449136709675,0.022264000260179273
1790036673.565399,-0.009078449136709675,0.022264000260179273
1790036673.6658435,-0.009078449136709675,0.022264000260179273
1790036673.764445,-0.009078449136709675,0.022264000260179273
1790036673.865346,-0.009078449136709675,0.022264000260179273
1790036673.9651177,-0.009078449136709675,0.022264000260179273
1790036674.0660565,-0.009078449136709675,0.022264000260179273
1790036674.1651232,-0.009078449136709675,0.022264000260179273
1790036674.2643332,-0.009078449136709675,0.022264000260179273
1790036674.3646183,-0.009078449136709675,0.022264000260179273
1790036674.4639828,-0.009078449136709675,0.022264000260179273
1790036674.5674987,-0.009078449136709675,0.022264000260179273
1790036674.666295,-0.009078449136709675,0.022264000260179273
1790036674.7658806,-0.009078449136709675,0.022264000260179273
1790036674.8657355,-0.009078449136709675,0.022264000260179273
1790036674.9645596,-0.009078449136709675,0.022264000260179273
1790036675.064705,-0.009078449136709675,0.022264000260179273
1790036675.165955,-0.009078449136709675,0.022264000260179273
1790036675.2663636,-0.009078449136709675,0.022264000260179273
1790036675.3648355,-0.009078449136709675,0.022264000260179273
1790036675.4670854,-0.009078449136709675,0.022264000260179273
1790036675.5664985,-0.009078449136709675,0.022264000260179273
1790036675.6686585,-0.009078449136709675,0.022264000260179273
1790036675.7673762,-0.009078449136709675,0.022264000260179273
1790036675.8667784,-0.009078449136709675,0.022264000260179273
1790036675.9680278,-0.009078449136709675,0.022264000260179273
1790036676.066543,-0.009078449136709675,0.022264000260179273
1790036676.166555,-0.009078449136709675,0.022264000260179273
1790036676.2650764,-0.009078449136709675,0.022264000260179273
1790036676.3650873,-0.009078449136709675,0.022264000260179273
1790036676.4645088,-0.009078449136709675,0.022264000260179273
1790036676.5652869,-0.009078449136709675,0.022264000260179273
1790036676.6672971,-0.009078449136709675,0.022264000260179273
1790036676.7664292,-0.009078449136709675,0.022264000260179273
1790036676.8669631,-0.009078449136709675,0.022264000260179273
1790036676.967878,-0.009078449136709675,0.022264000260179273
1790036677.0667553,-0.009078449136709675,0.03339600039026891
1790036677.1653788,-0.009078449136709675,0.044528000520358546
1790036677.2669232,-0.009078449136709675,0.08905600024974092
1790036677.3684933,-0.009078449136709675,0.14471600010921293
1790036677.4674468,-0.009078449136709675,0.23377200035895385
1790036677.568055,-0.009078449136709675,0.3562240002079875
1790036677.668487,-0.009078449136709675,0.5120720004472901
1790036677.765105,-0.009078449136709675,0.6790520000257061
1790036677.865664,-0.009078449136709675,0.8905600001244807
1790036677.966678,-0.009078449136709675,1.1132000003533449
1790036678.0673704,-0.009078449136709675,1.3692360001815018
1790036678.1660268,0.0,1.6586680003999277
1790036678.2679212,0.0,1.9592320007484432
1790036678.3660655,0.0,2.2931920006962514
1790036678.466102,0.0,2.638283999983173
1790036678.5659914,0.0,3.01677200045134
1790036678.667735,0.0,3.4175240003887097
1790036678.7677648,0.0,3.8294080004561692
1790036678.866192,0.0,4.2746880001229215
1790036678.965855,0.0,4.71996800058065
1790036679.066265,0.0,5.187512000507581
1790036679.170443,0.0,5.643924000304423
1790036679.2663262,0.0,6.1226000003614445
1790036679.3685288,0.0,6.590144000288376
1790036679.465316,0.0,7.068820000345397
1790036679.564419,0.0,7.558628000532508
1790036679.6654353,0.0,8.037304000589529
1790036679.764803,0.0,8.527111999985664
1790036679.8662658,0.0,9.005788000042685
1790036679.966362,0.0,9.495596000229796
1790036680.0671787,0.0,9.985404000416906
1790036680.166145,0.0,10.475212000604017
1790036680.2685828,-0.009078449136709675,10.965020000000152
1790036680.3680632,-0.009078449136709675,11.465960000317352
1790036680.466488,-0.01815689827341935,11.955768000504463
1790036680.5693536,-0.01815689827341935,12.456708000030687
1790036680.6665232,-0.01815689827341935,12.957648000347888
1790036680.7678585,-0.027235349990379614,13.458588000665088
1790036680.868452,-0.027235349990379614,13.959528000191312
1790036680.967168,-0.027235349990379614,14.460468000508513
1790036681.067375,-0.027235349990379614,14.961408000034737
1790036681.1684506,-0.027235349990379614,15.473480000482027
1790036681.2675278,-0.027235349990379614,15.974420000008251
1790036681.3663294,-0.03631379912708929,16.48649200045554
1790036681.466827,-0.03631379912708929,16.998564000111855
1790036681.5660634,-0.03631379912708929,17.499504000429056
1790036681.6397457,-0.03631379912708929,17.877992000106246
1790036682.0637944,-0.03631379912708929,19.158172000038007
1790036682.0741785,-0.03631379912708929,20.059864000292578
