t,x_m,y_m
1790036849.3382185,0.0,0.0
1790036849.3497195,0.0,0.0
1790036849.4464407,0.0,0.0
1790036849.5394862,0.0,0.0
1790036849.6417272,0.0,0.0
1790036849.7428396,0.0,0.0
1790036849.8415303,0.0,0.0
1790036849.9423764,0.0,0.0
1790036850.0443485,0.0,0.0
1790036850.145323,0.0,0.0
1790036850.2416124,0.0,0.0
1790036850.3416293,0.0,0.0
1790036850.44522,0.0,0.0
1790036850.5437033,0.0,0.0
1790036850.6438234,0.0,0.0
1790036850.7402873,0.0,0.0
1790036850.841259,0.0,0.0
1790036850.940917,0.0,0.0
1790036851.0429149,0.0,0.0
1790036851.1441383,0.0,0.0
1790036851.2434795,0.0,0.0
1790036851.3413763,0.0,0.0
1790036851.4401162,0.0,0.0
1790036851.5425837,0.0,0.0
1790036851.6424203,0.0,0.0
1790036851.742898,0.0,0.0
1790036851.8438275,0.0,0.0
1790036851.9459865,0.0,0.0
1790036852.0409384,0.0,0.0
1790036852.1404624,0.0,0.0
1790036852.241737,0.0,0.0
1790036852.3421297,0.0,0.0
1790036852.4476995,0.0,0.0
1790036852.5402122,0.0,0.0
1790036852.6445763,0.0,0.0
1790036852.7433302,0.0,0.0
1790036852.845068,0.0,0.0
1790036852.9449973,0.0,0.0
1790036853.0433085,0.0,0.0
1790036853.1425114,0.0,0.0
1790036853.243133,0.0,0.0
1790036853.3420873,0.0,0.0
1790036853.443725,0.0,0.0
1790036853.5434456,0.0,0.0
1790036853.643014,0.0,0.0
1790036853.7428231,0.0,0.0
1790036853.8424387,0.0,0.0
1790036853.9431002,0.0,0.0
1790036854.04152,0.0,0.0
1790036854.1418357,0.0,0.0
1790036854.2416244,0.0,0.0
1790036854.342575,0.0,0.0
1790036854.4464245,0.0,0.0
1790036854.544479,0.0,0.0
1790036854.6434555,0.0,0.0
1790036854.744338,0.0,0.0
1790036854.8425384,0.0,0.0
1790036854.946202,0.0,0.0
1790036855.043742,0.0,0.0
1790036855.1435168,0.0,0.0
1790036855.2438328,0.0,0.0
1790036855.3432796,0.0,0.0
1790036855.4436448,0.0,0.0
1790036855.5417829,0.0,0.0
1790036855.6414714,0.0,0.0
1790036855.7421677,0.0,0.0
1790036855.842772,0.0,0.0
1790036855.943011,0.0,0.0
1790036856.0426245,0.0,0.0
1790036856.1422913,0.0,0.0
1790036856.2434857,0.0,0.0
1790036856.3444543,0.0,0.0
