t,x_m,y_m
1790037317.3973503,0.0,0.0
1790037317.4060638,0.0,0.0
1790037317.5057952,0.0,0.0
1790037317.6063852,0.0,0.0
1790037317.7022357,0.0,0.0
1790037317.8014808,0.0,0.0
1790037317.901862,0.0,0.0
1790037318.0062535,0.0,0.0
1790037318.101488,0.0,0.0
1790037318.2014954,0.0,0.0
1790037318.3031096,0.0,0.0
1790037318.400815,0.0,0.0
1790037318.5020137,0.0,0.0
1790037318.6044602,0.0,0.0
1790037318.7060373,0.0,0.0
1790037318.8039172,0.0,0.0
1790037318.906211,0.0,0.0
1790037319.004894,0.0,0.0
1790037319.103924,0.0,0.0
1790037319.2049408,0.0,0.0
1790037319.3004446,0.0,0.0
1790037319.4015372,0.0,0.0
1790037319.501581,0.0,0.0
1790037319.6025636,0.0,0.0
1790037319.7030127,0.0,0.0
1790037319.8035417,0.0,0.0
1790037319.9012244,0.0,0.0
1790037320.0038855,0.0,0.0
1790037320.1058197,0.0,0.0
1790037320.203004,0.0,0.0
1790037320.30315,0.0,0.0
1790037320.4037166,0.0,0.0
1790037320.5052214,0.0,0.0
1790037320.6051917,0.0,0.0
1790037320.7019012,0.0,0.0
1790037320.801821,0.0,0.0
1790037320.902669,0.0,0.0
1790037321.0039425,0.0,0.0
1790037321.1040072,0.0,0.0
1790037321.2049232,0.0,0.0
1790037321.3006926,0.0,0.0
1790037321.400292,0.0,0.0
1790037321.4989538,0.0,0.0
1790037321.6051986,0.0,0.0
1790037321.7018597,0.0,0.0
1790037321.8022306,0.0,0.0
1790037321.901651,0.0,0.0
1790037322.0075867,0.0,0.0
1790037322.1069589,0.0,0.0
1790037322.2067044,0.0,0.0
1790037322.306631,0.0,0.0
1790037322.4021878,0.0,0.0
1790037322.5028024,0.0,0.0
1790037322.6050863,0.0,0.0
1790037322.705206,0.0,0.0
1790037322.8047116,0.0,0.0
1790037322.9054182,0.0,0.0
1790037323.002329,0.0,0.0
1790037323.106283,0.0,0.0
1790037323.205369,0.0,0.0
1790037323.30637,0.0,0.0
1790037323.401821,0.0,0.0
1790037323.5037856,0.0,0.0
1790037323.604399,0.0,0.0
1790037323.7054992,0.0,0.0
1790037323.8050606,0.0,0.0
1790037323.9055035,0.0,0.0
1790037324.0084126,0.0,0.0
1790037324.1029353,0.0,0.0
1790037324.2037244,0.0,0.0
1790037324.304737,0.0,0.0
1790037324.40514,0.0,0.0
1790037324.5052173,0.0,0.0
1790037324.6066918,0.0,0.0
1790037324.7061317,0.0,0.0
1790037324.8062828,0.0,0.0
1790037324.902434,0.0,0.0
1790037325.0041134,0.0,0.0
1790037325.1073291,0.0,0.0
1790037325.2075558,0.0,0.0
1790037325.3018205,0.0,0.0
1790037325.4022474,0.0,0.0
1790037325.502884,0.0,0.0
1790037325.6059537,0.0,0.0
1790037325.7074296,0.0,0.0
1790037325.8032458,0.0,0.0
1790037325.9068186,0.0,0.0
1790037326.002177,0.0,0.0
1790037326.1039665,0.0,0.0
1790037326.2076008,0.0,0.0
1790037326.3066566,0.0,0.0
1790037326.4083004,0.0,0.0
1790037326.5038738,0.0,0.0
1790037326.6027842,0.0,0.0
1790037326.702557,0.0,0.0
1790037326.8023715,0.0,0.0
1790037327.206822,0.0,0.0
1790037327.2153084,0.0,0.0
1790037327.310866,0.0,0.0
1790037327.408946,0.0,0.0
1790037327.509225,0.0,0.0
1790037327.6110308,0.0,0.0
1790037327.7086384,0.0,0.0
1790037327.8100145,0.0,0.0
1790037327.9102294,0.0,0.0
1790037328.0083103,0.0,0.0
1790037328.1099176,0.0,0.0
1790037328.2101274,0.0,0.0
1790037328.310174,0.0,0.0
1790037328.4105363,0.0,0.0
1790037328.5095582,0.0,0.0
1790037328.611169,0.0,0.0
1790037328.7104323,0.0,0.0
1790037328.8086357,0.0,0.0
1790037328.9081342,0.0,0.0
1790037329.009248,0.0,0.0
1790037329.1115546,0.0,0.0
1790037329.210439,0.0,0.0
1790037329.3100612,0.0,0.0
1790037329.4089882,0.0,0.0
1790037329.5108058,0.0,-0.011132000130089637
1790037329.6093698,0.0,-0.011132000130089637
1790037329.7092953,0.0,-0.011132000130089637
1790037329.8099077,0.0,-0.011132000130089637
1790037329.9098043,0.0,-0.011132000130089637
1790037330.0100844,0.0,-0.011132000130089637
1790037330.1100385,0.0,-0.011132000130089637
1790037330.2105763,0.0,-0.011132000130089637
1790037330.3107612,0.0,-0.011132000130089637
1790037330.409839,0.0,-0.011132000130089637
1790037330.5106063,0.0,-0.011132000130089637
1790037330.610178,0.0,-0.011132000130089637
1790037330.710318,0.0,-0.011132000130089637
1790037330.809101,0.0,-0.011132000130089637
1790037330.9081123,0.0,-0.022264000260179273
1790037331.0097582,0.0,-0.022264000260179273
1790037331.1089723,0.0,-0.022264000260179273
1790037331.209235,0.0,-0.022264000260179273
1790037331.3105006,0.0,-0.022264000260179273
1790037331.4103627,0.0,-0.022264000260179273
1790037331.5097134,0.0,-0.022264000260179273
1790037331.6076329,0.0,-0.022264000260179273
1790037331.7078698,0.0,-0.022264000260179273
1790037331.811209,0.0,-0.022264000260179273
1790037331.9111085,0.0,-0.022264000260179273
1790037332.011386,0.0,-0.022264000260179273
1790037332.1114693,0.0,-0.022264000260179273
1790037332.2094526,0.0,-0.022264000260179273
1790037332.3104303,0.0,-0.022264000260179273
1790037332.4100108,0.0,-0.022264000260179273
1790037332.509791,0.0,-0.022264000260179273
1790037332.6110196,0.0,-0.022264000260179273
1790037332.7119353,0.0,-0.022264000260179273
1790037332.8099918,0.0,-0.022264000260179273
1790037332.9118965,0.0,-0.022264000260179273
1790037333.0119932,0.0,-0.022264000260179273
1790037333.110077,0.0,-0.022264000260179273
1790037333.2106085,0.0,-0.022264000260179273
1790037333.3090978,0.0,-0.022264000260179273
1790037333.409134,0.0,-0.022264000260179273
