t,x_m,y_m
1790037171.3663208,0.0,0.0
1790037171.3723722,0.0,0.0
1790037171.4678607,0.0,0.0
1790037171.5702798,0.0,0.0
1790037171.6711164,0.0,0.0
1790037171.7723887,0.0,0.0
1790037171.8682916,0.0,0.0
1790037171.9704237,0.0,0.0
1790037172.070588,0.0,0.0
1790037172.1717975,0.0,0.0
1790037172.27171,0.0,0.0
1790037172.3721745,0.0,0.0
1790037172.4723756,0.0,0.0
1790037172.5683994,0.0,0.0
1790037172.670184,0.0,0.0
1790037172.767121,0.0,0.0
1790037172.869455,0.0,0.0
1790037172.9698236,0.0,0.0
1790037173.0704455,0.0,0.0
1790037173.170092,0.0,0.0
1790037173.2698944,0.0,0.0
1790037173.3700378,0.0,0.0
1790037173.4716308,0.0,0.0
1790037173.5680146,0.0,0.0
1790037173.669691,0.0,0.0
1790037173.7709527,0.0,0.0
1790037173.8711114,0.0,0.0
1790037173.971554,0.0,0.0
1790037174.0728333,0.0,0.0
1790037174.172732,-0.009078473580940934,0.0
1790037174.2679248,-0.009078473580940934,0.0
1790037174.3693402,-0.009078473580940934,0.0
1790037174.4713314,-0.009078473580940934,0.0
1790037174.5687048,-0.009078473580940934,0.0
1790037174.6687672,-0.009078473580940934,0.0
1790037174.770887,-0.009078473580940934,0.0
1790037174.8708224,-0.009078473580940934,0.0
1790037174.9708743,0.0,0.0
1790037175.072106,0.0,0.0
1790037175.1709645,0.0,0.0
1790037175.2694366,0.0,0.0
1790037175.368963,0.0,0.0
1790037175.4689772,0.0,0.0
1790037175.5694084,0.0,0.0
1790037175.669458,0.0,0.0
1790037175.7684803,0.0,0.0
1790037175.8701425,0.0,0.0
1790037175.9712343,0.0,0.0
1790037176.0712535,0.0,0.0
1790037176.1721413,0.0,0.0
1790037176.2725928,0.0,0.0
1790037176.3732395,0.0,0.0
1790037176.4682353,-0.009078473580940934,0.0
1790037176.569259,-0.009078473580940934,0.0
1790037176.6697557,-0.009078473580940934,0.0
1790037177.1606011,0.0,0.0
1790037177.1689017,-0.009078473580940934,0.0
1790037177.262283,-0.009078473580940934,0.0
1790037177.3600073,-0.009078473580940934,0.0
1790037177.4620936,-0.009078473580940934,0.0
1790037177.5625243,-0.009078473580940934,0.0
1790037177.6636934,-0.009078473580940934,0.0
1790037177.762714,-0.009078473580940934,0.0
1790037177.8641543,-0.009078473580940934,0.0
1790037177.9653108,-0.009078473580940934,0.0
1790037178.0618637,-0.009078473580940934,0.0
1790037178.1608565,-0.009078473580940934,0.0
1790037178.2636137,-0.009078473580940934,0.0
1790037178.3646345,-0.009078473580940934,0.0
1790037178.4660137,-0.009078473580940934,0.0
1790037178.5623145,-0.009078473580940934,0.0
1790037178.663504,-0.009078473580940934,0.0
1790037178.7661786,-0.009078473580940934,0.0
1790037178.861245,-0.009078473580940934,0.0
1790037178.9670649,-0.009078473580940934,0.0
1790037179.0659013,-0.009078473580940934,0.0
1790037179.1651423,-0.009078473580940934,0.0
1790037179.2600195,-0.009078473580940934,0.0
1790037179.3596437,-0.009078473580940934,0.0
1790037179.4588912,0.0,0.0
1790037179.5588973,-0.009078473580940934,0.0
1790037179.6637754,0.0,0.0
1790037179.765085,0.0,0.0
1790037179.8611689,0.0,0.0
1790037179.9641688,0.0,0.0
1790037180.0633156,0.0,0.0
1790037180.1648738,0.0,0.0
1790037180.2625153,0.0,0.0
1790037180.3631785,0.0,0.0
1790037180.461691,0.0,0.0
1790037180.5666757,0.0,0.0
1790037180.6621506,0.0,0.0
1790037180.7635758,0.0,0.0
1790037180.865202,0.0,0.0
1790037180.9613478,0.0,0.0
1790037181.0633175,0.0,0.0
1790037181.1633575,0.0,0.0
1790037181.2644377,0.0,0.0
1790037181.3663228,0.0,0.0
1790037181.465855,0.0,0.0
1790037181.5638523,0.0,0.0
1790037181.6656098,0.0,0.0
1790037181.764145,0.0,0.0
1790037181.865648,0.0,0.0
1790037181.9607117,0.0,0.0
1790037182.0627997,0.0,0.0
1790037182.163066,0.0,0.0
1790037182.2659023,0.0,0.0
1790037182.366784,0.0,0.0
1790037182.4625566,0.0,0.0
1790037182.5631137,0.0,0.0
1790037182.6666903,0.0,0.0
1790037182.7638807,0.0,0.0
1790037182.8630598,0.0,0.0
1790037182.9650934,0.0,0.0
1790037183.0642369,0.0,0.0
1790037183.164435,0.0,0.0
1790037183.2682323,0.0,0.0
1790037183.3662918,0.0,0.0
1790037183.46155,0.0,0.0
1790037183.5632975,0.0,0.0
1790037183.6611412,0.0,0.0
1790037183.7632914,0.0,0.0
1790037183.866524,0.0,0.0
1790037183.9644785,0.0,0.0
1790037184.0661397,0.0,0.0
1790037184.1656628,0.0,0.0
1790037184.2643704,0.009078473580940934,0.0
1790037184.3658934,0.009078473580940934,0.0
1790037184.4657185,0.009078473580940934,0.0
1790037184.566027,0.009078473580940934,0.0
1790037184.6672466,0.009078473580940934,0.0
1790037184.7623253,0.009078473580940934,0.0
1790037184.8665564,0.009078473580940934,0.0
1790037184.9646568,0.009078473580940934,0.0
1790037185.0626652,0.009078473580940934,0.0
1790037185.1628432,0.009078473580940934,0.0
1790037185.2667797,0.009078473580940934,0.0
1790037185.362829,0.009078473580940934,0.0
1790037185.463305,0.009078473580940934,0.0
1790037185.5644994,0.009078473580940934,0.0
1790037185.6634386,0.009078473580940934,0.0
1790037185.77175,0.009078473580940934,0.0
1790037185.8651946,0.009078473580940934,0.0
1790037185.9638443,0.009078473580940934,0.0
1790037186.0614655,0.009078473580940934,0.0
1790037186.1656482,0.009078473580940934,0.0
1790037186.2663226,0.009078473580940934,0.0
1790037186.366402,0.009078473580940934,0.0
1790037186.4636562,0.009078473580940934,0.0
1790037186.5629282,0.009078473580940934,0.0
1790037186.662903,0.009078473580940934,0.0
1790037186.764572,0.009078473580940934,0.0
1790037186.8681233,0.009078473580940934,0.0
1790037186.9625456,0.009078473580940934,0.0
1790037187.063087,0.009078473580940934,0.0
1790037187.1685927,0.009078473580940934,0.0
1790037187.266208,0.009078473580940934,0.0
1790037187.36508,0.009078473580940934,0.0
1790037187.4665432,0.009078473580940934,0.0
1790037187.5677538,0.009078473580940934,0.0
1790037187.665849,0.009078473580940934,0.0
1790037187.7668338,0.009078473580940934,0.0
1790037187.8675268,0.009078473580940934,0.0
1790037187.967528,0.009078473580940934,0.0
1790037188.068122,0.009078473580940934,0.0
1790037188.1633372,0.009078473580940934,0.0
1790037188.2678032,0.009078473580940934,0.0
1790037188.3648689,0.009078473580940934,0.0
1790037188.467636,0.009078473580940934,0.0
1790037188.5675948,0.009078473580940934,0.0
1790037188.6691115,0.009078473580940934,0.0
1790037188.7679117,0.009078473580940934,0.0
1790037188.8680544,0.009078473580940934,0.0
1790037188.966859,0.009078473580940934,0.0
1790037189.0685349,0.009078473580940934,0.0
1790037189.1675255,0.009078473580940934,0.0
1790037189.2645617,0.009078473580940934,0.0
1790037189.368744,0.009078473580940934,0.0
1790037189.4683876,0.009078473580940934,0.0
1790037189.568448,0.009078473580940934,0.0
1790037189.66742,0.009078473580940934,0.0
1790037189.7655766,0.009078473580940934,0.0
1790037189.8639672,0.009078473580940934,0.0
1790037189.9629135,0.009078473580940934,0.0
1790037190.0659585,0.009078473580940934,0.0
1790037190.1639023,0.009078473580940934,0.0
1790037190.2647204,0.009078473580940934,0.0
1790037190.3654735,0.009078473580940934,0.0
1790037190.466179,0.009078473580940934,0.0
1790037190.5672247,0.009078473580940934,0.0
1790037190.6670337,0.009078473580940934,0.0
1790037190.7676258,0.009078473580940934,0.0
1790037190.867777,0.009078473580940934,0.0
1790037190.9677267,0.009078473580940934,0.0
1790037191.06505,0.009078473580940934,0.0
1790037191.1646218,0.009078473580940934,0.0
