t,x_m,y_m
1790035875.4864836,0.0,0.0
1790035875.4915988,0.0,0.0
1790035875.5830746,0.0,0.0
1790035875.683433,0.0,0.0
1790035875.7873526,0.0,0.0
1790035875.8867488,0.0,0.0
1790035875.9837286,0.0,0.0
1790035876.084146,0.0,0.0
1790035876.1889372,0.0,0.0
1790035876.2895596,0.0,0.0
1790035876.3882947,0.0,0.0
1790035876.4888709,0.0,0.0
1790035876.5879755,0.0,0.0
1790035876.6888008,0.0,0.0
1790035876.7887344,0.0,0.0
1790035876.8887863,0.0,0.0
1790035876.9855306,0.0,0.0
1790035877.0856826,0.0,0.0
1790035877.186049,0.0,0.0
1790035877.2862942,0.0,0.0
1790035877.385413,0.0,0.0
1790035877.4851897,0.0,0.0
1790035877.5854216,0.0,0.0
1790035877.6851203,0.0,0.0
1790035877.7839744,0.0,0.0
1790035877.8836954,0.0,0.0
1790035877.9888215,0.0,0.0
1790035878.0888548,0.0,0.0
1790035878.1892557,0.0,0.0
1790035878.2898417,0.0,0.0
1790035878.389553,0.0,0.0
1790035878.4855323,0.0,0.0
1790035878.586065,0.0,0.0
1790035878.684874,0.0,0.0
1790035878.7850718,0.0,0.0
1790035878.8857045,0.0,0.0
1790035878.9851892,0.0,0.0
1790035879.0887775,0.0,0.0
1790035879.189029,0.0,0.0
1790035879.2885385,0.0,0.0
1790035879.383827,0.0,0.0
1790035879.4884784,0.0,0.0
1790035879.5878737,0.0,0.0
1790035879.686897,0.0,0.0
1790035879.785828,0.0,0.0
1790035879.886505,0.0,0.0
1790035879.987778,0.0,0.0
1790035880.0885994,0.0,0.0
1790035880.1890962,0.0,0.0
1790035880.2901013,0.0,0.0
1790035880.389048,0.0,0.0
1790035880.489179,0.0,0.0
1790035880.5882552,0.0,0.0
1790035880.689083,0.0,0.0
1790035880.7900696,0.0,0.0
1790035880.884596,0.0,0.0
1790035880.9877555,0.0,0.0
1790035881.0869417,0.0,0.0
1790035881.186877,0.0,0.0
1790035881.287605,0.0,0.0
1790035881.3891542,0.0,0.0
1790035881.4853053,0.0,0.0
1790035881.5845766,0.0,0.0
1790035881.6863177,0.0,0.0
1790035881.786837,0.0,0.0
1790035881.888199,0.0,0.0
1790035881.9880135,0.0,0.0
1790035882.0888233,0.0,0.0
1790035882.1889806,0.0,0.0
1790035882.2864702,0.0,0.0
1790035882.3855762,0.0,0.0
1790035882.48518,0.0,0.0
1790035882.585616,0.0,0.0
1790035882.6866696,0.0,0.0
1790035882.786931,0.0,0.0
1790035882.8883903,0.0,0.0
1790035882.988116,0.0,0.0
1790035883.0888717,0.0,0.0
1790035883.1902585,0.0,0.0
1790035883.2866786,0.0,0.0
1790035883.3862567,0.0,0.0
1790035883.4855258,0.0,0.0
1790035883.585513,0.0,0.0
1790035883.6853545,0.0,0.0
1790035883.7859712,0.0,0.0
1790035883.8857372,0.0,0.0
1790035883.985726,0.0,0.0
1790035884.0867589,0.0,0.0
1790035884.1870215,0.0,0.0
1790035884.28748,0.0,0.0
1790035884.3873262,0.0,0.0
1790035884.4872837,0.0,0.0
1790035884.5878615,0.0,0.0
1790035884.6870766,0.0,0.0
1790035884.7865872,0.0,0.0
1790035884.8879008,0.0,0.0
1790035884.9887958,0.0,0.0
1790035885.08746,0.0,0.0
1790035885.1908808,0.0,0.0
1790035885.2893064,0.0,0.0
1790035885.3893473,0.0,0.0
1790035885.4889638,0.0,0.0
1790035885.5884306,0.0,0.0
1790035885.689196,0.0,0.0
1790035885.787902,0.0,0.0
1790035885.889799,0.0,0.0
1790035885.9899037,0.0,0.0
1790035886.0902734,0.0,0.0
1790035886.1902215,0.0,0.0
1790035886.2876062,0.0,0.0
1790035886.3877628,0.0,0.0
1790035886.487752,0.0,0.0
1790035886.5860937,0.0,0.0
1790035886.6868944,0.0,0.0
1790035886.7862089,0.0,0.0
1790035886.8866088,0.0,0.0
1790035886.990481,0.0,0.0
1790035887.0913732,0.0,0.0
1790035887.491911,0.0,0.0
1790035887.4978795,0.0,0.0
1790035887.5913334,0.0,0.0
1790035887.6954083,0.0,0.0
1790035887.795345,0.0,0.011132000130089637
1790035887.8955164,0.0,0.011132000130089637
1790035887.994554,0.0,0.011132000130089637
1790035888.0952868,0.0,0.011132000130089637
1790035888.1953163,0.0,0.011132000130089637
1790035888.2905922,0.0,0.011132000130089637
1790035888.393134,0.0,0.011132000130089637
1790035888.4931114,0.0,0.011132000130089637
1790035888.593455,0.0,0.022264000260179273
1790035888.6932373,0.0,0.022264000260179273
1790035888.7939312,0.0,0.022264000260179273
1790035888.8959963,0.0,0.022264000260179273
1790035888.9946327,0.0,0.022264000260179273
1790035889.094475,0.0,0.011132000130089637
1790035889.1936944,0.0,0.022264000260179273
1790035889.294567,0.0,0.022264000260179273
1790035889.3961291,0.0,0.022264000260179273
1790035889.4964073,0.0,0.022264000260179273
1790035889.5964186,0.0,0.022264000260179273
1790035889.6931736,0.0,0.022264000260179273
1790035889.7941628,0.0,0.022264000260179273
1790035889.894915,0.0,0.022264000260179273
1790035889.9939811,0.0,0.022264000260179273
1790035890.0937245,0.0,0.022264000260179273
1790035890.1928072,0.0,0.022264000260179273
1790035890.2929688,0.0,0.022264000260179273
1790035890.3929174,0.0,0.022264000260179273
1790035890.4927154,0.0,0.022264000260179273
1790035890.5922022,0.0,0.022264000260179273
1790035890.692911,0.0,0.022264000260179273
1790035890.7968154,0.0,0.022264000260179273
1790035890.892417,0.0,0.022264000260179273
1790035890.996972,0.0,0.022264000260179273
1790035891.0969334,0.0,0.022264000260179273
1790035891.1966865,0.0,0.022264000260179273
1790035891.2933202,0.0,0.022264000260179273
1790035891.392577,0.0,0.022264000260179273
1790035891.4966817,0.0,0.022264000260179273
1790035891.5968394,0.0,0.022264000260179273
1790035891.691669,0.0,0.022264000260179273
1790035891.792223,0.0,0.022264000260179273
1790035891.893634,0.0,0.022264000260179273
1790035891.9936306,0.0,0.022264000260179273
1790035892.0934868,0.0,0.022264000260179273
1790035892.194553,0.0,0.022264000260179273
1790035892.2950792,0.0,0.011132000130089637
1790035892.396698,0.0,0.011132000130089637
1790035892.4936914,0.0,0.011132000130089637
1790035892.595113,0.0,0.011132000130089637
1790035892.6943164,0.0,0.011132000130089637
1790035892.7935717,0.0,0.011132000130089637
1790035892.8936262,0.0,0.011132000130089637
1790035892.9966867,0.0,0.011132000130089637
1790035893.0966806,0.0,0.011132000130089637
1790035893.1971688,0.0,0.011132000130089637
1790035893.2972164,0.0,0.011132000130089637
1790035893.392404,0.0,0.011132000130089637
1790035893.494521,0.0,0.011132000130089637
1790035893.5949628,0.0,0.011132000130089637
1790035893.6948414,0.0,0.011132000130089637
1790035893.7949183,0.0,0.011132000130089637
1790035893.8950238,0.0,0.011132000130089637
1790035893.994986,0.0,0.011132000130089637
1790035894.0941415,0.0,0.011132000130089637
1790035894.194599,0.0,0.011132000130089637
1790035894.2950404,0.0,0.011132000130089637
1790035894.395274,0.0,0.011132000130089637
1790035894.4944286,0.0,0.011132000130089637
1790035894.5941236,0.0,0.011132000130089637
1790035894.6936753,0.0,0.011132000130089637
1790035894.7935555,0.0,0.011132000130089637
1790035894.894915,0.0,0.011132000130089637
1790035894.994536,0.0,0.011132000130089637
1790035895.0944068,0.0,0.011132000130089637
1790035895.1957228,0.0,0.011132000130089637
1790035895.2946005,0.0,0.011132000130089637
1790035895.3958633,0.0,0.011132000130089637
1790035895.497755,0.0,0.011132000130089637
1790035895.596925,0.0,0.011132000130089637
1790035895.6927524,0.0,0.011132000130089637
1790035895.7927296,0.0,0.011132000130089637
1790035895.893977,0.0,0.011132000130089637
1790035895.9935105,0.0,0.011132000130089637
1790035896.094051,0.0,0.011132000130089637
1790035896.1948376,0.0,0.011132000130089637
1790035896.2952178,0.0,0.011132000130089637
1790035896.3956475,0.0,0.011132000130089637
1790035896.495154,0.0,0.011132000130089637
1790035896.594265,0.0,0.011132000130089637
1790035896.6939971,0.0,0.011132000130089637
1790035896.7940328,0.0,0.011132000130089637
1790035896.8981636,0.0,0.011132000130089637
1790035896.9982078,0.0,0.011132000130089637
