t,x_m,y_m
1790035595.1156914,0.0,0.0
1790035595.1238215,0.0,0.0
1790035595.2139764,0.0,0.0
1790035595.3131351,0.0,0.0
1790035595.4178877,0.0,0.0
1790035595.5171614,0.0,0.0
1790035595.6176608,0.0,0.0
1790035595.7156336,0.0,0.0
1790035595.8153243,0.0,0.0
1790035595.917366,0.0,0.0
1790035596.0179873,0.0,0.0
1790035596.1152055,0.0,0.0
1790035596.214728,0.0,0.0
1790035596.31472,0.0,0.0
1790035596.4139504,0.0,0.0
1790035596.518468,0.0,0.0
1790035596.617547,0.0,0.0
1790035596.7176254,0.0,0.0
1790035596.8169158,0.0,0.0
1790035596.9159298,0.0,0.0
1790035597.0156722,0.0,0.0
1790035597.1185875,0.0,0.0
1790035597.2171888,0.0,0.0
1790035597.3160205,0.0,0.0
1790035597.4152422,0.0,0.0
1790035597.5148125,0.0,0.0
1790035597.6146624,0.0,0.0
1790035597.7194767,0.0,0.0
1790035597.819569,0.0,0.0
1790035597.9181323,0.0,0.0
1790035598.0173938,0.0,0.0
1790035598.1159997,0.0,0.0
1790035598.2192569,0.0,0.0
1790035598.3165617,0.0,0.0
1790035598.4158726,0.0,0.0
1790035598.5172884,0.0,0.0
1790035598.6173,0.0,0.0
1790035598.7190423,0.0,0.0
1790035598.8192031,0.0,0.0
1790035598.9185,0.0,0.0
1790035599.016548,0.0,0.0
1790035599.1167653,0.0,0.0
1790035599.2157023,0.0,0.0
1790035599.314855,0.0,0.0
1790035599.413964,0.0,0.0
1790035599.515174,0.0,0.0
1790035599.619183,0.0,0.0
1790035599.717575,0.0,0.0
1790035599.81733,0.0,0.0
1790035599.9162498,0.0,0.0
1790035600.0163755,0.0,0.0
1790035600.1171896,0.0,0.0
1790035600.219722,0.0,0.0
1790035600.3182793,0.0,0.0
1790035600.4167016,0.0,0.0
1790035600.516143,0.0,0.0
1790035600.6152177,0.0,0.0
1790035600.714437,0.0,0.0
1790035600.8145795,0.0,0.0
1790035600.9188733,0.0,0.0
1790035601.0182617,0.0,0.0
1790035601.117507,0.0,0.0
1790035601.2190487,0.0,0.0
1790035601.3144696,0.0,0.0
1790035601.417094,0.0,0.0
1790035601.5164025,0.0,0.0
1790035601.616965,0.0,0.0
1790035601.718643,0.0,0.0
1790035601.8161728,0.0,0.0
1790035601.9160097,0.0,0.0
1790035602.0160122,0.0,0.0
1790035602.427277,0.0,0.0
1790035602.4839466,0.0,0.0
1790035602.5296066,0.0,0.0
1790035602.6286592,0.0,0.0
1790035602.7414455,0.0,0.0
1790035602.828042,0.0,0.0
1790035602.9323945,0.0,0.0
1790035603.0315318,0.0,0.0
1790035603.1268234,0.0,0.0
1790035603.2406409,0.0,0.0
1790035603.3270175,0.0,0.0
1790035603.4306445,0.0,0.0
1790035603.528573,0.0,0.0
1790035603.6316185,0.0,0.0
1790035603.7463882,0.0,0.0
1790035603.8305178,0.0,0.0
1790035603.927837,0.0,0.0
1790035604.0322952,0.0,0.0
1790035604.1288793,0.0,0.0
1790035604.238598,0.0,0.0
1790035604.3313706,0.0,0.0
1790035604.4305084,0.0,0.0
1790035604.5318851,0.0,0.0
1790035604.631472,0.0,0.0
1790035604.7378983,0.0,0.0
1790035604.8297408,0.0,0.0
1790035604.9294522,0.0,0.0
1790035605.0279863,0.0,0.0
1790035605.129459,0.0,0.0
1790035605.24454,0.0,0.0
1790035605.3278737,0.0,0.0
1790035605.4273157,0.0,0.0
1790035605.5310378,0.0,0.0
1790035605.6301196,0.0,0.0
1790035605.740415,0.0,0.0
1790035605.829654,0.0,0.0
1790035605.9289715,0.0,0.0
1790035606.029821,0.0,0.0
1790035606.1308222,0.0,0.0
1790035606.2430415,0.0,0.0
1790035606.330845,0.0,0.0
1790035606.4300284,0.0,0.0
1790035606.5292954,0.0,0.0
1790035606.6304662,0.0,0.0
1790035606.741764,0.0,0.0
