t,x_m,y_m
1790035782.513861,0.0,0.0
1790035782.520718,0.0,0.0
1790035782.6202016,0.0,0.0
1790035782.719968,0.0,0.0
1790035782.8186738,0.0,0.0
1790035782.9179733,0.0,0.0
1790035783.0167978,0.0,0.0
1790035783.121217,0.0,0.0
1790035783.2210138,0.0,0.0
1790035783.3196251,0.0,0.0
1790035783.4188757,0.0,0.0
1790035783.5185213,0.0,0.0
1790035783.620938,0.0,0.0
1790035783.721161,0.0,0.0
1790035783.8195505,0.0,0.0
1790035783.9190545,0.0,0.0
1790035784.0157273,0.0,0.0
1790035784.1205778,0.0,0.0
1790035784.2188623,0.0,0.0
1790035784.319401,0.0,0.0
1790035784.4200294,0.0,0.0
1790035784.5167212,0.0,0.0
1790035784.6203012,0.0,0.0
1790035784.720011,0.0,0.0
1790035784.820294,0.0,0.0
1790035784.9196928,0.0,0.0
1790035785.0238974,0.0,0.0
1790035785.1206276,0.0,0.0
1790035785.2205725,0.0,0.0
1790035785.3195248,0.0,0.0
1790035785.420127,0.0,0.0
1790035785.52021,0.0,0.0
1790035785.620383,0.0,0.0
1790035785.7219348,0.0,0.0
1790035785.8218892,0.0,0.0
1790035785.922186,0.0,0.0
1790035786.0219164,0.0,0.0
1790035786.117698,0.0,0.0
1790035786.2177343,0.0,0.0
1790035786.3184252,0.0,0.0
1790035786.4173446,0.0,0.0
1790035786.5183516,0.0,0.0
1790035786.6194549,0.0,0.0
1790035786.7201989,0.0,0.0
1790035786.81977,0.0,0.0
1790035786.9199078,0.0,0.0
1790035787.022431,0.0,0.0
1790035787.122234,0.0,0.0
1790035787.215546,0.0,0.0
1790035787.3202777,0.0,0.0
1790035787.41951,0.0,0.0
1790035787.521323,0.0,0.0
1790035787.6189592,0.0,0.0
1790035787.718385,0.0,0.0
1790035787.8185594,0.0,0.0
1790035787.9208095,0.0,0.0
1790035788.0186756,0.0,0.0
1790035788.1183178,0.0,0.0
1790035788.2175071,0.0,0.0
1790035788.3181207,0.0,0.0
1790035788.4193337,0.0,0.0
1790035788.520034,0.0,0.0
1790035788.6199205,0.0,0.0
1790035788.7222755,0.0,0.0
1790035788.8229425,0.0,0.0
1790035788.9173417,0.0,0.0
1790035789.0183308,0.0,0.0
1790035789.1193304,0.0,0.0
1790035789.21923,0.0,0.0
1790035789.320462,0.0,0.0
1790035789.41994,0.0,0.0
1790035789.5220394,0.0,0.0
1790035789.616022,0.0,0.0
1790035789.7196295,0.0,0.0
1790035789.819887,0.0,0.0
1790035789.9197476,0.0,0.0
1790035790.0207014,0.0,0.0
1790035790.1216075,0.0,0.0
1790035790.222014,0.0,0.0
1790035790.3229194,0.0,0.0
1790035790.41971,0.0,0.0
1790035790.5190127,0.0,0.0
1790035790.619166,0.0,0.0
1790035790.718413,0.0,0.0
1790035790.818128,0.0,0.0
1790035790.9202394,0.0,0.0
1790035791.018318,0.0,0.0
1790035791.1198573,0.0,0.0
1790035791.2214918,0.0,0.0
1790035791.3222268,0.0,0.0
1790035791.4237704,0.0,0.0
1790035791.5175648,0.0,0.0
1790035791.6193864,0.0,0.0
1790035791.7210832,0.0,0.0
1790035791.821061,0.0,0.0
1790035791.922453,0.0,0.0
1790035792.0225604,0.0,0.0
1790035792.1172457,0.0,0.0
1790035792.2185144,0.0,0.0
1790035792.3189564,0.0,0.0
1790035792.420575,0.0,0.0
1790035792.5205626,0.0,0.0
1790035792.621446,0.0,0.0
1790035792.7216969,0.0,0.0
1790035792.821617,0.0,0.0
1790035792.9228678,0.0,0.0
1790035793.0199025,0.0,0.0
1790035793.122582,0.0,0.0
1790035793.223149,0.0,0.0
1790035793.3194811,0.0,0.0
1790035793.4226108,0.0,0.0
1790035793.5219955,0.0,0.0
1790035793.6215098,0.0,0.0
1790035793.7224422,0.0,0.0
1790035793.822107,0.0,0.0
1790035793.9189265,0.0,0.0
1790035794.019688,0.0,0.0
1790035794.1180663,0.0,0.0
1790035794.2181232,0.0,0.0
1790035794.3192618,0.0,0.0
1790035794.420373,0.0,0.0
1790035794.519037,0.0,0.0
1790035794.6200936,0.0,0.0
1790035794.7220807,0.0,0.0
1790035794.823918,0.0,0.0
1790035794.9234962,0.0,0.0
1790035795.019636,0.0,0.0
1790035795.1198106,0.0,0.0
1790035795.2223892,0.0,0.0
1790035795.31961,0.0,0.0
1790035795.4216747,0.0,0.0
1790035795.523384,0.0,0.0
1790035795.6206162,0.0,0.0
1790035795.7210577,0.0,0.0
1790035795.819672,0.0,0.0
1790035795.9201033,0.0,0.0
1790035796.021096,0.0,0.0
