t,true_x_m,true_y_m,spoofed_x_m,spoofed_y_m,is_spoofed
1790036552.5529404,0.0,0.0,0.0,0.0,0
1790036552.5622127,0.0,0.0,0.0,0.0,0
1790036552.6602714,0.0,0.0,0.0,0.0,0
1790036552.7574596,0.0,0.0,0.0,0.0,0
1790036552.8585875,0.0,0.0,0.0,0.0,0
1790036552.9588003,0.0,0.0,0.0,0.0,0
1790036553.0594673,0.0,0.0,0.0,0.0,0
1790036553.161846,0.0,0.0,0.0,0.0,0
1790036553.2591882,0.0,0.0,0.0,0.0,0
1790036553.3591497,0.0,0.0,0.0,0.0,0
1790036553.4588504,0.0,0.0,0.0,0.0,0
1790036553.5600004,0.0,0.0,0.0,0.0,0
1790036553.6584682,0.0,0.0,0.0,0.0,0
1790036553.758937,0.0,0.0,0.0,0.0,0
1790036553.8578572,0.0,0.0,0.0,0.0,0
1790036553.9594457,0.0,0.0,0.0,0.0,0
1790036554.0598395,0.0,0.0,0.0,0.0,0
1790036554.1597536,0.0,0.0,0.0,0.0,0
1790036554.2603734,0.0,0.0,0.0,0.0,0
1790036554.3605402,0.0,0.0,0.0,0.0,0
1790036554.4611137,0.0,0.0,0.0,0.0,0
1790036554.5616744,0.0,0.0,0.0,0.0,0
1790036554.655666,0.0,0.0,0.0,0.0,0
1790036554.7580614,0.0,0.0,0.0,0.0,0
1790036554.858432,0.0,0.0,0.0,0.0,0
1790036554.9596107,0.0,0.0,0.0,0.0,0
1790036555.060837,0.0,0.0,0.0,0.0,0
1790036555.1565964,0.0,0.0,0.0,0.0,0
1790036555.257143,0.0,0.0,0.0,0.0,0
1790036555.3629203,0.0,0.0,0.0,0.0,0
1790036555.462548,0.0,0.0,0.0,0.0,0
1790036555.5586057,0.0,0.0,0.0,0.0,0
1790036555.6584888,0.0,0.0,0.0,0.0,0
1790036555.760573,0.0,0.0,0.0,0.0,0
1790036555.8589082,0.0,0.0,0.0,0.0,0
1790036555.9620633,0.0,0.0,0.0,0.0,0
1790036556.0622096,0.0,0.0,0.0,0.0,0
1790036556.161127,0.0,0.0,0.0,0.0,0
1790036556.2612796,0.0,0.0,0.0,0.0,0
1790036556.360158,0.0,0.0,0.0,0.0,0
1790036556.4581964,0.0,0.0,0.0,0.0,0
