t,true_x_m,true_y_m,spoofed_x_m,spoofed_y_m,is_spoofed
1790036849.3382185,0.0,0.0,0.0,0.0,0
1790036849.3497195,0.0,0.0,0.0,0.0,0
1790036849.4464407,0.0,0.0,0.0,0.0,0
1790036849.5394862,0.0,0.0,0.0,0.0,0
1790036849.6417272,0.0,0.0,0.0,0.0,0
1790036849.7428396,0.0,0.0,0.0,0.0,0
1790036849.8415303,0.0,0.0,0.0,0.0,0
1790036849.9423764,0.0,0.0,0.0,0.0,0
1790036850.0443485,0.0,0.0,0.0,0.0,0
1790036850.145323,0.0,0.0,0.0,0.0,0
1790036850.2416124,0.0,0.0,0.0,0.0,0
1790036850.3416293,0.0,0.0,0.0,0.0,0
1790036850.44522,0.0,0.0,0.0,0.0,0
1790036850.5437033,0.0,0.0,0.0,0.0,0
1790036850.6438234,0.0,0.0,0.0,0.0,0
1790036850.7402873,0.0,0.0,0.0,0.0,0
1790036850.841259,0.0,0.0,0.0,0.0,0
1790036850.940917,0.0,0.0,0.0,0.0,0
1790036851.0429149,0.0,0.0,0.0,0.0,0
1790036851.1441383,0.0,0.0,0.0,0.0,0
1790036851.2434795,0.0,0.0,0.0,0.0,0
1790036851.3413763,0.0,0.0,0.0,0.0,0
1790036851.4401162,0.0,0.0,0.0,0.0,0
1790036851.5425837,0.0,0.0,0.0,0.0,0
1790036851.6424203,0.0,0.0,0.0,0.0,0
1790036851.742898,0.0,0.0,0.0,0.0,0
1790036851.8438275,0.0,0.0,0.0,0.0,0
1790036851.9459865,0.0,0.0,0.0,0.0,0
1790036852.0409384,0.0,0.0,0.0,0.0,0
1790036852.1404624,0.0,0.0,0.0,0.0,0
1790036852.241737,0.0,0.0,0.0,0.0,0
1790036852.3421297,0.0,0.0,0.0,0.0,0
1790036852.4476995,0.0,0.0,0.0,0.0,0
1790036852.5402122,0.0,0.0,0.0,0.0,0
1790036852.6445763,0.0,0.0,0.0,0.0,0
1790036852.7433302,0.0,0.0,0.0,0.0,0
1790036852.845068,0.0,0.0,0.0,0.0,0
1790036852.9449973,0.0,0.0,0.0,0.0,0
1790036853.0433085,0.0,0.0,0.0,0.0,0
1790036853.1425114,0.0,0.0,0.0,0.0,0
1790036853.243133,0.0,0.0,0.0,0.0,0
1790036853.3420873,0.0,0.0,0.0,0.0,0
1790036853.443725,0.0,0.0,0.0,0.0,0
1790036853.5434456,0.0,0.0,0.0,0.0,0
1790036853.643014,0.0,0.0,0.0,0.0,0
1790036853.7428231,0.0,0.0,0.0,0.0,0
1790036853.8424387,0.0,0.0,0.0,0.0,0
1790036853.9431002,0.0,0.0,0.0,0.0,0
1790036854.04152,0.0,0.0,0.0,0.0,0
1790036854.1418357,0.0,0.0,0.0,0.0,0
1790036854.2416244,0.0,0.0,0.0,0.0,0
1790036854.342575,0.0,0.0,0.0,0.0,0
1790036854.4464245,0.0,0.0,0.0,0.0,0
1790036854.544479,0.0,0.0,0.0,0.0,0
1790036854.6434555,0.0,0.0,0.0,0.0,0
1790036854.744338,0.0,0.0,0.0,0.0,0
1790036854.8425384,0.0,0.0,0.0,0.0,0
1790036854.946202,0.0,0.0,0.0,0.0,0
1790036855.043742,0.0,0.0,0.0,0.0,0
1790036855.1435168,0.0,0.0,0.0,0.0,0
1790036855.2438328,0.0,0.0,0.0,0.0,0
1790036855.3432796,0.0,0.0,0.0,0.0,0
1790036855.4436448,0.0,0.0,0.0,0.0,0
1790036855.5417829,0.0,0.0,0.0,0.0,0
1790036855.6414714,0.0,0.0,0.0,0.0,0
1790036855.7421677,0.0,0.0,0.0,0.0,0
1790036855.842772,0.0,0.0,0.0,0.0,0
1790036855.943011,0.0,0.0,0.0,0.0,0
1790036856.0426245,0.0,0.0,0.0,0.0,0
1790036856.1422913,0.0,0.0,0.0,0.0,0
1790036856.2434857,0.0,0.0,0.0,0.0,0
1790036856.3444543,0.0,0.0,0.0,0.0,0
1790036856.448329,0.0,0.0,0.0,0.0,0
1790036856.5454483,0.0,0.0,0.0,0.0,0
1790036856.6405904,0.0,0.0,0.0,0.0,0
1790036856.744227,0.0,0.0,0.0,0.0,0
1790036856.8436103,0.0,0.0,0.0,0.0,0
1790036856.9484034,0.0,0.0,0.0,0.0,0
1790036857.045055,0.0,0.0,0.0,0.0,0
1790036857.142886,0.0,0.0,0.0,0.0,0
1790036857.244158,0.0,0.0,0.0,0.0,0
1790036857.342807,0.0,0.0,0.0,0.0,0
1790036857.4472497,0.0,0.0,0.0,0.0,0
1790036857.543657,0.0,0.0,0.0,0.0,0
1790036857.6437545,0.0,0.0,0.0,0.0,0
1790036857.7437255,0.0,0.0,0.0,0.0,0
1790036857.841926,0.0,0.0,0.0,0.0,0
1790036857.9428072,0.0,0.0,0.0,0.0,0
1790036858.0433302,0.0,0.0,0.0,0.0,0
1790036858.1421402,0.0,0.0,0.0,0.0,0
1790036858.245464,0.0,0.0,0.0,0.0,0
1790036858.346473,0.0,0.0,0.0,0.0,0
1790036858.447121,0.0,0.0,0.0,0.0,0
1790036858.546089,0.0,0.0,0.0,0.0,0
1790036858.6429608,0.0,0.0,0.0,0.0,0
1790036858.74412,0.0,0.0,0.0,0.0,0
1790036858.8469045,0.0,0.0,0.0,0.0,0
1790036858.9522133,0.0,0.0,0.0,0.0,0
1790036859.04249,0.0,0.0,0.0,0.0,0
1790036859.14297,0.0,0.0,0.0,0.0,0
1790036859.2441268,0.0,0.0,0.0,0.0,0
1790036859.3447442,0.0,0.0,0.0,0.0,0
1790036859.4435656,0.0,0.0,0.0,0.0,0
1790036859.543292,0.0,0.0,0.0,0.0,0
1790036859.6433969,0.0,0.0,0.0,0.0,0
1790036859.7447028,0.0,0.0,0.0,0.0,0
1790036859.8441253,0.0,0.0,0.0,0.0,0
1790036859.944462,0.0,0.0,0.0,0.0,0
1790036860.0440958,0.0,0.0,0.0,0.0,0
1790036860.141263,0.0,0.0,0.0,0.0,0
1790036860.2438295,0.0,0.0,0.0,0.0,0
1790036860.3449512,0.0,0.0,0.0,0.0,0
1790036860.447056,0.0,0.0,0.0,0.0,0
1790036860.5457332,0.0,0.0,0.0,0.0,0
1790036860.6469333,0.0,0.0,0.0,0.0,0
1790036860.745779,0.0,0.0,0.0,0.0,0
1790036860.8406918,0.0,0.0,0.0,0.0,0
1790036860.9466612,0.0,0.0,0.0,0.0,0
1790036861.0461483,0.0,0.0,0.0,0.0,0
1790036861.147482,0.0,0.0,0.0,0.0,0
1790036861.2474177,0.0,0.0,0.0,0.0,0
1790036861.3470163,0.0,0.0,0.0,0.0,0
1790036861.444487,0.0,0.0,0.0,0.0,0
1790036861.546347,0.0,0.0,0.0,0.0,0
1790036861.6721387,0.0,0.0,0.0,0.0,0
1790036862.097255,0.0,0.0,0.0,0.0,0
1790036862.1069045,0.0,0.0,0.0,0.0,0
1790036862.1999178,0.0,0.0,0.0,0.0,0
1790036862.3008518,0.0,0.0,0.0,0.0,0
1790036862.3967505,0.0,0.0,0.0,0.0,0
1790036862.4971523,0.0,0.0,0.0,0.0,0
1790036862.5980904,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036862.7001352,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036862.799418,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036862.898971,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036863.000011,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036863.1012228,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036863.2022345,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036863.2982066,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036863.400731,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036863.5006876,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036863.6000197,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036863.7016523,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036863.80075,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036863.9004884,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036863.9997268,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036864.1005275,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036864.20091,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036864.3033595,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036864.398166,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036864.5009575,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036864.6013608,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036864.7018974,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036864.8021016,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036864.9022536,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036865.0026972,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036865.1019874,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036865.2034302,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036865.3024204,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036865.3996391,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036865.5000107,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036865.5994406,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036865.701239,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036865.799639,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036865.9007118,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036866.0020409,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036866.0998523,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
1790036866.1984346,-0.0090784737945743,0.0,-0.0090784737945743,0.0,0
