t,true_x_m,true_y_m,spoofed_x_m,spoofed_y_m,is_spoofed
1790037462.4219477,0.0,0.0,0.0,0.0,0
1790037462.427342,0.0,0.0,0.0,0.0,0
1790037462.521452,0.0,0.0,0.0,0.0,0
1790037462.620162,0.0,0.0,0.0,0.0,0
1790037462.7221508,0.0,0.0,0.0,0.0,0
1790037462.8223712,0.0,0.0,0.0,0.0,0
1790037462.9216523,0.0,0.0,0.0,0.0,0
1790037463.0247295,0.0,0.0,0.0,0.0,0
1790037463.1235802,0.0,0.0,0.0,0.0,0
1790037463.22389,0.0,0.0,0.0,0.0,0
1790037463.321152,0.0,0.0,0.0,0.0,0
1790037463.4204562,0.0,0.0,0.0,0.0,0
1790037463.5249743,0.0,0.0,0.0,0.0,0
1790037463.6247606,0.0,0.0,0.0,0.0,0
1790037463.7253675,0.0,0.0,0.0,0.0,0
1790037463.8252156,0.0,0.0,0.0,0.0,0
1790037463.924162,0.0,0.0,0.0,0.0,0
1790037464.024325,0.0,0.0,0.0,0.0,0
1790037464.1245484,0.0,0.0,0.0,0.0,0
1790037464.2244165,0.0,0.0,0.0,0.0,0
1790037464.3243637,0.0,0.0,0.0,0.0,0
1790037464.4230833,0.0,0.0,0.0,0.0,0
1790037464.5220473,0.0,0.0,0.0,0.0,0
1790037464.6224525,0.0,0.0,0.0,0.0,0
1790037464.721653,0.0,0.0,0.0,0.0,0
1790037464.8221316,0.0,0.0,0.0,0.0,0
1790037464.9255686,0.0,0.0,0.0,0.0,0
1790037465.0250869,0.0,0.0,0.0,0.0,0
1790037465.1207864,0.0,0.0,0.0,0.0,0
1790037465.2218657,0.0,0.0,0.0,0.0,0
1790037465.3213346,0.0,0.0,0.0,0.0,0
1790037465.4256885,0.0,0.0,0.0,0.0,0
1790037465.5215714,0.0,0.0,0.0,0.0,0
1790037465.621936,0.0,0.0,0.0,0.0,0
1790037465.725995,0.0,0.0,0.0,0.0,0
1790037465.821537,0.0,0.0,0.0,0.0,0
1790037465.9221814,0.0,0.0,0.0,0.0,0
1790037466.0229058,0.0,0.0,0.0,0.0,0
1790037466.1233592,0.0,0.0,0.0,0.0,0
1790037466.224846,0.0,0.0,0.0,0.0,0
1790037466.3251424,0.0,0.0,0.0,0.0,0
1790037466.4246628,0.0,0.0,0.0,0.0,0
1790037466.52377,0.0,0.0,0.0,0.0,0
1790037466.622963,0.0,0.0,0.0,0.0,0
1790037466.724634,0.0,0.0,0.0,0.0,0
1790037466.8245423,0.0,0.0,0.0,0.0,0
1790037466.9247153,0.0,0.0,0.0,0.0,0
1790037467.0247433,0.0,0.0,0.0,0.0,0
1790037467.123531,0.0,0.0,0.0,0.0,0
1790037467.2221675,0.0,0.0,0.0,0.0,0
1790037467.3225448,0.0,0.0,0.0,0.0,0
1790037467.4264653,0.0,0.0,0.0,0.0,0
1790037467.525358,0.0,0.0,0.0,0.0,0
1790037467.6265326,0.0,0.0,0.0,0.0,0
1790037467.7221088,0.0,0.0,0.0,0.0,0
1790037467.8243246,0.0,0.0,0.0,0.0,0
1790037467.9258044,0.0,0.0,0.0,0.0,0
1790037468.0250986,0.0,0.0,0.0,0.0,0
1790037468.1242948,0.0,0.0,0.0,0.0,0
1790037468.2259054,0.0,0.0,0.0,0.0,0
1790037468.326305,0.0,0.0,0.0,0.0,0
1790037468.426,0.0,0.0,0.0,0.0,0
1790037468.5252843,0.0,0.0,0.0,0.0,0
1790037468.6245518,0.0,0.0,0.0,0.0,0
1790037468.7216446,0.0,0.0,0.0,0.0,0
1790037468.8224723,0.0,0.0,0.0,0.0,0
1790037468.9236636,0.0,0.0,0.0,0.0,0
1790037469.0222547,0.0,0.0,0.0,0.0,0
1790037469.1230235,0.0,0.0,0.0,0.0,0
1790037469.2257538,0.0,0.0,0.0,0.0,0
1790037469.325035,0.0,0.0,0.0,0.0,0
1790037469.4250352,0.0,0.0,0.0,0.0,0
1790037469.528072,0.0,0.0,0.0,0.0,0
1790037469.6221042,0.0,0.0,0.0,0.0,0
1790037469.7227037,0.0,0.0,0.0,0.0,0
1790037469.824172,0.0,0.0,0.0,0.0,0
1790037469.9227378,0.0,0.0,0.0,0.0,0
1790037470.0226595,0.0,0.0,0.0,0.0,0
1790037470.123848,0.0,0.0,0.0,0.0,0
1790037470.226506,0.0,0.0,0.0,0.0,0
1790037470.321554,0.0,0.0,0.0,0.0,0
1790037470.4224637,0.0,0.0,0.0,0.0,0
1790037470.5220797,0.0,0.0,0.0,0.0,0
1790037470.6226544,0.0,0.0,0.0,0.0,0
1790037470.7234604,0.0,0.0,0.0,0.0,0
1790037470.824301,0.0,0.0,0.0,0.0,0
1790037470.9244776,0.0,0.0,0.0,0.0,0
1790037471.024057,0.0,0.0,0.0,0.0,0
1790037471.126573,0.0,0.0,0.0,0.0,0
1790037471.2265673,0.0,0.0,0.0,0.0,0
1790037471.3265746,0.0,0.0,0.0,0.0,0
1790037471.4264977,0.0,0.0,0.0,0.0,0
1790037471.5218074,0.0,0.0,0.0,0.0,0
1790037471.6271102,0.0,0.0,0.0,0.0,0
1790037471.726055,0.0,0.0,0.0,0.0,0
1790037471.8259802,0.0,0.0,0.0,0.0,0
1790037471.9262328,0.0,0.0,0.0,0.0,0
1790037472.0235844,0.0,0.0,0.0,0.0,0
1790037472.1271265,0.0,0.0,0.0,0.0,0
1790037472.2235048,0.0,0.0,0.0,0.0,0
1790037472.3232577,0.0,0.0,0.0,0.0,0
1790037472.4273217,0.0,0.0,0.0,0.0,0
1790037472.5220456,0.0,0.0,0.0,0.0,0
1790037472.6233168,0.0,0.0,0.0,0.0,0
1790037472.723503,0.0,0.0,0.0,0.0,0
1790037472.8246253,0.0,0.0,0.0,0.0,0
1790037472.9233186,0.0,0.0,0.0,0.0,0
1790037473.024911,0.0,0.0,0.0,0.0,0
1790037473.12493,0.0,0.0,0.0,0.0,0
1790037473.2259438,0.0,0.0,0.0,0.0,0
1790037473.3261635,0.0,0.0,0.0,0.0,0
1790037473.4247282,0.0,0.0,0.0,0.0,0
1790037473.5260954,0.0,0.0,0.0,0.0,0
1790037473.62684,0.0,0.0,0.0,0.0,0
1790037473.7267632,0.0,0.0,0.0,0.0,0
1790037473.8265193,0.0,0.0,0.0,0.0,0
1790037473.926967,0.0,0.0,0.0,0.0,0
1790037474.0266066,0.0,0.0,0.0,0.0,0
1790037474.1268995,0.0,0.0,0.0,0.0,0
1790037474.2265508,0.0,0.0,0.0,0.0,0
1790037474.3265247,0.0,0.0,0.0,0.0,0
1790037474.4266253,0.0,0.0,0.0,0.0,0
1790037474.5277233,0.0,0.0,0.0,0.0,0
1790037474.6227918,0.0,0.0,0.0,0.0,0
1790037474.7226586,0.0,0.0,0.0,0.0,0
1790037474.827705,0.0,0.0,0.0,0.0,0
1790037474.925543,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037475.0268712,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037475.127555,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037475.2237012,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037475.3231404,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037475.4228995,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037475.5243144,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037475.6256666,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037475.7279325,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037475.8277712,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037475.9268792,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037476.0270665,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037476.12714,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037476.224316,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037476.325317,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037476.4238706,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037476.5277555,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037476.6229343,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037476.7241096,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037476.8240466,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037477.2446291,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037477.3172903,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037477.3465729,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037477.4452872,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037477.5610616,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037477.646783,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037477.7465384,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037477.8474658,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037477.9460182,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037478.0595868,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037478.1474164,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037478.2482116,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037478.348106,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037478.4486833,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037478.5571077,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037478.648609,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037478.7485344,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037478.8483746,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037478.948543,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037479.059148,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037479.1480415,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037479.2478845,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037479.3478978,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037479.44849,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037479.5648642,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037479.646032,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037479.7452457,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037479.8446555,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037479.9493089,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037480.0565736,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037480.1490843,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037480.24862,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037480.3478034,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037480.4470034,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037480.5614247,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037480.643889,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037480.7475567,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037480.848768,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037480.948707,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037481.061145,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037481.1476066,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037481.247403,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037481.3474112,0.0,0.0111320001300896,0.0,0.0111320001300896,0
1790037481.4432957,0.0,0.0111320001300896,0.0,0.0111320001300896,0
