t,true_x_m,true_y_m,spoofed_x_m,spoofed_y_m,is_spoofed
1790035230.0771458,0.0,0.0,0.0,0.0,0
1790035230.0830128,0.0,0.0,0.0,0.0,0
1790035230.1320338,0.0,0.0,0.0,0.0,0
1790035230.2320423,0.0,0.0,0.0,0.0,0
1790035230.3307414,0.0,0.0,0.0,0.0,0
1790035230.431264,0.0,0.0,0.0,0.0,0
1790035230.5319731,0.0,0.0,0.0,0.0,0
1790035230.627368,0.0,0.0,0.0,0.0,0
1790035230.7315547,0.0,0.0,0.0,0.0,0
1790035230.82892,0.0,0.0,0.0,0.0,0
1790035230.9277806,0.0,0.0,0.0,0.0,0
1790035231.02857,0.0,0.0,0.0,0.0,0
1790035231.1265695,0.0,0.0,0.0,0.0,0
1790035231.2263424,0.0,0.0,0.0,0.0,0
1790035231.3270924,0.0,0.0,0.0,0.0,0
1790035231.4276204,0.0,0.0,0.0,0.0,0
1790035231.5256245,0.0,0.0,0.0,0.0,0
1790035231.6274962,0.0,0.0,0.0,0.0,0
1790035231.7269378,0.0,0.0,0.0,0.0,0
1790035231.830515,0.0,0.0,0.0,0.0,0
1790035231.9316213,0.0,0.0,0.0,0.0,0
1790035232.026219,0.0,0.0,0.0,0.0,0
1790035232.131008,0.0,0.0,0.0,0.0,0
1790035232.2306895,0.0,0.0,0.0,0.0,0
1790035232.3308983,0.0,0.0,0.0,0.0,0
1790035232.4293172,0.0,0.0,0.0,0.0,0
1790035232.529988,0.0,0.0,0.0,0.0,0
1790035232.630232,0.0,0.0,0.0,0.0,0
1790035232.73165,0.0,0.0,0.0,0.0,0
1790035232.830479,0.0,0.0,0.0,0.0,0
1790035232.9310882,0.0,0.0,0.0,0.0,0
1790035233.026311,0.0,0.0,0.0,0.0,0
1790035233.130699,0.0,0.0,0.0,0.0,0
1790035233.2300105,0.0,0.0,0.0,0.0,0
1790035233.330592,0.0,0.0,0.0,0.0,0
1790035233.428513,0.0,0.0,0.0,0.0,0
1790035233.5315418,0.0,0.0,0.0,0.0,0
1790035233.6294365,0.0,0.0,0.0,0.0,0
1790035233.730723,0.0,0.0,0.0,0.0,0
1790035233.828607,0.0,0.0,0.0,0.0,0
1790035233.9311786,0.0,0.0,0.0,0.0,0
1790035234.0331893,0.0,0.0,0.0,0.0,0
1790035234.130259,0.0,0.0,0.0,0.0,0
1790035234.230439,0.0,0.0,0.0,0.0,0
1790035234.330252,0.0,0.0,0.0,0.0,0
1790035234.4319026,0.0,0.0,0.0,0.0,0
1790035234.5281177,0.0,0.0,0.0,0.0,0
1790035234.6311834,0.0,0.0,0.0,0.0,0
1790035234.7315629,0.0,0.0,0.0,0.0,0
1790035234.8333066,0.0,0.0,0.0,0.0,0
1790035234.9273207,0.0,0.0,0.0,0.0,0
1790035235.027238,0.0,0.0,0.0,0.0,0
1790035235.1250489,0.0,0.0,0.0,0.0,0
1790035235.2292535,0.0,0.0,0.0,0.0,0
1790035235.32733,0.0,0.0,0.0,0.0,0
1790035235.4289196,0.0,0.0,0.0,0.0,0
1790035235.5272057,0.0,0.0,0.0,0.0,0
1790035235.6284208,0.0,0.0,0.0,0.0,0
1790035235.7268353,0.0,0.0,0.0,0.0,0
1790035235.829158,0.0,0.0,0.0,0.0,0
1790035235.9293258,0.0,0.0,0.0,0.0,0
1790035236.0317557,0.0,0.0,0.0,0.0,0
1790035236.1336362,0.0,0.0,0.0,0.0,0
1790035236.2344792,0.0,0.0,0.0,0.0,0
1790035236.3337357,0.0,0.0,0.0,0.0,0
1790035236.4347043,0.0,0.0,0.0,0.0,0
1790035236.532661,0.0,0.0,0.0,0.0,0
1790035236.63318,0.0,0.0,0.0,0.0,0
1790035236.73325,0.0,0.0,0.0,0.0,0
1790035236.828467,0.0,0.0,0.0,0.0,0
1790035236.9330869,0.0,0.0,0.0,0.0,0
1790035237.0310311,0.0,0.0,0.0,0.0,0
1790035237.1307075,0.0,0.0,0.0,0.0,0
1790035237.2303116,0.0,0.0,0.0,0.0,0
1790035237.3280787,0.0,0.0,0.0,0.0,0
1790035237.4307282,0.0,0.0,0.0,0.0,0
1790035237.5280938,0.0,0.0,0.0,0.0,0
1790035237.628493,0.0,0.0,0.0,0.0,0
1790035237.7247777,0.0,0.0,0.0,0.0,0
1790035237.8245792,0.0,0.0,0.0,0.0,0
1790035237.929237,0.0,0.0,0.0,0.0,0
1790035238.0285988,0.0,0.0,0.0,0.0,0
1790035238.1310358,0.0,0.0,0.0,0.0,0
1790035238.2307386,0.0,0.0,0.0,0.0,0
1790035238.3331945,0.0,0.0,0.0,0.0,0
1790035238.4278922,0.0,0.0,0.0,0.0,0
1790035238.5281236,0.0,0.0,0.0,0.0,0
1790035238.630899,0.0,0.0,0.0,0.0,0
1790035238.7312248,0.0,0.0,0.0,0.0,0
1790035238.828068,0.0,0.0,0.0,0.0,0
1790035238.9282775,0.0,0.0,0.0,0.0,0
