t,true_x_m,true_y_m,spoofed_x_m,spoofed_y_m,is_spoofed
1790035432.094156,0.0,0.0,0.0,0.0,0
1790035432.097575,0.0,0.0,0.0,0.0,0
1790035432.1967552,0.0,0.0,0.0,0.0,0
1790035432.2959094,0.0,0.0,0.0,0.0,0
1790035432.395036,0.0,0.0,0.0,0.0,0
1790035432.4997177,0.0,0.0,0.0,0.0,0
1790035432.599198,0.0,0.0,0.0,0.0,0
1790035432.6981575,0.0,0.0,0.0,0.0,0
1790035432.7975323,0.0,0.0,0.0,0.0,0
1790035432.8974228,0.0,0.0,0.0,0.0,0
1790035432.9957087,0.0,0.0,0.0,0.0,0
1790035433.0974338,0.0,0.0,0.0,0.0,0
1790035433.1963477,0.0,0.0,0.0,0.0,0
1790035433.295617,0.0,0.0,0.0,0.0,0
1790035433.40024,0.0,0.0,0.0,0.0,0
1790035433.4995625,0.0,0.0,0.0,0.0,0
1790035433.598822,0.0,0.0,0.0,0.0,0
1790035433.6979833,0.0,0.0,0.0,0.0,0
1790035433.7988985,0.0,0.0,0.0,0.0,0
1790035433.898349,0.0,0.0,0.0,0.0,0
1790035433.996941,0.0,0.0,0.0,0.0,0
1790035434.0962863,0.0,0.0,0.0,0.0,0
1790035434.195239,0.0,0.0,0.0,0.0,0
1790035434.3000722,0.0,0.0,0.0,0.0,0
1790035434.3992906,0.0,0.0,0.0,0.0,0
1790035434.498427,0.0,0.0,0.0,0.0,0
1790035434.597648,0.0,0.0,0.0,0.0,0
1790035434.6968205,0.0,0.0,0.0,0.0,0
1790035434.796811,0.0,0.0,0.0,0.0,0
1790035434.8968103,0.0,0.0,0.0,0.0,0
1790035434.995073,0.0,0.0,0.0,0.0,0
1790035435.0999095,0.0,0.0,0.0,0.0,0
1790035435.198967,0.0,0.0,0.0,0.0,0
1790035435.2982757,0.0,0.0,0.0,0.0,0
1790035435.3974457,0.0,0.0,0.0,0.0,0
1790035435.496662,0.0,0.0,0.0,0.0,0
1790035435.5958047,0.0,0.0,0.0,0.0,0
1790035435.7004757,0.0,0.0,0.0,0.0,0
1790035435.7996793,0.0,0.0,0.0,0.0,0
1790035435.8988178,0.0,0.0,0.0,0.0,0
1790035435.9980938,0.0,0.0,0.0,0.0,0
1790035436.1002696,0.0,0.0,0.0,0.0,0
1790035436.19881,0.0,0.0,0.0,0.0,0
1790035436.2989078,0.0,0.0,0.0,0.0,0
1790035436.3982189,0.0,0.0,0.0,0.0,0
1790035436.4972358,0.0,0.0,0.0,0.0,0
1790035436.5979114,0.0,0.0,0.0,0.0,0
1790035436.6979997,0.0,0.0,0.0,0.0,0
1790035436.7971675,0.0,0.0,0.0,0.0,0
1790035436.8967648,0.0,0.0,0.0,0.0,0
1790035437.4121263,0.0,0.0,0.0,0.0,0
1790035437.4710712,0.0,0.0,0.0,0.0,0
1790035437.5142612,0.0,0.0,0.0,0.0,0
1790035437.6139705,0.0,0.0,0.0,0.0,0
1790035437.719277,0.0,0.0,0.0,0.0,0
1790035437.8173652,0.0,0.0,0.0,0.0,0
1790035437.9169855,0.0,0.0,0.0,0.0,0
1790035438.0156622,0.0,0.0,0.0,0.0,0
1790035438.1203945,0.0,0.0,0.0,0.0,0
1790035438.2216885,0.0,0.0,0.0,0.0,0
1790035438.318961,0.0,0.0,0.0,0.0,0
1790035438.4180987,0.0,0.0,0.0,0.0,0
1790035438.519134,0.0,0.0,0.0,0.0,0
1790035438.6165018,0.0,0.0,0.0,0.0,0
1790035438.723418,0.0,0.0,0.0,0.0,0
1790035438.8202856,0.0,0.0,0.0,0.0,0
1790035438.9194388,0.0,0.0,0.0,0.0,0
1790035439.018672,0.0,0.0,0.0,0.0,0
1790035439.1183703,0.0,0.0,0.0,0.0,0
1790035439.217516,0.0,0.0,0.0,0.0,0
