t,true_x_m,true_y_m,spoofed_x_m,spoofed_y_m,is_spoofed
1790035690.4525857,0.0,0.0,0.0,0.0,0
1790035690.4608033,0.0,0.0,0.0,0.0,0
1790035690.5557382,0.0,0.0,0.0,0.0,0
1790035690.6534889,0.0,0.0,0.0,0.0,0
1790035690.7570217,0.0,0.0,0.0,0.0,0
1790035690.8547993,0.0,0.0,0.0,0.0,0
1790035690.9567127,0.0,0.0,0.0,0.0,0
1790035691.056692,0.0,0.0,0.0,0.0,0
1790035691.1569102,0.0,0.0,0.0,0.0,0
1790035691.2569036,0.0,0.0,0.0,0.0,0
1790035691.356687,0.0,0.0,0.0,0.0,0
1790035691.451934,0.0,0.0,0.0,0.0,0
1790035691.5562098,0.0,0.0,0.0,0.0,0
1790035691.6555402,0.0,0.0,0.0,0.0,0
1790035691.7541883,0.0,0.0,0.0,0.0,0
1790035691.8540423,0.0,0.0,0.0,0.0,0
1790035691.9531832,0.0,0.0,0.0,0.0,0
1790035692.0534797,0.0,0.0,0.0,0.0,0
1790035692.4563012,0.0,0.0,0.0,0.0,0
1790035692.4659576,0.0,0.0,0.0,0.0,0
1790035692.555859,0.0,0.0,0.0,0.0,0
1790035692.655243,0.0,0.0,0.0,0.0,0
1790035692.7559729,0.0,0.0,0.0,0.0,0
1790035692.856272,0.0,0.0,0.0,0.0,0
1790035692.9566689,0.0,0.0,0.0,0.0,0
1790035693.055372,0.0,0.0,0.0,0.0,0
1790035693.1580975,0.0,0.0,0.0,0.0,0
1790035693.2589612,0.0,0.0,0.0,0.0,0
1790035693.355916,0.0,0.0,0.0,0.0,0
1790035693.457185,0.0,0.0,0.0,0.0,0
1790035693.5566306,0.0,0.0,0.0,0.0,0
1790035693.657297,0.0,0.0,0.0,0.0,0
1790035693.757022,0.0,0.0,0.0,0.0,0
1790035693.8569882,0.0,0.0,0.0,0.0,0
1790035693.957618,0.0,0.0,0.0,0.0,0
1790035694.0584505,0.0,0.0,0.0,0.0,0
1790035694.159673,0.0,0.0,0.0,0.0,0
1790035694.2596345,0.0,0.0,0.0,0.0,0
1790035694.3547328,0.0,0.0,0.0,0.0,0
1790035694.454667,0.0,0.0,0.0,0.0,0
1790035694.554865,0.0,0.0,0.0,0.0,0
1790035694.6550388,0.0,0.0,0.0,0.0,0
1790035694.7597122,0.0,0.0,0.0,0.0,0
1790035694.858961,0.0,0.0,0.0,0.0,0
1790035694.959769,0.0,0.0,0.0,0.0,0
1790035695.059769,0.0,0.0,0.0,0.0,0
1790035695.1603234,0.0,0.0,0.0,0.0,0
1790035695.2572217,0.0,0.0,0.0,0.0,0
1790035695.356895,0.0,0.0,0.0,0.0,0
1790035695.4581704,0.0,0.0,0.0,0.0,0
1790035695.558125,0.0,0.0,0.0,0.0,0
1790035695.6581662,0.0,0.0,0.0,0.0,0
1790035695.7582848,0.0,0.0,0.0,0.0,0
1790035695.858092,0.0,0.0,0.0,0.0,0
1790035695.9579918,0.0,0.0,0.0,0.0,0
1790035696.0582287,0.0,0.0,0.0,0.0,0
1790035696.15905,0.0,0.0,0.0,0.0,0
1790035696.2568955,0.0,0.0,0.0,0.0,0
1790035696.356634,0.0,0.0,0.0,0.0,0
1790035696.457997,0.0,0.0,0.0,0.0,0
1790035696.5575244,0.0,0.0,0.0,0.0,0
1790035696.6598806,0.0,0.0,0.0,0.0,0
1790035696.7594595,0.0,0.0,0.0,0.0,0
1790035696.859507,0.0,0.0,0.0,0.0,0
1790035696.9594371,0.0,0.0,0.0,0.0,0
1790035697.0572708,0.0,0.0,0.0,0.0,0
1790035697.1587915,0.0,0.0,0.0,0.0,0
1790035697.2592356,0.0,0.0,0.0,0.0,0
1790035697.3600116,0.0,0.0,0.0,0.0,0
1790035697.4599812,0.0,0.0,0.0,0.0,0
1790035697.5599933,0.0,0.0,0.0,0.0,0
1790035697.6577034,0.0,0.0,0.0,0.0,0
1790035697.7598412,0.0,0.0,0.0,0.0,0
1790035697.8605585,0.0,0.0,0.0,0.0,0
1790035697.9606512,0.0,0.0,0.0,0.0,0
1790035698.0563576,0.0,0.0,0.0,0.0,0
1790035698.158528,0.0,0.0,0.0,0.0,0
1790035698.2586071,0.0,0.0,0.0,0.0,0
1790035698.3573225,0.0,0.0,0.0,0.0,0
1790035698.4581532,0.0,0.0,0.0,0.0,0
1790035698.5584424,0.0,0.0,0.0,0.0,0
1790035698.658255,0.0,0.0,0.0,0.0,0
1790035698.7583122,0.0,0.0,0.0,0.0,0
1790035698.8592584,0.0,0.0,0.0,0.0,0
1790035698.958678,0.0,0.0,0.0,0.0,0
1790035699.059999,0.0,0.0,0.0,0.0,0
1790035699.1560228,0.0,0.0,0.0,0.0,0
1790035699.2591767,0.0,0.0,0.0,0.0,0
1790035699.3607569,0.0,0.0,0.0,0.0,0
1790035699.4610355,0.0,0.0,0.0,0.0,0
1790035699.5610082,0.0,0.0,0.0,0.0,0
1790035699.6580431,0.0,0.0,0.0,0.0,0
1790035699.7570674,0.0,0.0,0.0,0.0,0
1790035699.8585296,0.0,0.0,0.0,0.0,0
1790035699.9589026,0.0,0.0,0.0,0.0,0
1790035700.0589757,0.0,0.0,0.0,0.0,0
1790035700.1590877,0.0,0.0,0.0,0.0,0
1790035700.2596352,0.0,0.0,0.0,0.0,0
1790035700.3607855,0.0,0.0,0.0,0.0,0
1790035700.456673,0.0,0.0,0.0,0.0,0
1790035700.557374,0.0,0.0,0.0,0.0,0
1790035700.6583023,0.0,0.0,0.0,0.0,0
1790035700.7574189,0.0,0.0,0.0,0.0,0
1790035700.8566842,0.0,0.0,0.0,0.0,0
1790035700.957241,0.0,0.0,0.0,0.0,0
1790035701.0595582,0.0,0.0,0.0,0.0,0
1790035701.159761,0.0,0.0,0.0,0.0,0
1790035701.2590926,0.0,0.0,0.0,0.0,0
1790035701.3593888,0.0,0.0,0.0,0.0,0
1790035701.459755,0.0,0.0,0.0,0.0,0
1790035701.5587332,0.0,0.0,0.0,0.0,0
1790035701.6612062,0.0,0.0,0.0,0.0,0
1790035701.7601902,0.0,0.0,0.0,0.0,0
1790035701.860721,0.0,0.0,0.0,0.0,0
1790035701.9607034,0.0,0.0,0.0,0.0,0
1790035702.061578,0.0,0.0,0.0,0.0,0
1790035702.160843,0.0,0.0,0.0,0.0,0
1790035702.2608068,0.0,0.0,0.0,0.0,0
1790035702.3598552,0.0,0.0,0.0,0.0,0
1790035702.4600115,0.0,0.0,0.0,0.0,0
1790035702.5600853,0.0,0.0,0.0,0.0,0
1790035702.6591806,0.0,0.0,0.0,0.0,0
1790035702.761298,0.0,0.0,0.0,0.0,0
1790035702.860679,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035702.9591422,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035703.0599923,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035703.1597447,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035703.2600777,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035703.359716,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035703.4598784,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035703.560717,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035703.659917,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035703.7592218,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035703.858691,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035703.9587553,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035704.0596578,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035704.1596882,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035704.259485,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035704.3595955,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035704.4579873,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035704.5580697,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035704.658389,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035704.7588308,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035704.858503,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035704.9575388,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035705.0597131,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035705.1589088,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035705.259992,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035705.3605251,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035705.4611835,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035705.561277,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035705.6618123,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035705.7591045,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035705.858809,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
1790035705.959046,0.0,-0.0111320001300896,0.0,-0.0111320001300896,0
