t,true_x_m,true_y_m,spoofed_x_m,spoofed_y_m,is_spoofed
1790075420.7721407,0.0,0.0,0.0,0.0,0
1790075420.780837,0.0,0.0,0.0,0.0,0
1790075420.8688183,0.0,0.0,0.0,0.0,0
1790075420.9690228,0.0,0.0,0.0,0.0,0
1790075421.0713785,0.0,0.0,0.0,0.0,0
1790075421.170648,0.0,0.0,0.0,0.0,0
1790075421.272368,0.0,0.0,0.0,0.0,0
1790075421.3723466,0.0,0.0,0.0,0.0,0
1790075421.4730518,0.0,0.0,0.0,0.0,0
1790075421.5731354,0.0,0.0,0.0,0.0,0
1790075421.64091,0.0,0.0,0.0,0.0,0
1790075422.053709,0.0,0.0,0.0,0.0,0
1790075422.062618,0.0,0.0,0.0,0.0,0
1790075422.1642303,0.0,0.0,0.0,0.0,0
1790075422.2597804,0.0,0.0,0.0,0.0,0
1790075422.3592489,0.0,0.0,0.0,0.0,0
1790075422.4597635,0.0,0.0,0.0,0.0,0
1790075422.5620155,0.0,0.0,0.0,0.0,0
1790075422.6705866,0.0,0.0,0.0,0.0,0
1790075422.7606168,0.0,0.0,0.0,0.0,0
1790075422.8599398,0.0,0.0,0.0,0.0,0
1790075422.9607346,0.0,0.0,0.0,0.0,0
1790075423.061725,0.0,0.0,0.0,0.0,0
1790075423.1601143,0.0,0.0,0.0,0.0,0
1790075423.2617736,0.0,0.0,0.0,0.0,0
1790075423.361738,0.0,0.0,0.0,0.0,0
1790075423.4606135,0.0,0.0,0.0,0.0,0
1790075423.5596826,0.0,0.0,0.0,0.0,0
1790075423.6599169,0.0,0.0,0.0,0.0,0
1790075423.758844,0.0,0.0,0.0,0.0,0
1790075423.8617792,0.0,0.0,0.0,0.0,0
1790075423.9601214,0.0,0.0,0.0,0.0,0
1790075424.061462,0.0,0.0,0.0,0.0,0
1790075424.158002,0.0,0.0,0.0,0.0,0
1790075424.260933,0.0,0.0,0.0,0.0,0
1790075424.3613048,0.0,0.0,0.0,0.0,0
1790075424.4622009,0.0,0.0,0.0,0.0,0
1790075424.562168,0.0,0.0,0.0,0.0,0
1790075424.6644228,0.0,0.0,0.0,0.0,0
1790075424.763085,0.0,0.0,0.0,0.0,0
1790075424.8602276,0.0,0.0,0.0,0.0,0
1790075424.960641,0.0,0.0,0.0,0.0,0
1790075425.0605764,0.0,0.0,0.0,0.0,0
1790075425.160684,0.0,0.0,0.0,0.0,0
1790075425.2618525,0.0,0.0,0.0,0.0,0
1790075425.3624978,0.0,0.0,0.0,0.0,0
1790075425.4610674,0.0,0.0,0.0,0.0,0
1790075425.560785,0.0,0.0,0.0,0.0,0
1790075425.6618872,0.0,0.0,0.0,0.0,0
1790075425.762849,0.0,0.0,0.0,0.0,0
1790075425.8624668,0.0,0.0,0.0,0.0,0
1790075425.9630585,0.0,0.0,0.0,0.0,0
1790075426.060354,0.0,0.0,0.0,0.0,0
1790075426.1614883,0.0,0.0,0.0,0.0,0
1790075426.2593892,0.0,0.0,0.0,0.0,0
1790075426.360427,0.0,0.0,0.0,0.0,0
1790075426.460131,0.0,0.0,0.0,0.0,0
1790075426.5597322,0.0,0.0,0.0,0.0,0
1790075426.6842782,0.0,0.0,0.0,0.0,0
1790075426.7654085,0.0,0.0,0.0,0.0,0
1790075426.8589652,0.0,0.0,0.0,0.0,0
1790075426.9635706,0.0,0.0,0.0,0.0,0
1790075427.0624251,0.0,0.0,0.0,0.0,0
1790075427.1611247,0.0,0.0,0.0,0.0,0
1790075427.261279,0.0,0.0,0.0,0.0,0
1790075427.362363,0.0,0.0,0.0,0.0,0
1790075427.4618905,0.0,0.0,0.0,0.0,0
1790075427.5627153,0.0,0.0,0.0,0.0,0
1790075427.6621652,0.0,0.0,0.0,0.0,0
1790075427.760289,0.0,0.0,0.0,0.0,0
1790075427.8606253,0.0,0.0,0.0,0.0,0
1790075427.964041,0.0,0.0,0.0,0.0,0
1790075428.061936,0.0,0.0,0.0,0.0,0
1790075428.1617496,0.0,0.0,0.0,0.0,0
1790075428.261091,0.0,0.0,0.0,0.0,0
1790075428.3618674,0.0,0.0,0.0,0.0,0
1790075428.4611285,0.0,0.0,0.0,0.0,0
1790075428.5643802,0.0,0.0,0.0,0.0,0
1790075428.6693351,0.0,0.0,0.0,0.0,0
1790075428.7599208,0.0,0.0,0.0,0.0,0
1790075428.8611405,0.0,0.0,0.0,0.0,0
1790075428.9639916,0.0,0.0,0.0,0.0,0
1790075429.064933,0.0,0.0,0.0,0.0,0
1790075429.1618974,0.0,0.0,0.0,0.0,0
1790075429.2614238,0.0,0.0,0.0,0.0,0
1790075429.3626292,0.0,0.0,0.0,0.0,0
1790075429.4625657,0.0,0.0,0.0,0.0,0
